TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        9474.00000        9.15631
TAB:  US_District_of_Columbia Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_District_of_Columbia Confirmed .            72      757     9474     6125        2     2275    32026    22225
TAB:  US_District_of_Columbia Confirmed 4/4/2020     73      902     9474    15925        2     7525    67377     9625
TAB:  US_District_of_Columbia Confirmed .            74     1002     9474     7175        1     7175    62127    11725
TAB:  US_District_of_Columbia Confirmed 4/6/2020     75     1097     9474    10325        2     3325    42526    10325
TAB:  US_District_of_Columbia Confirmed .            76     1211     9474     3675        2     1925    67377    11375
TAB:  US_District_of_Columbia Confirmed 4/8/2020     77     1440     9474    -            2     9975    40426    21175
TAB:  US_District_of_Columbia Confirmed .            78     1523     9474     7875        1     7875    56177    19425
TAB:  US_District_of_Columbia Confirmed 4/10/2020    79     1660     9474     6825        3     4375    38326    13475
TAB:  US_District_of_Columbia Confirmed .            80     1778     9474     4400        2     2298    23317    10837
TAB:  US_District_of_Columbia Confirmed 4/12/2020    81     1875     9474    10479        2     2313    16105     5580
TAB:  US_District_of_Columbia Confirmed .            82     1955     9474     2292        1     2292    11593     4617
TAB:  US_District_of_Columbia Confirmed 4/14/2020    83     2058     9474     2514        2     2514     8838     4606
TAB:  US_District_of_Columbia Confirmed .            84     2197     9474     3325        4     2975     8225     5425
TAB:  US_District_of_Columbia Confirmed 4/16/2020    85     2350     9474     3675        6     3675    13825     5775
TAB:  US_District_of_Columbia Confirmed .            86     2476     9474     4025        9     4025    28876     5775
TAB:  US_District_of_Columbia Confirmed 4/18/2020    87     2666     9474     4725        7     4725     6825     5775
TAB:  US_District_of_Columbia Confirmed .            88     2793     9474     5075        6     4725    13475     6125
TAB:  US_District_of_Columbia Confirmed 4/20/2020    89     2927     9474     6475        6     5075    15225     6475
TAB:  US_District_of_Columbia Confirmed .            90     3098     9474     5775        6     5425    14525     7175
TAB:  US_District_of_Columbia Confirmed 4/22/2020    91     3206     9474     5775        8     4725    51977     7175
TAB:  US_District_of_Columbia Confirmed .            92     3361     9474     5919        7     5369    31525     7847
