TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        1504.00000        7.31588
TAB:  New_Zealand Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  New_Zealand Confirmed 4/10/2020    79     1283     1504     1639        5     1416     9973     1916
TAB:  New_Zealand Confirmed .            80     1312     1504     1639       10     1472     9862     2028
TAB:  New_Zealand Confirmed 4/12/2020    81     1330     1504     1472        6     1416     9584     1916
TAB:  New_Zealand Confirmed .            82     1349     1504     1416        7     1416     9307     2028
TAB:  New_Zealand Confirmed 4/14/2020    83     1366     1504     1416        8     1416     9029     2028
TAB:  New_Zealand Confirmed .            84     1386     1504     1472       13     1472     8640     1972
TAB:  New_Zealand Confirmed 4/16/2020    85     1401     1504     1475       14     1475     5342     1891
TAB:  New_Zealand Confirmed .            86     1409     1504     1479       13     1453     3845     1787
TAB:  New_Zealand Confirmed 4/18/2020    87     1422     1504     1466       12     1466     3054     1671
TAB:  New_Zealand Confirmed .            88     1431     1504     1491       12     1476     2585     1626
TAB:  New_Zealand Confirmed 4/20/2020    89     1440     1504     1485       17     1473     2295     1624
TAB:  New_Zealand Confirmed .            90     1445     1504     1485       21     1474     2069     1598
TAB:  New_Zealand Confirmed 4/22/2020    91     1451     1504     1491       23     1470     1932     1593
TAB:  New_Zealand Confirmed .            92     1456     1504     1489       26     1471     1821     1584
TAB:  New_Zealand Confirmed 4/24/2020    93     1461     1504     1489       34     1489     1732     1579
TAB:  New_Zealand Confirmed .            94     1465     1504     1485       34     1485     1682     1562
TAB:  New_Zealand Confirmed 4/26/2020    95     1469     1504     1491       34     1491     1632     1549
TAB:  New_Zealand Confirmed .            96     1472     1504     1487       35     1487     1600     1552
TAB:  New_Zealand Confirmed 4/28/2020    97     1474     1504     1489       40     1489     1561     1537
TAB:  New_Zealand Confirmed .            98     1476     1504     1490       43     1490     1545     1521
TAB:  New_Zealand Confirmed 4/30/2020    99     1479     1504     1490       42     1490     1537     1521
TAB:  New_Zealand Confirmed .           100     1485     1504     1528       36     1472     1639     1528
TAB:  New_Zealand Confirmed 5/2/2020    101     1487     1504     1528       51     1528     1639     1583
TAB:  New_Zealand Confirmed .           102     1487     1504     1528       55     1528     1694     1694
TAB:  New_Zealand Confirmed 5/4/2020    103     1486     1504     1528       52     1528     1694     1694
TAB:  New_Zealand Confirmed .           104     1488     1504     1500       48     1492     1500     1500
TAB:  New_Zealand Confirmed 5/6/2020    105     1489     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .           106     1490     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 5/8/2020    107     1492     1504     1528       52     1528     4584     4472
TAB:  New_Zealand Confirmed .           108     1494     1504     1528       53     1528     1528     1528
TAB:  New_Zealand Confirmed 5/10/2020   109     1497     1504     1528       53     1528     1528     1528
TAB:  New_Zealand Confirmed .           110     1497     1504     1528       54     1528     1528     1528
TAB:  New_Zealand Confirmed 5/12/2020   111     1497     1504     1528       54     1528     1639     1639
TAB:  New_Zealand Confirmed .           112     1497     1504     1528       55     1528     1639     1583
TAB:  New_Zealand Confirmed 5/14/2020   113     1498     1504     1528       58     1528     1528     1528
TAB:  New_Zealand Confirmed .           114     1498     1504     1507       60     1507     1507     1507
TAB:  New_Zealand Confirmed 5/16/2020   115     1499     1504     1528       64     1528     1528     1528
TAB:  New_Zealand Confirmed .           116     1499     1504     1528       62     1528     4084     4084
TAB:  New_Zealand Confirmed 5/18/2020   117     1499     1504     1528       64     1528     4084     4084
TAB:  New_Zealand Confirmed .           118     1503     1504     1528       56     1528     1694     1694
TAB:  New_Zealand Confirmed 5/20/2020   119     1503     1504     1528       50     1528     1805     1805
TAB:  New_Zealand Confirmed .           120     1504     1504     1528       24     1528     5139     5139
TAB:  New_Zealand Confirmed 5/22/2020   121     1504     1504     1528       26     1528     1639     1639
TAB:  New_Zealand Confirmed .           122     1504     1504     1528       25     1528     1583     1583
TAB:  New_Zealand Confirmed 5/24/2020   123     1504     1504     1528       27     1528     1528     1528
TAB:  New_Zealand Confirmed .           124     1504     1504     1528       28     1528     1528     1528
TAB:  New_Zealand Confirmed 5/26/2020   125     1504     1504     1528       27     1528     1694     1694
TAB:  New_Zealand Confirmed .           126     1504     1504     1528       29     1528     1528     1528
TAB:  New_Zealand Confirmed 5/28/2020   127     1504     1504     1528       27     1528     1528     1528
TAB:  New_Zealand Confirmed .           128     1504     1504     1528       26     1528     1528     1528
TAB:  New_Zealand Confirmed 5/30/2020   129     1504     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .           130     1504     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 6/1/2020    131     1504     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .           132     1504     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 6/3/2020    133     1504     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .           134     1504     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 6/5/2020    135     1504     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .           136     1504     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 6/7/2020    137     1504     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed .           138     1504     1504        0        0        0        0        0
TAB:  New_Zealand Confirmed 6/9/2020    139     1504     1504        0        0        0        0        0
AAA2     1 New_Zealand Confirmed cc1=  .865420 cc2=  .511867 lx=  3.31588 if=  37 il=  44 3/6/2020   n=   7 now=    1504 end=         27         4         0 U=    12.93 T=   52.5 p1= -98.2 p2=  5570.4 ed=    83 4/14/2020   x1=  37. x2=  44. y1=  1.20 y2=   .66     
GP: Confirmed New_Zealand 3/6/2020         44    1504       27       4        0     0    83 4/14/2020 
AAA2     1 New_Zealand Confirmed cc1=  .894201 cc2=  .516237 lx=  3.31588 if=  38 il=  44 3/6/2020   n=   6 now=    1504 end=         27         4         0 U=    11.08 T=   51.3 p1= -98.2 p2=  5570.4 ed=    77 4/8/2020    x1=  38. x2=  44. y1=  1.20 y2=   .66     
