TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4687.00000        8.45255
TAB:  US_Colorado_Arapahoe Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Colorado_Arapahoe Confirmed 4/8/2020     77      764     4687     1471        8     1298    21385     3722
TAB:  US_Colorado_Arapahoe Confirmed .            78      877     4687     1818        4     1645    18268     3549
TAB:  US_Colorado_Arapahoe Confirmed 4/10/2020    79      931     4687     1991        3     1818    11168     3549
TAB:  US_Colorado_Arapahoe Confirmed .            80      998     4687     1991        4     1991    13246     4588
TAB:  US_Colorado_Arapahoe Confirmed 4/12/2020    81     1083     4687     2164        5     2164    29004     4069
TAB:  US_Colorado_Arapahoe Confirmed .            82     1142     4687     2252        2     1594     7869     3163
TAB:  US_Colorado_Arapahoe Confirmed 4/14/2020    83     1183     4687     2201        2     1481     5296     2895
TAB:  US_Colorado_Arapahoe Confirmed .            84     1243     4687     2189        2     1526     4509     2473
TAB:  US_Colorado_Arapahoe Confirmed 4/16/2020    85     1342     4687     2306        3     2173     4248     2813
TAB:  US_Colorado_Arapahoe Confirmed .            86     1419     4687     2683        7     2337     9783     3376
TAB:  US_Colorado_Arapahoe Confirmed 4/18/2020    87     1498     4687     2683        5     2510    18441     3549
TAB:  US_Colorado_Arapahoe Confirmed .            88     1536     4687     3030        7     1991     5454     3376
TAB:  US_Colorado_Arapahoe Confirmed 4/20/2020    89     1602     4687     2865        4     1865     4036     3036
TAB:  US_Colorado_Arapahoe Confirmed .            90     1649     4687     2736        4     1905     3585     2863
TAB:  US_Colorado_Arapahoe Confirmed 4/22/2020    91     1717     4687     2621        3     2130     3480     2937
TAB:  US_Colorado_Arapahoe Confirmed .            92     1824     4687     3203       11     2683     4242     3376
TAB:  US_Colorado_Arapahoe Confirmed 4/24/2020    93     2030     4687     3203        8     3203    23982     4761
TAB:  US_Colorado_Arapahoe Confirmed .            94     2083     4687     3376        8     3376     9956     4935
TAB:  US_Colorado_Arapahoe Confirmed 4/26/2020    95     2160     4687     3549        9     2683    11168     4935
TAB:  US_Colorado_Arapahoe Confirmed .            96     2252     4687     3722        7     2510    12034     4935
TAB:  US_Colorado_Arapahoe Confirmed 4/28/2020    97     2312     4687     3722        8     2510    28311     5281
TAB:  US_Colorado_Arapahoe Confirmed .            98     2389     4687     4069        7     2683    24155     5281
TAB:  US_Colorado_Arapahoe Confirmed 4/30/2020    99     2472     4687     3896        8     2857    32640     5974
TAB:  US_Colorado_Arapahoe Confirmed .           100     2557     4687     4069        7     3030    31948     5974
TAB:  US_Colorado_Arapahoe Confirmed 5/2/2020    101     2625     4687     4242       10     3203    17922     6147
TAB:  US_Colorado_Arapahoe Confirmed .           102     2706     4687     4158       10     3479    12305     5855
TAB:  US_Colorado_Arapahoe Confirmed 5/4/2020    103     2758     4687     4105        4     3318     7405     4780
TAB:  US_Colorado_Arapahoe Confirmed .           104     2883     4687     4242       12     3896    27445     5974
TAB:  US_Colorado_Arapahoe Confirmed 5/6/2020    105     2977     4687     4415       13     4242    24155     5800
TAB:  US_Colorado_Arapahoe Confirmed .           106     3089     4687     4588       11     4415     7705     5974
TAB:  US_Colorado_Arapahoe Confirmed 5/8/2020    107     3148     4687     4588       14     4588     7532     5974
TAB:  US_Colorado_Arapahoe Confirmed .           108     3228     4687     4761       10     3722     7359     5800
TAB:  US_Colorado_Arapahoe Confirmed 5/10/2020   109     3272     4687     4772        9     3482    16724     5803
TAB:  US_Colorado_Arapahoe Confirmed .           110     3313     4687     4783        8     3468     7821     5599
TAB:  US_Colorado_Arapahoe Confirmed 5/12/2020   111     3370     4687     4766        8     3579     6462     5275
TAB:  US_Colorado_Arapahoe Confirmed .           112     3464     4687     4761       15     3896     6320     5108
TAB:  US_Colorado_Arapahoe Confirmed 5/14/2020   113     3526     4687     4761       13     4242     6147     5281
TAB:  US_Colorado_Arapahoe Confirmed .           114     3583     4687     4935       13     4242     5974     5108
TAB:  US_Colorado_Arapahoe Confirmed 5/16/2020   115     3652     4687     4935       18     4588     6147     5454
TAB:  US_Colorado_Arapahoe Confirmed .           116     3703     4687     4935       16     4242     6147     5281
TAB:  US_Colorado_Arapahoe Confirmed 5/18/2020   117     3767     4687     4935       17     4415    26926     5454
TAB:  US_Colorado_Arapahoe Confirmed .           118     3827     4687     4955       16     4758    12766     5480
TAB:  US_Colorado_Arapahoe Confirmed 5/20/2020   119     3889     4687     4993       11     4993    11099     5563
TAB:  US_Colorado_Arapahoe Confirmed .           120     3943     4687     5039       12     5039     9165     5647
TAB:  US_Colorado_Arapahoe Confirmed 5/22/2020   121     3974     4687     5016       13     4247     6520     5296
TAB:  US_Colorado_Arapahoe Confirmed .           122     4027     4687     5558       10     4399     5965     5245
TAB:  US_Colorado_Arapahoe Confirmed 5/24/2020   123     4039     4687     5018       12     4166     5458     4963
TAB:  US_Colorado_Arapahoe Confirmed .           124     4075     4687     5023       14     4233     5404     4914
TAB:  US_Colorado_Arapahoe Confirmed 5/26/2020   125     4121     4687     5108       30     4415     5454     4935
