TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       14268.00000        9.56577
TAB:  Iraq Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Iraq Confirmed 1/23/2020     1        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .             2        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 1/25/2020     3        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .             4        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 1/27/2020     5        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .             6        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 1/29/2020     7        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .             8        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 1/31/2020     9        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            10        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 2/2/2020     11        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            12        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 2/4/2020     13        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            14        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 2/6/2020     15        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            16        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 2/8/2020     17        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            18        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 2/10/2020    19        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            20        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 2/12/2020    21        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            22        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 2/14/2020    23        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            24        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 2/16/2020    25        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            26        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 2/18/2020    27        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            28        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 2/20/2020    29        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            30        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 2/22/2020    31        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            32        0    14268        0        0        0        0        0
TAB:  Iraq Confirmed 2/24/2020    33        1    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            34        1    14268        0        0        0        0        0
TAB:  Iraq Confirmed 2/26/2020    35        5    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            36        7    14268        0        0        0        0        0
TAB:  Iraq Confirmed 2/28/2020    37        7    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            38       13    14268        0        0        0        0        0
TAB:  Iraq Confirmed 3/1/2020     39       19    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            40       26    14268      263        2      263      263      263
TAB:  Iraq Confirmed 3/3/2020     41       32    14268      263        3      263      263      263
TAB:  Iraq Confirmed .            42       35    14268        0        0        0        0        0
TAB:  Iraq Confirmed 3/5/2020     43       35    14268        0        0        0        0        0
TAB:  Iraq Confirmed .            44       40    14268        0        0        0        0        0
TAB:  Iraq Confirmed 3/7/2020     45       54    14268      263        6      263     1317     1317
TAB:  Iraq Confirmed .            46       60    14268      263        6      263     1317     1317
TAB:  Iraq Confirmed 3/9/2020     47       60    14268      263        8      263      263      263
TAB:  Iraq Confirmed .            48       71    14268      263        9      263      263      263
TAB:  Iraq Confirmed 3/11/2020    49       71    14268      261       11      261      261      261
TAB:  Iraq Confirmed .            50       71    14268      262       12      262      262      262
TAB:  Iraq Confirmed 3/13/2020    51      101    14268      263        6      263     8170     1317
TAB:  Iraq Confirmed .            52      110    14268      263        5      263    46651     3426
TAB:  Iraq Confirmed 3/15/2020    53      116    14268      263        6      263     5007     2372
TAB:  Iraq Confirmed .            54      124    14268      263        9      263     7116     1844
TAB:  Iraq Confirmed 3/17/2020    55      154    14268      263        7      263    57194     1844
TAB:  Iraq Confirmed .            56      164    14268      263        6      263    59829     1317
TAB:  Iraq Confirmed 3/19/2020    57      192    14268      790        4      263    62465     2899
TAB:  Iraq Confirmed .            58      208    14268      790        5      263     8170     1317
TAB:  Iraq Confirmed 3/21/2020    59      214    14268      263        5      263    43488     3426
TAB:  Iraq Confirmed .            60      233    14268      263        6      263    51395     2899
TAB:  Iraq Confirmed 3/23/2020    61      266    14268      790        6      790    83550    13441
TAB:  Iraq Confirmed .            62      316    14268      790        2      790   102527     8170
TAB:  Iraq Confirmed 3/25/2020    63      346    14268      790        2      790    56139     7116
TAB:  Iraq Confirmed .            64      382    14268     1317        2     1317    21348     3426
TAB:  Iraq Confirmed 3/27/2020    65      458    14268     1317        1     1317    69845     5007
TAB:  Iraq Confirmed .            66      506    14268     1844        1     1844    11333     5534
TAB:  Iraq Confirmed 3/29/2020    67      547    14268     2372        1     2372    64046     7116
TAB:  Iraq Confirmed .            68      630    14268     3426        2     2899    26093    15023
