TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        8035.00000        8.99156
TAB:  US_Florida_Broward Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Florida_Broward Confirmed 1/23/2020     1        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed .             2        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed 1/25/2020     3        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed .             4        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed 1/27/2020     5        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed .             6        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed 1/29/2020     7        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed .             8        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed 1/31/2020     9        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed .            10        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed 2/2/2020     11        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed .            12        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed 2/4/2020     13        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed .            14        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed 2/6/2020     15        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed .            16        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed 2/8/2020     17        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed .            18        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed 2/10/2020    19        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed .            20        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed 2/12/2020    21        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed .            22        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed 2/14/2020    23        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed .            24        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed 2/16/2020    25        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed .            26        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed 2/18/2020    27        0     8035        0        0        0        0        0
TAB:  US_Florida_Broward Confirmed .            28        0     8035        0        0        0        0        0
