TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       14374.00000        9.57318
TAB:  US_Arizona_Maricopa Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Arizona_Maricopa Confirmed 3/31/2020    69      788    14374     2389        3     2389    39032     8231
TAB:  US_Arizona_Maricopa Confirmed .            70      871    14374     2389        4     1858    29473     5576
TAB:  US_Arizona_Maricopa Confirmed 4/2/2020     71      961    14374     1858        4     1327    36376     3451
TAB:  US_Arizona_Maricopa Confirmed .            72     1049    14374     1858        7     1327    42749     3451
TAB:  US_Arizona_Maricopa Confirmed 4/4/2020     73     1171    14374     2389        6     1858    50715     5576
TAB:  US_Arizona_Maricopa Confirmed .            74     1326    14374     2920        7     2389    61867     5044
TAB:  US_Arizona_Maricopa Confirmed 4/6/2020     75     1433    14374     3451        6     2389    70364     5576
TAB:  US_Arizona_Maricopa Confirmed .            76     1495    14374     2920        9     1858    71426     6107
TAB:  US_Arizona_Maricopa Confirmed 4/8/2020     77     1559    14374     2389        8     1858    79391     5044
TAB:  US_Arizona_Maricopa Confirmed .            78     1689    14374     2920       12     2389    86295     5044
TAB:  US_Arizona_Maricopa Confirmed 4/10/2020    79     1741    14374     2389       13     2389    86826     5044
TAB:  US_Arizona_Maricopa Confirmed .            80     1891    14374     2920       17     2389    86295     5576
TAB:  US_Arizona_Maricopa Confirmed 4/12/2020    81     1960    14374     2920       18     2920    80985     5576
TAB:  US_Arizona_Maricopa Confirmed .            82     2020    14374     2920       22     2389    73550     6107
TAB:  US_Arizona_Maricopa Confirmed 4/14/2020    83     2056    14374     2920       23     2389    64522     6107
TAB:  US_Arizona_Maricopa Confirmed .            84     2146    14374     2920       23     2389    54963     6107
TAB:  US_Arizona_Maricopa Confirmed 4/16/2020    85     2264    14374     2920       21     2920    46997     6107
TAB:  US_Arizona_Maricopa Confirmed .            86     2404    14374     3451       14     2920    39563     6638
TAB:  US_Arizona_Maricopa Confirmed 4/18/2020    87     2491    14374     3451       12     2920    89481     7700
TAB:  US_Arizona_Maricopa Confirmed .            88     2589    14374     3451       19     3451    66115     9293
