TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      203736.00000       12.22458
TAB:  Peru Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Peru Confirmed 4/14/2020    83    10303   203736    56453        1    56453  1283367   711309
TAB:  Peru Confirmed .            84    11475   203736    26344        1    26344  1283367   357536
TAB:  Peru Confirmed 4/16/2020    85    12491   203736    18817        2    18817  1433908   297319
TAB:  Peru Confirmed .            86    13489   203736    18817        3    18817  1448962   319900
TAB:  Peru Confirmed 4/18/2020    87    14420   203736    26344        4    18817  1358637   161832
TAB:  Peru Confirmed .            88    15628   203736    26344        7    18817  1494125   176886
TAB:  Peru Confirmed 4/20/2020    89    16325   203736    26344        9    18817  1464017   312373
TAB:  Peru Confirmed .            90    17837   203736    26344        6    26344  1305948   169359
TAB:  Peru Confirmed 4/22/2020    91    19250   203736    33871        9    33871  1433908   289792
TAB:  Peru Confirmed .            92    20914   203736    41398        6    33871  1162933   342482
TAB:  Peru Confirmed 4/24/2020    93    21648   203736    41398        7    33871   929594   259684
TAB:  Peru Confirmed .            94    25331   203736    48926        4    48926  1373692   267211
TAB:  Peru Confirmed 4/26/2020    95    27517   203736    63980        4    63980  1185515   274738
TAB:  Peru Confirmed .            96    28699   203736    71507        4    71507  1260785   312373
TAB:  Peru Confirmed 4/28/2020    97    31190   203736    79034        5    48926  1351110   319900
TAB:  Peru Confirmed .            98    33931   203736    94088        4    71507  1117771   297319
TAB:  Peru Confirmed 4/30/2020    99    36976   203736   101615        3   101615  1418854   319900
TAB:  Peru Confirmed .           100    40459   203736   124196        3   124196  1351110   440334
TAB:  Peru Confirmed 5/2/2020    101    42534   203736   139250        3   131723  1147879   417752
TAB:  Peru Confirmed .           102    45928   203736   161832        3   101615  1125298   440334
TAB:  Peru Confirmed 5/4/2020    103    47372   203736   161832        3    63980  1193042   342482
TAB:  Peru Confirmed .           104    51189   203736   176886        4    94088   997338   387644
TAB:  Peru Confirmed 5/6/2020    105    54817   203736   139250        2   139250  1057554   395171
TAB:  Peru Confirmed .           106    58526   203736   206994        4   206994  1403800   440334
TAB:  Peru Confirmed 5/8/2020    107    61847   203736   222048        3   222048  1147879   462915
TAB:  Peru Confirmed .           108    65015   203736   237103        3   101615  1448962   432807
TAB:  Peru Confirmed 5/10/2020   109    67307   203736   252157        3    86561  1464017   395171
TAB:  Peru Confirmed .           110    68822   203736    79034        3    79034  1388746   372590
TAB:  Peru Confirmed 5/12/2020   111    72059   203736    86561        3    86561  1170461   342482
TAB:  Peru Confirmed .           112    76306   203736   416814        4   113174   825346   334003
TAB:  Peru Confirmed 5/14/2020   113    80604   203736   244630        5   161832   876904   357536
