TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4679.00000        8.45084
TAB:  US_New_Jersey_Somerset Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_Jersey_Somerset Confirmed 6/9/2020    139     4679     4679     4832       50     4735     4832     4783
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .902989 cc2=  .525024 lx= 10.45084 if=  50 il=  56 3/18/2020  n=   6 now=    4679 end=      34573        16         0 U=    19.46 T=   95.7 p1= 638.9 p2=    13.5 ed=   141 6/11/2020   x1=  50. x2=  56. y1=  2.35 y2=  2.04     
GP: Confirmed US_New_Jersey_Somerset 3/18/2020        56    4679    -          16        0     0   141 6/11/2020 
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .937277 cc2=  .529029 lx= 10.45084 if=  51 il=  56 3/18/2020  n=   5 now=    4679 end=      34573        16         0 U=    16.22 T=   89.1 p1= 638.9 p2=    13.5 ed=   127 5/28/2020   x1=  51. x2=  56. y1=  2.35 y2=  2.04     
GP: Confirmed US_New_Jersey_Somerset 3/18/2020        56    4679    -          16        0     0   127 5/28/2020 
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .935987 cc2=  .582433 lx= 10.45084 if=  50 il=  57 3/19/2020  n=   7 now=    4679 end=      34573        21        86 U=    20.33 T=   97.7 p1= 638.9 p2=    13.5 ed=   145 6/15/2020   x1=  50. x2=  57. y1=  2.35 y2=  2.00     
GP: Confirmed US_New_Jersey_Somerset 3/19/2020        57    4679    -          21       86     1   145 6/15/2020 
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .959907 cc2=  .581943 lx=  6.27084 if=  51 il=  57 3/19/2020  n=   6 now=    4679 end=        528        21        86 U=     9.03 T=   67.6 p1= -88.7 p2=   886.2 ed=    88 4/19/2020   x1=  51. x2=  57. y1=  1.84 y2=  1.17     
GP: Confirmed US_New_Jersey_Somerset 3/19/2020        57    4679      528      21       86     1    88 4/19/2020 
AAA1     1 US_New_Jersey_Somerset Confirmed cc1=  .979827 cc2=  .571578 lx=  4.45084 if=  52 il=  57 3/19/2020  n=   5 now=    4679 end=         85        21        86 U=     4.34 T=   58.5 p1= -98.2 p2=  5504.7 ed=    68 3/30/2020   x1=  52. x2=  57. y1=  1.49 y2=   .34 BEST
