TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       20415.00000        9.92403
TAB:  Dominican_Republic Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Dominican_Republic Confirmed 4/6/2020     75     1828    20415     2639        9     2639   127088     7165
TAB:  Dominican_Republic Confirmed .            76     1956    20415     3394       11     2639   114266     7919
TAB:  Dominican_Republic Confirmed 4/8/2020     77     2111    20415     3394       17     3394   109741    10182
TAB:  Dominican_Republic Confirmed .            78     2349    20415     4148       10     3394   110495     9427
TAB:  Dominican_Republic Confirmed 4/10/2020    79     2620    20415     4148        8     4148   118792     8673
TAB:  Dominican_Republic Confirmed .            80     2759    20415     4148        6     4148    47893     9427
TAB:  Dominican_Republic Confirmed 4/12/2020    81     2967    20415     4902       10     4902    31300    10936
TAB:  Dominican_Republic Confirmed .            82     3167    20415     4902        8     4902    20741     9427
TAB:  Dominican_Republic Confirmed 4/14/2020    83     3286    20415     5656        7     4148    16216     9427
TAB:  Dominican_Republic Confirmed .            84     3614    20415     5656        8     5656    22249    10182
TAB:  Dominican_Republic Confirmed 4/16/2020    85     3755    20415     5656        6     5656   112003    11690
TAB:  Dominican_Republic Confirmed .            86     4126    20415     6410        7     6410    72029    12444
TAB:  Dominican_Republic Confirmed 4/18/2020    87     4335    20415     7165        8     6410   140664    13199
TAB:  Dominican_Republic Confirmed .            88     4680    20415     7165        6     7165    98427    15461
TAB:  Dominican_Republic Confirmed 4/20/2020    89     4964    20415     7919        8     7919   116529    16970
TAB:  Dominican_Republic Confirmed .            90     5044    20415     7919        7     5656   105215    23004
TAB:  Dominican_Republic Confirmed 4/22/2020    91     5300    20415     8317        5     6288    61874    16838
TAB:  Dominican_Republic Confirmed .            92     5543    20415     8580        4     7043    45463    13703
TAB:  Dominican_Republic Confirmed 4/24/2020    93     5749    20415     8866        5     7447    36529    13595
TAB:  Dominican_Republic Confirmed .            94     5926    20415     9020        5     7619    27237    12173
TAB:  Dominican_Republic Confirmed 4/26/2020    95     6135    20415     9172        4     7804    22389    11450
TAB:  Dominican_Republic Confirmed .            96     6293    20415     9272        3     7816    18884    11020
TAB:  Dominican_Republic Confirmed 4/28/2020    97     6416    20415     9318        5     7395    16087    10738
TAB:  Dominican_Republic Confirmed .            98     6652    20415     9429        4     8482    15285    10549
TAB:  Dominican_Republic Confirmed 4/30/2020    99     6972    20415    10182       13     9427    62224    13199
TAB:  Dominican_Republic Confirmed .           100     7288    20415    11690       13    10182   130105    13953
TAB:  Dominican_Republic Confirmed 5/2/2020    101     7578    20415    10936        8    10182    26775    13953
TAB:  Dominican_Republic Confirmed .           102     7954    20415    10936       10    10936    81834    15461
TAB:  Dominican_Republic Confirmed 5/4/2020    103     8235    20415    11690       14    11690    57698    16216
TAB:  Dominican_Republic Confirmed .           104     8480    20415    11690       12    11690    75800    17724
