TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       21459.00000        9.97390
TAB:  Afghanistan Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Afghanistan Confirmed 4/10/2020    79      521    21459     1189       13     1189   122488    16252
TAB:  Afghanistan Confirmed .            80      555    21459     1189       16     1189    78884    11495
TAB:  Afghanistan Confirmed 4/12/2020    81      607    21459     1189       10     1189   104253     9117
TAB:  Afghanistan Confirmed .            82      665    21459     1982       12     1189   142308    12288
TAB:  Afghanistan Confirmed 4/14/2020    83      714    21459     1982       13     1982    93947     9117
TAB:  Afghanistan Confirmed .            84      784    21459     1982       10     1982   128830    11495
TAB:  Afghanistan Confirmed 4/16/2020    85      840    21459     2774        8     1982    89983     9910
TAB:  Afghanistan Confirmed .            86      906    21459     2774       11     2774   117731     9910
TAB:  Afghanistan Confirmed 4/18/2020    87      933    21459     2774       12     1189   127245    13081
TAB:  Afghanistan Confirmed .            88      996    21459     2770        5     1312    38060     7145
TAB:  Afghanistan Confirmed 4/20/2020    89     1026    21459     2887        7     1176    29627     5454
TAB:  Afghanistan Confirmed .            90     1092    21459     2915        5     1582    23739     4414
TAB:  Afghanistan Confirmed 4/22/2020    91     1176    21459     2774       11     1982   154200     7531
TAB:  Afghanistan Confirmed .            92     1279    21459     3567       10     2774    23387     8324
TAB:  Afghanistan Confirmed 4/24/2020    93     1351    21459     4360       10     3567    74127     9117
TAB:  Afghanistan Confirmed .            94     1463    21459     5153        9     3567    84433    11495
TAB:  Afghanistan Confirmed 4/26/2020    95     1531    21459     5153        9     2774   135173    13081
TAB:  Afghanistan Confirmed .            96     1703    21459     6738       11     4360   137551    14666
TAB:  Afghanistan Confirmed 4/28/2020    97     1828    21459     6738       10     5153   152614    14666
TAB:  Afghanistan Confirmed .            98     1939    21459     7531       12     5946   105046    13081
TAB:  Afghanistan Confirmed 4/30/2020    99     2171    21459     8324        8     7531    49550    12288
TAB:  Afghanistan Confirmed .           100     2335    21459     9910        9     8324    93154    15459
TAB:  Afghanistan Confirmed 5/2/2020    101     2469    21459    10702       11     9910   151029    18630
TAB:  Afghanistan Confirmed .           102     2704    21459    12288        8    11495    52721    20216
TAB:  Afghanistan Confirmed 5/4/2020    103     2894    21459    14666        9    13081    76505    22594
TAB:  Afghanistan Confirmed .           104     3224    21459    17838        8    14666   135173    24180
TAB:  Afghanistan Confirmed 5/6/2020    105     3392    21459    19423        6    17045   107425    26558
TAB:  Afghanistan Confirmed .           106     3563    21459    21802        5     5153   136758    26558
TAB:  Afghanistan Confirmed 5/8/2020    107     3778    21459    24180        7     5153   152614    26558
TAB:  Afghanistan Confirmed .           108     4033    21459    21802        4     6738   131209    28144
TAB:  Afghanistan Confirmed 5/10/2020   109     4402    21459    30522        4    19423   140722    34487
TAB:  Afghanistan Confirmed .           110     4687    21459    33694        4    26558   151029    40036
TAB:  Afghanistan Confirmed 5/12/2020   111     4963    21459    28937        3    28144   140722    41622
TAB:  Afghanistan Confirmed .           112     5226    21459    40036        4     8324   112974    45586
TAB:  Afghanistan Confirmed 5/14/2020   113     5639    21459    33694        4    19423   146272    51135
TAB:  Afghanistan Confirmed .           114     6053    21459    36072        2    36072   147858    54307
