TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6849.00000        8.83186
TAB:  US_New_Jersey_Camden Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_Jersey_Camden Confirmed 3/31/2020    69      228     6849      632        1      632    44913     6705
TAB:  US_New_Jersey_Camden Confirmed .            70      289     6849     1644        1     1644    34539     9488
TAB:  US_New_Jersey_Camden Confirmed 4/2/2020     71      343     6849     2403        1     2403    27707     7970
TAB:  US_New_Jersey_Camden Confirmed .            72      406     6849     3162        2     3162    49215     9994
TAB:  US_New_Jersey_Camden Confirmed 4/4/2020     73      481     6849     4934        2     4428    38334     9235
TAB:  US_New_Jersey_Camden Confirmed .            74      556     6849     5187        3     2403    29984     9994
TAB:  US_New_Jersey_Camden Confirmed 4/6/2020     75      645     6849     5693        2     3669    49721    10247
TAB:  US_New_Jersey_Camden Confirmed .            76      736     6849     8729        4     4175    37575     9488
TAB:  US_New_Jersey_Camden Confirmed 4/8/2020     77      838     6849     6199        4     4681    29984     9235
TAB:  US_New_Jersey_Camden Confirmed .            78      990     6849     8982        2     7464    49215    12778
TAB:  US_New_Jersey_Camden Confirmed 4/10/2020    79     1072     6849     8804        2     7289    32849    11833
TAB:  US_New_Jersey_Camden Confirmed .            80     1180     6849     7074        2     2457    20031     8414
TAB:  US_New_Jersey_Camden Confirmed 4/12/2020    81     1270     6849     1815        1     1815    16694     6970
TAB:  US_New_Jersey_Camden Confirmed .            82     1401     6849     6345        3     2470    14484     6733
TAB:  US_New_Jersey_Camden Confirmed 4/14/2020    83     1477     6849     2339        2     2339    12334     5512
TAB:  US_New_Jersey_Camden Confirmed .            84     1587     6849     5520        3     2576    10740     4717
TAB:  US_New_Jersey_Camden Confirmed 4/16/2020    85     1734     6849     3415        5     3415    15814     6199
TAB:  US_New_Jersey_Camden Confirmed .            86     1807     6849     3276        3     3276     8797     5082
TAB:  US_New_Jersey_Camden Confirmed 4/18/2020    87     1918     6849     3363        2     3363     7940     4782
TAB:  US_New_Jersey_Camden Confirmed .            88     2131     6849     4428        7     4428    29225     6199
TAB:  US_New_Jersey_Camden Confirmed 4/20/2020    89     2255     6849     4934        9     4681    48709     6452
TAB:  US_New_Jersey_Camden Confirmed .            90     2379     6849     5187        8     4934    32261     6452
TAB:  US_New_Jersey_Camden Confirmed 4/22/2020    91     2528     6849     5440       11     3922    38587     7211
TAB:  US_New_Jersey_Camden Confirmed .            92     2683     6849     5693        9     4175    44407     7464
TAB:  US_New_Jersey_Camden Confirmed 4/24/2020    93     2750     6849     5618        5     3588    13665     6198
TAB:  US_New_Jersey_Camden Confirmed .            94     2870     6849     5533        6     3580     9439     5883
TAB:  US_New_Jersey_Camden Confirmed 4/26/2020    95     2983     6849     5569        6     3789     7722     5776
TAB:  US_New_Jersey_Camden Confirmed .            96     3124     6849     5625        9     4314     7591     5844
TAB:  US_New_Jersey_Camden Confirmed 4/28/2020    97     3285     6849     5693       12     5187    13031     6705
TAB:  US_New_Jersey_Camden Confirmed .            98     3385     6849     5946       14     5440    10753     6705
TAB:  US_New_Jersey_Camden Confirmed 4/30/2020    99     3519     6849     5946       19     5693    11513     7211
TAB:  US_New_Jersey_Camden Confirmed .           100     3646     6849     5946       16     5187    35551     7211
