TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       10382.00000        9.24783
TAB:  Algeria Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Algeria Confirmed 1/23/2020     1        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .             2        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 1/25/2020     3        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .             4        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 1/27/2020     5        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .             6        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 1/29/2020     7        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .             8        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 1/31/2020     9        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            10        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 2/2/2020     11        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            12        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 2/4/2020     13        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            14        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 2/6/2020     15        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            16        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 2/8/2020     17        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            18        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 2/10/2020    19        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            20        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 2/12/2020    21        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            22        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 2/14/2020    23        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            24        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 2/16/2020    25        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            26        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 2/18/2020    27        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            28        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 2/20/2020    29        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            30        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 2/22/2020    31        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            32        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed 2/24/2020    33        0    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            34        1    10382        0        0        0        0        0
TAB:  Algeria Confirmed 2/26/2020    35        1    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            36        1    10382        0        0        0        0        0
TAB:  Algeria Confirmed 2/28/2020    37        1    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            38        1    10382        0        0        0        0        0
TAB:  Algeria Confirmed 3/1/2020     39        1    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            40        3    10382        0        0        0        0        0
TAB:  Algeria Confirmed 3/3/2020     41        5    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            42       12    10382        0        0        0        0        0
TAB:  Algeria Confirmed 3/5/2020     43       12    10382     2876        1     2876     2876     2876
TAB:  Algeria Confirmed .            44       17    10382      191        2      191      575      575
TAB:  Algeria Confirmed 3/7/2020     45       17    10382      191        5      191    68849    68849
TAB:  Algeria Confirmed .            46       19    10382      190        6      190      190      190
TAB:  Algeria Confirmed 3/9/2020     47       20    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            48       20    10382        0        0        0        0        0
TAB:  Algeria Confirmed 3/11/2020    49       20    10382        0        0        0        0        0
TAB:  Algeria Confirmed .            50       24    10382      191       10      191      191      191
TAB:  Algeria Confirmed 3/13/2020    51       26    10382      191       10      191      191      191
TAB:  Algeria Confirmed .            52       37    10382      191        8      191      191      191
TAB:  Algeria Confirmed 3/15/2020    53       48    10382      191        8      191      191      191
TAB:  Algeria Confirmed .            54       54    10382      191        7      191      958      958
TAB:  Algeria Confirmed 3/17/2020    55       60    10382      191        9      191     1342     1342
TAB:  Algeria Confirmed .            56       74    10382      191        8      191     5178      575
TAB:  Algeria Confirmed 3/19/2020    57       87    10382      191        8      191    24739     4794
TAB:  Algeria Confirmed .            58       90    10382      191        9      191    20904      958
TAB:  Algeria Confirmed 3/21/2020    59      139    10382      575        3      575     7863      958
TAB:  Algeria Confirmed .            60      201    10382     2876        2     2493     4410     3643
TAB:  Algeria Confirmed 3/23/2020    61      230    10382    11315        2     5561    11315     6328
TAB:  Algeria Confirmed .            62      264    10382    10548        2      575    23205    14000
TAB:  Algeria Confirmed 3/25/2020    63      302    10382      575        3      575    38931    21287
TAB:  Algeria Confirmed .            64      367    10382      575        1      575    74603    25890
TAB:  Algeria Confirmed 3/27/2020    65      409    10382      958        2      958    75370    34329
TAB:  Algeria Confirmed .            66      454    10382      958        3      958    53890    34712
TAB:  Algeria Confirmed 3/29/2020    67      511    10382      958        4      958    68849     7863
TAB:  Algeria Confirmed .            68      584    10382     1342        2     1342    74603    14383
TAB:  Algeria Confirmed 3/31/2020    69      716    10382     2493        1     2493    70000    22438
TAB:  Algeria Confirmed .            70      847    10382     4410        1     4410    46603    10164
TAB:  Algeria Confirmed 4/2/2020     71      986    10382     8246        1     8246    76137    18602
TAB:  Algeria Confirmed .            72     1171    10382    18986        1    18986    41616    25890
TAB:  Algeria Confirmed 4/4/2020     73     1251    10382     2493        1     2493    41233    23205
TAB:  Algeria Confirmed .            74     1320    10382     1726        2     1726    49288    17835
TAB:  Algeria Confirmed 4/6/2020     75     1423    10382     1726        2     1726    66548    15150
TAB:  Algeria Confirmed .            76     1468    10382     1726        3     1726    51973    14000
TAB:  Algeria Confirmed 4/8/2020     77     1572    10382     2109        3     1726    50438     9780
