TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3626.00000        8.19589
TAB:  US_Minnesota_Ramsey Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Minnesota_Ramsey Confirmed .            68       50     3626      200        9       66     5961      468
TAB:  US_Minnesota_Ramsey Confirmed 3/31/2020    69       56     3626      200        9       66     6229      468
TAB:  US_Minnesota_Ramsey Confirmed .            70       66     3626      200        4      200     8774     1004
TAB:  US_Minnesota_Ramsey Confirmed 4/2/2020     71       67     3626      200        5      200     7434     1272
TAB:  US_Minnesota_Ramsey Confirmed .            72       71     3626      200        7       66     6898      870
TAB:  US_Minnesota_Ramsey Confirmed 4/4/2020     73       79     3626      287        6      159     2844      671
TAB:  US_Minnesota_Ramsey Confirmed .            74       91     3626      334        7      334    14936     1138
TAB:  US_Minnesota_Ramsey Confirmed 4/6/2020     75       96     3626      334        6      334     9310     1540
TAB:  US_Minnesota_Ramsey Confirmed .            76      101     3626      334        8      200     3683     1004
TAB:  US_Minnesota_Ramsey Confirmed 4/8/2020     77      112     3626      468        7      334     3549     1004
TAB:  US_Minnesota_Ramsey Confirmed .            78      121     3626      468        5      334     4621     1138
TAB:  US_Minnesota_Ramsey Confirmed 4/10/2020    79      124     3626      468        9      200     1808      736
TAB:  US_Minnesota_Ramsey Confirmed .            80      132     3626      386        3      174      986      445
TAB:  US_Minnesota_Ramsey Confirmed 4/12/2020    81      152     3626      736        6      468     3817     1004
TAB:  US_Minnesota_Ramsey Confirmed .            82      152     3626      736        8      468     1942     1004
TAB:  US_Minnesota_Ramsey Confirmed 4/14/2020    83      153     3626      551        5      154     1037      595
TAB:  US_Minnesota_Ramsey Confirmed .            84      164     3626      431        2      181      746      497
TAB:  US_Minnesota_Ramsey Confirmed 4/16/2020    85      164     3626      172        2      172      623      417
TAB:  US_Minnesota_Ramsey Confirmed .            86      178     3626      468       15      200      602      468
TAB:  US_Minnesota_Ramsey Confirmed 4/18/2020    87      192     3626      468       23      334     2210      602
TAB:  US_Minnesota_Ramsey Confirmed .            88      196     3626      468       26      334     1138      602
TAB:  US_Minnesota_Ramsey Confirmed 4/20/2020    89      202     3626      468       27      200      602      468
TAB:  US_Minnesota_Ramsey Confirmed .            90      215     3626      468       29      334     1272      602
TAB:  US_Minnesota_Ramsey Confirmed 4/22/2020    91      219     3626      468       31      334     1004      602
TAB:  US_Minnesota_Ramsey Confirmed .            92      235     3626      468       27      468     2746      870
TAB:  US_Minnesota_Ramsey Confirmed 4/24/2020    93      247     3626      468       16      468     4219     1942
TAB:  US_Minnesota_Ramsey Confirmed .            94      261     3626      602       22      468    11051     1138
TAB:  US_Minnesota_Ramsey Confirmed 4/26/2020    95      278     3626      602       19      468     2344      870
TAB:  US_Minnesota_Ramsey Confirmed .            96      297     3626      736       13      602     7166     1138
TAB:  US_Minnesota_Ramsey Confirmed 4/28/2020    97      317     3626      870       10      602    24447     1138
TAB:  US_Minnesota_Ramsey Confirmed .            98      332     3626      736        8      736     5291     1406
TAB:  US_Minnesota_Ramsey Confirmed 4/30/2020    99      374     3626     1138        5      736     8506     1674
TAB:  US_Minnesota_Ramsey Confirmed .           100      405     3626     1540        4      870    15338     1942
TAB:  US_Minnesota_Ramsey Confirmed 5/2/2020    101      453     3626     1138        4     1138    20428     2478
TAB:  US_Minnesota_Ramsey Confirmed .           102      493     3626     3014        3     1272    17749     3148
