TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        7851.00000        8.96840
TAB:  Italy_Lazio Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_Lazio Confirmed .           130     7728     7851     7988       41     7786     7988     7948
TAB:  Italy_Lazio Confirmed 6/1/2020    131     7738     7851     7948       28     7788     7948     7868
TAB:  Italy_Lazio Confirmed .           132     7743     7851     7948       31     7788     7948     7868
TAB:  Italy_Lazio Confirmed 6/3/2020    133     7753     7851     7948       34     7868     7948     7948
TAB:  Italy_Lazio Confirmed .           134     7764     7851     7917       38     7869     8014     7917
TAB:  Italy_Lazio Confirmed 6/5/2020    135     7773     7851     7976       94     7976     8266     8266
TAB:  Italy_Lazio Confirmed .           136     7801     7851     7976       89     7976     9716     8556
TAB:  Italy_Lazio Confirmed 6/7/2020    137     7812     7851     7976       87     7976     9426     8556
TAB:  Italy_Lazio Confirmed .           138     7828     7851     7976       85     7976     9716     8556
TAB:  Italy_Lazio Confirmed 6/9/2020    139     7851     7851     7976       80     7976    12617     8556
AAA2     1 Italy_Lazio Confirmed cc1=  .863099 cc2=  .509545 lx=  4.96840 if=  33 il=  40 3/2/2020   n=   7 now=    7851 end=        143         7         0 U=    28.33 T=   71.3 p1= -98.2 p2=  5490.2 ed=   138 6/8/2020    x1=  33. x2=  40. y1=  1.35 y2=  1.11     
GP: Confirmed Italy_Lazio 3/2/2020         40    7851      143       7        0     0   138 6/8/2020  
AAA2     1 Italy_Lazio Confirmed cc1=  .890274 cc2=  .512310 lx=  4.96840 if=  34 il=  40 3/2/2020   n=   6 now=    7851 end=        143         7         0 U=    24.28 T=   66.9 p1= -98.2 p2=  5490.2 ed=   124 5/25/2020   x1=  34. x2=  40. y1=  1.35 y2=  1.11     
GP: Confirmed Italy_Lazio 3/2/2020         40    7851      143       7        0     0   124 5/25/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .912789 cc2=  .504541 lx=  4.96840 if=  35 il=  40 3/2/2020   n=   5 now=    7851 end=        143         7         0 U=    20.23 T=   62.4 p1= -98.2 p2=  5490.2 ed=   110 5/11/2020   x1=  35. x2=  40. y1=  1.35 y2=  1.11     
GP: Confirmed Italy_Lazio 3/2/2020         40    7851      143       7        0     0   110 5/11/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .880920 cc2=  .547587 lx= 10.96840 if=  33 il=  41 3/3/2020   n=   8 now=    7851 end=      58011        14         0 U=    47.14 T=  140.9 p1= 638.9 p2=    13.5 ed=   252 9/30/2020   x1=  33. x2=  41. y1=  2.29 y2=  2.12     
GP: Confirmed Italy_Lazio 3/3/2020         41    7851    -          14        0     0   252 9/30/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .906132 cc2=  .552579 lx= 10.96840 if=  34 il=  41 3/3/2020   n=   7 now=    7851 end=      58011        14         0 U=    41.25 T=  128.4 p1= 638.9 p2=    13.5 ed=   225 9/3/2020    x1=  34. x2=  41. y1=  2.29 y2=  2.12     
GP: Confirmed Italy_Lazio 3/3/2020         41    7851    -          14        0     0   225 9/3/2020  
AAA2     1 Italy_Lazio Confirmed cc1=  .928539 cc2=  .550575 lx= 10.96840 if=  35 il=  41 3/3/2020   n=   6 now=    7851 end=      58011        14         0 U=    35.36 T=  116.0 p1= 638.9 p2=    13.5 ed=   199 8/8/2020    x1=  35. x2=  41. y1=  2.29 y2=  2.12     
GP: Confirmed Italy_Lazio 3/3/2020         41    7851    -          14        0     0   199 8/8/2020  
AAA2     1 Italy_Lazio Confirmed cc1=  .942124 cc2=  .533876 lx= 10.96840 if=  36 il=  41 3/3/2020   n=   5 now=    7851 end=      58011        14         0 U=    29.46 T=  103.5 p1= 638.9 p2=    13.5 ed=   172 7/12/2020   x1=  36. x2=  41. y1=  2.29 y2=  2.12     
GP: Confirmed Italy_Lazio 3/3/2020         41    7851    -          14        0     0   172 7/12/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .879682 cc2=  .563454 lx= 10.96840 if=  33 il=  42 3/4/2020   n=   9 now=    7851 end=      58011        30         0 U=    33.88 T=  110.6 p1= 638.9 p2=    13.5 ed=   190 7/30/2020   x1=  33. x2=  42. y1=  2.29 y2=  2.02     
GP: Confirmed Italy_Lazio 3/4/2020         42    7851    -          30        0     0   190 7/30/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .902756 cc2=  .569422 lx= 10.96840 if=  34 il=  42 3/4/2020   n=   8 now=    7851 end=      58011        30         0 U=    30.11 T=  102.9 p1= 638.9 p2=    13.5 ed=   174 7/14/2020   x1=  34. x2=  42. y1=  2.29 y2=  2.02     
GP: Confirmed Italy_Lazio 3/4/2020         42    7851    -          30        0     0   174 7/14/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .924064 cc2=  .570511 lx= 10.96840 if=  35 il=  42 3/4/2020   n=   7 now=    7851 end=      58011        30         0 U=    26.35 T=   95.3 p1= 638.9 p2=    13.5 ed=   157 6/27/2020   x1=  35. x2=  42. y1=  2.29 y2=  2.02     
GP: Confirmed Italy_Lazio 3/4/2020         42    7851    -          30        0     0   157 6/27/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .940014 cc2=  .562050 lx= 10.96840 if=  36 il=  42 3/4/2020   n=   6 now=    7851 end=      58011        30         0 U=    22.59 T=   87.7 p1= 638.9 p2=    13.5 ed=   141 6/11/2020   x1=  36. x2=  42. y1=  2.29 y2=  2.02     
GP: Confirmed Italy_Lazio 3/4/2020         42    7851    -          30        0     0   141 6/11/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .942366 cc2=  .534118 lx= 10.96840 if=  37 il=  42 3/4/2020   n=   5 now=    7851 end=      58011        30         0 U=    18.82 T=   80.1 p1= 638.9 p2=    13.5 ed=   124 5/25/2020   x1=  37. x2=  42. y1=  2.29 y2=  2.02     
GP: Confirmed Italy_Lazio 3/4/2020         42    7851    -          30        0     0   124 5/25/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .901951 cc2=  .600440 lx= 10.96840 if=  33 il=  43 3/5/2020   n=  10 now=    7851 end=      58011        44         0 U=    31.49 T=  105.1 p1= 638.9 p2=    13.5 ed=   179 7/19/2020   x1=  33. x2=  43. y1=  2.29 y2=  1.97     
GP: Confirmed Italy_Lazio 3/5/2020         43    7851    -          44        0     0   179 7/19/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .922690 cc2=  .606462 lx= 10.96840 if=  34 il=  43 3/5/2020   n=   9 now=    7851 end=      58011        44         0 U=    28.34 T=   98.9 p1= 638.9 p2=    13.5 ed=   165 7/5/2020    x1=  34. x2=  43. y1=  2.29 y2=  1.97     
GP: Confirmed Italy_Lazio 3/5/2020         43    7851    -          44        0     0   165 7/5/2020  
AAA2     1 Italy_Lazio Confirmed cc1=  .941865 cc2=  .608532 lx= 10.96840 if=  35 il=  43 3/5/2020   n=   8 now=    7851 end=      58011        44         0 U=    25.19 T=   92.7 p1= 638.9 p2=    13.5 ed=   152 6/22/2020   x1=  35. x2=  43. y1=  2.29 y2=  1.97     
GP: Confirmed Italy_Lazio 3/5/2020         43    7851    -          44        0     0   152 6/22/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .956961 cc2=  .603408 lx= 10.96840 if=  36 il=  43 3/5/2020   n=   7 now=    7851 end=      58011        44         0 U=    22.04 T=   86.5 p1= 638.9 p2=    13.5 ed=   138 6/8/2020    x1=  36. x2=  43. y1=  2.29 y2=  1.97     
GP: Confirmed Italy_Lazio 3/5/2020         43    7851    -          44        0     0   138 6/8/2020  
AAA2     1 Italy_Lazio Confirmed cc1=  .962931 cc2=  .584967 lx= 10.96840 if=  37 il=  43 3/5/2020   n=   6 now=    7851 end=      58011        44         0 U=    18.89 T=   80.3 p1= 638.9 p2=    13.5 ed=   124 5/25/2020   x1=  37. x2=  43. y1=  2.29 y2=  1.97     
GP: Confirmed Italy_Lazio 3/5/2020         43    7851    -          44        0     0   124 5/25/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .949920 cc2=  .541671 lx= 10.96840 if=  38 il=  43 3/5/2020   n=   5 now=    7851 end=      58011        44         0 U=    20.43 T=   83.3 p1= 638.9 p2=    13.5 ed=   131 6/1/2020    x1=  38. x2=  43. y1=  2.22 y2=  1.97     
GP: Confirmed Italy_Lazio 3/5/2020         43    7851    -          44        0     0   131 6/1/2020  
AAA2     1 Italy_Lazio Confirmed cc1=  .924233 cc2=  .635558 lx= 10.96840 if=  33 il=  44 3/6/2020   n=  11 now=    7851 end=      58011        54       145 U=    31.74 T=  105.7 p1= 638.9 p2=    13.5 ed=   180 7/20/2020   x1=  33. x2=  44. y1=  2.29 y2=  1.94     
GP: Confirmed Italy_Lazio 3/6/2020         44    7851    -          54      145     1   180 7/20/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .941971 cc2=  .640460 lx= 10.96840 if=  34 il=  44 3/6/2020   n=  10 now=    7851 end=      58011        54       145 U=    28.86 T=  100.1 p1= 638.9 p2=    13.5 ed=   168 7/8/2020    x1=  34. x2=  44. y1=  2.29 y2=  1.94     
GP: Confirmed Italy_Lazio 3/6/2020         44    7851    -          54      145     1   168 7/8/2020  
AAA2     1 Italy_Lazio Confirmed cc1=  .957917 cc2=  .641689 lx= 10.96840 if=  35 il=  44 3/6/2020   n=   9 now=    7851 end=      58011        54       145 U=    25.97 T=   94.5 p1= 638.9 p2=    13.5 ed=   155 6/25/2020   x1=  35. x2=  44. y1=  2.29 y2=  1.94     
GP: Confirmed Italy_Lazio 3/6/2020         44    7851    -          54      145     1   155 6/25/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .970057 cc2=  .636724 lx= 10.96840 if=  36 il=  44 3/6/2020   n=   8 now=    7851 end=      58011        54       145 U=    23.09 T=   88.9 p1= 638.9 p2=    13.5 ed=   143 6/13/2020   x1=  36. x2=  44. y1=  2.29 y2=  1.94     
GP: Confirmed Italy_Lazio 3/6/2020         44    7851    -          54      145     1   143 6/13/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .974847 cc2=  .621294 lx= 10.96840 if=  37 il=  44 3/6/2020   n=   7 now=    7851 end=      58011        54       145 U=    20.20 T=   83.3 p1= 638.9 p2=    13.5 ed=   130 5/31/2020   x1=  37. x2=  44. y1=  2.29 y2=  1.94     
GP: Confirmed Italy_Lazio 3/6/2020         44    7851    -          54      145     1   130 5/31/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .966877 cc2=  .588912 lx= 10.96840 if=  38 il=  44 3/6/2020   n=   6 now=    7851 end=      58011        54       145 U=    21.92 T=   86.6 p1= 638.9 p2=    13.5 ed=   138 6/8/2020    x1=  38. x2=  44. y1=  2.22 y2=  1.94     
GP: Confirmed Italy_Lazio 3/6/2020         44    7851    -          54      145     1   138 6/8/2020  
AAA1     1 Italy_Lazio Confirmed cc1=  .984942 cc2=  .576694 lx=  5.32840 if=  39 il=  44 3/6/2020   n=   5 now=    7851 end=        206        54       145 U=     5.15 T=   45.5 p1= -97.4 p2=  3811.2 ed=    57 3/19/2020   x1=  39. x2=  44. y1=  1.26 y2=   .29 BEST
AAA2     1 Italy_Lazio Confirmed cc1=  .984942 cc2=  .576694 lx=  5.32540 if=  39 il=  44 3/6/2020   n=   5 now=    7851 end=        206        54       145 U=     5.15 T=   45.5 p1= -97.4 p2=  3811.2 ed=    57 3/19/2020   x1=  39. x2=  44. y1=  1.26 y2=   .29 BEST
GP: Confirmed Italy_Lazio 3/6/2020         44    7851      206      54      145     1    57 3/19/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .939954 cc2=  .662604 lx= 10.96840 if=  33 il=  45 3/7/2020   n=  12 now=    7851 end=      58011        76       145 U=    30.25 T=  102.3 p1= 638.9 p2=    13.5 ed=   173 7/13/2020   x1=  33. x2=  45. y1=  2.29 y2=  1.89     
GP: Confirmed Italy_Lazio 3/7/2020         45    7851    -          76      145     2   173 7/13/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .955150 cc2=  .666475 lx= 10.96840 if=  34 il=  45 3/7/2020   n=  11 now=    7851 end=      58011        76       145 U=    27.73 T=   97.5 p1= 638.9 p2=    13.5 ed=   162 7/2/2020    x1=  34. x2=  45. y1=  2.29 y2=  1.89     
GP: Confirmed Italy_Lazio 3/7/2020         45    7851    -          76      145     2   162 7/2/2020  
AAA2     1 Italy_Lazio Confirmed cc1=  .968471 cc2=  .666960 lx= 10.96840 if=  35 il=  45 3/7/2020   n=  10 now=    7851 end=      58011        76       145 U=    25.21 T=   92.7 p1= 638.9 p2=    13.5 ed=   152 6/22/2020   x1=  35. x2=  45. y1=  2.29 y2=  1.89     
GP: Confirmed Italy_Lazio 3/7/2020         45    7851    -          76      145     2   152 6/22/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .978311 cc2=  .662083 lx= 10.96840 if=  36 il=  45 3/7/2020   n=   9 now=    7851 end=      58011        76       145 U=    22.69 T=   87.9 p1= 638.9 p2=    13.5 ed=   141 6/11/2020   x1=  36. x2=  45. y1=  2.29 y2=  1.89     
GP: Confirmed Italy_Lazio 3/7/2020         45    7851    -          76      145     2   141 6/11/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .982150 cc2=  .648817 lx= 10.96840 if=  37 il=  45 3/7/2020   n=   8 now=    7851 end=      58011        76       145 U=    20.17 T=   83.2 p1= 638.9 p2=    13.5 ed=   130 5/31/2020   x1=  37. x2=  45. y1=  2.29 y2=  1.89     
GP: Confirmed Italy_Lazio 3/7/2020         45    7851    -          76      145     2   130 5/31/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .977294 cc2=  .623741 lx=  7.68840 if=  38 il=  45 3/7/2020   n=   7 now=    7851 end=       2182        76       145 U=    12.43 T=   60.1 p1= -72.2 p2=   359.8 ed=    89 4/20/2020   x1=  38. x2=  45. y1=  1.77 y2=  1.21     
GP: Confirmed Italy_Lazio 3/7/2020         45    7851     2182      76      145     2    89 4/20/2020 
AAA1     1 Italy_Lazio Confirmed cc1=  .990585 cc2=  .612621 lx=  5.56840 if=  39 il=  45 3/7/2020   n=   6 now=    7851 end=        262        76       145 U=     5.38 T=   46.1 p1= -96.7 p2=  2996.6 ed=    58 3/20/2020   x1=  39. x2=  45. y1=  1.33 y2=   .21 BEST
AAA2     1 Italy_Lazio Confirmed cc1=  .990585 cc2=  .612621 lx=  5.56540 if=  39 il=  45 3/7/2020   n=   6 now=    7851 end=        262        76       145 U=     5.38 T=   46.1 p1= -96.7 p2=  2996.6 ed=    58 3/20/2020   x1=  39. x2=  45. y1=  1.33 y2=   .21 BEST
GP: Confirmed Italy_Lazio 3/7/2020         45    7851      262      76      145     2    58 3/20/2020 
AAA1     1 Italy_Lazio Confirmed cc1=  .995796 cc2=  .587548 lx=  5.04840 if=  40 il=  45 3/7/2020   n=   5 now=    7851 end=        155        76       145 U=     3.42 T=   43.9 p1= -98.0 p2=  5065.2 ed=    51 3/13/2020   x1=  40. x2=  45. y1=  1.13 y2=  -.33 BEST
AAA2     1 Italy_Lazio Confirmed cc1=  .995796 cc2=  .587548 lx=  5.04440 if=  40 il=  45 3/7/2020   n=   5 now=    7851 end=        155        76       145 U=     3.42 T=   43.9 p1= -98.0 p2=  5065.2 ed=    51 3/13/2020   x1=  40. x2=  45. y1=  1.13 y2=  -.33 BEST
GP: Confirmed Italy_Lazio 3/7/2020         45    7851      155      76      145     2    51 3/13/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .952266 cc2=  .685005 lx= 10.96840 if=  33 il=  46 3/8/2020   n=  13 now=    7851 end=      58011        87       145 U=    31.15 T=  104.3 p1= 638.9 p2=    13.5 ed=   177 7/17/2020   x1=  33. x2=  46. y1=  2.29 y2=  1.87     
GP: Confirmed Italy_Lazio 3/8/2020         46    7851    -          87      145     3   177 7/17/2020 
AAA2     1 Italy_Lazio Confirmed cc1=  .964838 cc2=  .687488 lx= 10.96840 if=  34 il=  46 3/8/2020   n=  12 now=    7851 end=      58011        87       145 U=    28.76 T=   99.8 p1= 638.9 p2=    13.5 ed=   167 7/7/2020    x1=  34. x2=  46. y1=  2.29 y2=  1.87     
GP: Confirmed Italy_Lazio 3/8/2020         46    7851    -          87      145     3   167 7/7/2020  
