TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        8191.00000        9.01079
TAB:  Azerbaijan Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Azerbaijan Confirmed 4/8/2020     77      822     8191     5295        2     3782    52503    11650
TAB:  Azerbaijan Confirmed .            78      926     8191     5295        1     5295    45846    11045
TAB:  Azerbaijan Confirmed 4/10/2020    79      991     8191    11953        2     5295    52503    11953
TAB:  Azerbaijan Confirmed .            80     1058     8191     6203        3     1361    32228     7716
TAB:  Azerbaijan Confirmed 4/12/2020    81     1098     8191     1361        3     1361    35557     4993
TAB:  Azerbaijan Confirmed .            82     1148     8191     1361        5     1361    39793     4690
TAB:  Azerbaijan Confirmed 4/14/2020    83     1197     8191     1361        5     1361    41912     4387
TAB:  Azerbaijan Confirmed .            84     1253     8191     1664        5     1361    35557     4993
TAB:  Azerbaijan Confirmed 4/16/2020    85     1283     8191     1664        8     1361    53108     4387
TAB:  Azerbaijan Confirmed .            86     1340     8191     1664        9     1664    49174     4993
TAB:  Azerbaijan Confirmed 4/18/2020    87     1373     8191     1664       10     1664    46148     4993
TAB:  Azerbaijan Confirmed .            88     1398     8191     1664       16     1664    38280     4387
TAB:  Azerbaijan Confirmed 4/20/2020    89     1436     8191     1664       19     1664    54319     4690
TAB:  Azerbaijan Confirmed .            90     1480     8191     1664       12     1664    43425     5295
TAB:  Azerbaijan Confirmed 4/22/2020    91     1518     8191     1966       14     1664    37978     4993
TAB:  Azerbaijan Confirmed .            92     1548     8191     1966       15     1664    22847     4387
TAB:  Azerbaijan Confirmed 4/24/2020    93     1592     8191     1966       20     1664    15282     4085
TAB:  Azerbaijan Confirmed .            94     1617     8191     1869       10     1869     9130     2682
TAB:  Azerbaijan Confirmed 4/26/2020    95     1645     8191     1863        8     1863     6777     2436
TAB:  Azerbaijan Confirmed .            96     1678     8191     1916       12     1916     5492     2367
TAB:  Azerbaijan Confirmed 4/28/2020    97     1717     8191     1938        7     1938     4681     2386
TAB:  Azerbaijan Confirmed .            98     1766     8191     1966       21     1966     4690     3480
TAB:  Azerbaijan Confirmed 4/30/2020    99     1804     8191     1966       16     1966    12558     3782
TAB:  Azerbaijan Confirmed .           100     1854     8191     2269       26     1966    21334     3782
TAB:  Azerbaijan Confirmed 5/2/2020    101     1894     8191     2269       26     2269     8019     3782
TAB:  Azerbaijan Confirmed .           102     1932     8191     2269       25     2269    19216     4085
TAB:  Azerbaijan Confirmed 5/4/2020    103     1984     8191     2269       22     2269    15887     4085
TAB:  Azerbaijan Confirmed .           104     2060     8191     2269       15     2269    57042     4085
TAB:  Azerbaijan Confirmed 5/6/2020    105     2127     8191     2572       25     2572    53108     4690
TAB:  Azerbaijan Confirmed .           106     2204     8191     2572       19     2572    55227     4993
TAB:  Azerbaijan Confirmed 5/8/2020    107     2279     8191     2874       24     2572    47964     4690
TAB:  Azerbaijan Confirmed .           108     2422     8191     2874       16     2874    32228     3782
TAB:  Azerbaijan Confirmed 5/10/2020   109     2519     8191     3177       20     3177     4387     3782
TAB:  Azerbaijan Confirmed .           110     2589     8191     3480       14     3177     4993     4085
TAB:  Azerbaijan Confirmed 5/12/2020   111     2693     8191     3480       18     3480     6203     4387
TAB:  Azerbaijan Confirmed .           112     2758     8191     3782       14     3480     7414     4690
TAB:  Azerbaijan Confirmed 5/14/2020   113     2879     8191     3782       18     3782    33136     5295
TAB:  Azerbaijan Confirmed .           114     2980     8191     4085       23     4085    26781     6506
