TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      739503.00000       13.51373
TAB:  Brazil Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Brazil Confirmed .            80    20727   739503    95623       10    13660  4794860   286871
TAB:  Brazil Confirmed 4/12/2020    81    22192   739503    99585        6    27159  1125622   141834
TAB:  Brazil Confirmed .            82    23430   739503    97350        4    29078   476638   115050
TAB:  Brazil Confirmed 4/14/2020    83    25262   739503    95399        6    36692   310660   114968
TAB:  Brazil Confirmed .            84    28320   739503    95623       14    68302   286871   177587
TAB:  Brazil Confirmed 4/16/2020    85    30425   739503    95623       15    95623   259550   177587
TAB:  Brazil Confirmed .            86    33682   739503   122945       19   122945   286871   204908
TAB:  Brazil Confirmed 4/18/2020    87    36658   739503   122945       12   122945   423477   259550
TAB:  Brazil Confirmed .            88    38654   739503   150266       12    68302   450798   259550
TAB:  Brazil Confirmed 4/20/2020    89    40743   739503   150266       12    40981  3975226   232229
TAB:  Brazil Confirmed .            90    43079   739503   150266       16    68302  1024542   204908
TAB:  Brazil Confirmed 4/22/2020    91    45757   739503   150266       17    68302  4794860   204908
TAB:  Brazil Confirmed .            92    50036   739503   150266       16   122945  4849502   259550
TAB:  Brazil Confirmed 4/24/2020    93    54043   739503   150266       10   150266  2691132   341514
TAB:  Brazil Confirmed .            94    59324   739503   177587       16   177587  5259319   587404
TAB:  Brazil Confirmed 4/26/2020    95    63100   739503   177587       10   177587  5313961   560083
TAB:  Brazil Confirmed .            96    67446   739503   204908       17   150266  2090067   423477
TAB:  Brazil Confirmed 4/28/2020    97    73235   739503   204908       11   204908  3838620   532762
TAB:  Brazil Confirmed .            98    79685   739503   232229       12   232229  3838620   560083
TAB:  Brazil Confirmed 4/30/2020    99    87187   739503   259550       13   259550  4439685   669367
TAB:  Brazil Confirmed .           100    92202   739503   286871       13   286871  4385043   778652
TAB:  Brazil Confirmed 5/2/2020    101    97100   739503   314193       10   150266  5150035   887937
TAB:  Brazil Confirmed .           102   101826   739503   314193       11   122945  5095392   751331
TAB:  Brazil Confirmed 5/4/2020    103   108620   739503   341514       10   177587  5204677   805973
TAB:  Brazil Confirmed .           104   115455   739503   368835        9   232229  5313961   860615
TAB:  Brazil Confirmed 5/6/2020    105   126611   739503   368835        7   368835  4439685  1133827
TAB:  Brazil Confirmed .           106   135773   739503   423477        8   396156  4849502  1379717
TAB:  Brazil Confirmed 5/8/2020    107   146894   739503   450798        8   423477  4712896  1106506
TAB:  Brazil Confirmed .           108   156061   739503   478119        8   478119  3510766  1161148
TAB:  Brazil Confirmed 5/10/2020   109   162699   739503   505441        7   204908  3893262   997221
TAB:  Brazil Confirmed .           110   169594   739503   532762        7   204908  4057189   942579
TAB:  Brazil Confirmed 5/12/2020   111   178214   739503   560083        9   232229  4712896  1489002
TAB:  Brazil Confirmed .           112   190137   739503   587404        8   314193  4576291  1844177
TAB:  Brazil Confirmed 5/14/2020   113   203165   739503   614725        6   505441  5259319  1707571
TAB:  Brazil Confirmed .           114   220291   739503   669367        8   669367  5368604  1789534
TAB:  Brazil Confirmed 5/16/2020   115   233511   739503   696689        4   696689  5368604  1516323
TAB:  Brazil Confirmed .           116   241080   739503   751331        7   341514  5204677  1461681
TAB:  Brazil Confirmed 5/18/2020   117   255368   739503   778652        5   341514  4931466  1243111
TAB:  Brazil Confirmed .           118   271885   739503   833294        7   560083  5368604  1325075
TAB:  Brazil Confirmed 5/20/2020   119   291579   739503   887937        7   887937  5423246  1598286
TAB:  Brazil Confirmed .           120   310087   739503   942579        6   942579  5095392  1516323
TAB:  Brazil Confirmed 5/22/2020   121   330890   739503   997221        4   997221  5368604  1598286
TAB:  Brazil Confirmed .           122   347398   739503  1079185        6   969900  5040750  1570965
TAB:  Brazil Confirmed 5/24/2020   123   363211   739503  1133827        5   532762  5423246  1543644
TAB:  Brazil Confirmed .           124   374898   739503  1188469        5   450798  4740218  1543644
TAB:  Brazil Confirmed 5/26/2020   125   391222   739503  1243111        6   505441  4931466  1707571
TAB:  Brazil Confirmed .           126   411821   739503  1297754        6   642046  5095392  1707571
TAB:  Brazil Confirmed 5/28/2020   127   438238   739503  1352396        4  1024542  5423246  2035425
TAB:  Brazil Confirmed .           128   465166   739503  1434359        5  1434359  4931466  2253994
TAB:  Brazil Confirmed 5/30/2020   129   498440   739503  1516323        3  1516323  5423246  2035425
TAB:  Brazil Confirmed .           130   514849   739503  1598286        3  1598286  4986108  2144709
TAB:  Brazil Confirmed 6/1/2020    131   526447   739503  1652929        3   587404  5204677  2062746
TAB:  Brazil Confirmed .           132   555383   739503  1734892        3   724010  5423246  2253994
TAB:  Brazil Confirmed 6/3/2020    133   584016   739503  1816855        2   969900  5423246  2253994
TAB:  Brazil Confirmed .           134   614941   739503  1898819        3  1543644  5040750  2472563
TAB:  Brazil Confirmed 6/5/2020    135   645771   739503  1980782        3  1980782  5313961  2609168
TAB:  Brazil Confirmed .           136   672846   739503  2062746        2  1625607  4931466  2745774
TAB:  Brazil Confirmed 6/7/2020    137   691758   739503  2144709        3   887937  5150035  2636490
TAB:  Brazil Confirmed .           138   707412   739503    -            3   778652  5259319  2663811
TAB:  Brazil Confirmed 6/9/2020    139   739503   739503    -            3   969900  5368604  2745774
AAA2     1 Brazil Confirmed cc1=  .905477 cc2=  .551923 lx= 15.51373 if=  35 il=  42 3/4/2020   n=   7 now=  739503 end=    5464228         4         0 U=    74.78 T=  240.0 p1= 638.9 p2=    13.5 ed=   416 3/13/2021   x1=  35. x2=  42. y1=  2.74 y2=  2.65     
GP: Confirmed Brazil 3/4/2020         42  739503    -           4        0     0   416 3/13/2021 
AAA2     1 Brazil Confirmed cc1=  .893238 cc2=  .515273 lx= 15.51373 if=  36 il=  42 3/4/2020   n=   6 now=  739503 end=    5464228         4         0 U=    64.10 T=  211.7 p1= 638.9 p2=    13.5 ed=   363 1/19/2021   x1=  36. x2=  42. y1=  2.74 y2=  2.65     
GP: Confirmed Brazil 3/4/2020         42  739503    -           4        0     0   363 1/19/2021 
AAA2     1 Brazil Confirmed cc1=  .933338 cc2=  .600004 lx= 15.51373 if=  35 il=  43 3/5/2020   n=   8 now=  739503 end=    5464228         4     13660 U=    85.46 T=  269.3 p1= 638.9 p2=    13.5 ed=   471 5/7/2021    x1=  35. x2=  43. y1=  2.74 y2=  2.65     
GP: Confirmed Brazil 3/5/2020         43  739503    -           4    13660     1   471 5/7/2021  
AAA2     1 Brazil Confirmed cc1=  .925693 cc2=  .572140 lx= 15.51373 if=  36 il=  43 3/5/2020   n=   7 now=  739503 end=    5464228         4     13660 U=    74.78 T=  241.0 p1= 638.9 p2=    13.5 ed=   417 3/14/2021   x1=  36. x2=  43. y1=  2.74 y2=  2.65     
GP: Confirmed Brazil 3/5/2020         43  739503    -           4    13660     1   417 3/14/2021 
AAA1     1 Brazil Confirmed cc1=  .895791 cc2=  .517826 lx=  9.51373 if=  37 il=  43 3/5/2020   n=   6 now=  739503 end=      13544         4     13660 U=    38.10 T=  122.8 p1= -98.2 p2=  5460.0 ed=   212 8/21/2020   x1=  37. x2=  43. y1=  2.25 y2=  2.10 BEST
AAA2     1 Brazil Confirmed cc1=  .895802 cc2=  .517826 lx=  9.41373 if=  37 il=  43 3/5/2020   n=   6 now=  739503 end=      13544         4     13660 U=    38.10 T=  122.8 p1= -98.2 p2=  5460.0 ed=   212 8/21/2020   x1=  37. x2=  43. y1=  2.25 y2=  2.10 BEST
GP: Confirmed Brazil 3/5/2020         43  739503    13544       4    13660     1   212 8/21/2020 
AAA2     1 Brazil Confirmed cc1=  .901279 cc2=  .585051 lx= 15.51373 if=  35 il=  44 3/6/2020   n=   9 now=  739503 end=    5464228        13         0 U=    49.80 T=  171.5 p1= 638.9 p2=    13.5 ed=   289 11/6/2020   x1=  35. x2=  44. y1=  2.74 y2=  2.56     
