TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3064.00000        8.02748
TAB:  US_Washington_Snohomish Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Washington_Snohomish Confirmed .            70     1304     3064     4018        3     3452    10923     4131
TAB:  US_Washington_Snohomish Confirmed 4/2/2020     71     1376     3064     3905        3     1641    12961     4131
TAB:  US_Washington_Snohomish Confirmed .            72     1439     3064     3907        3     1555    14606     3907
TAB:  US_Washington_Snohomish Confirmed 4/4/2020     73     1503     3064     3926        3     1652     7745     3711
TAB:  US_Washington_Snohomish Confirmed .            74     1559     3064     2106        3     1728     5214     3587
TAB:  US_Washington_Snohomish Confirmed 4/6/2020     75     1603     3064     3669        4     1753     4142     3281
TAB:  US_Washington_Snohomish Confirmed .            76     1659     3064     3480        5     1821     3672     2940
TAB:  US_Washington_Snohomish Confirmed 4/8/2020     77     1695     3064     3324        4     1856     3359     2322
TAB:  US_Washington_Snohomish Confirmed .            78     1745     3064     3196        3     1908     3196     2439
TAB:  US_Washington_Snohomish Confirmed 4/10/2020    79     1802     3064     3113        6     1981     4358     2660
TAB:  US_Washington_Snohomish Confirmed .            80     1835     3064     2825        3     2047     3028     2510
TAB:  US_Washington_Snohomish Confirmed 4/12/2020    81     1867     3064     2134        3     2076     2892     2440
TAB:  US_Washington_Snohomish Confirmed .            82     1907     3064     2156        3     2113     2806     2439
TAB:  US_Washington_Snohomish Confirmed 4/14/2020    83     1950     3064     2196        4     2182     2737     2460
TAB:  US_Washington_Snohomish Confirmed .            84     1988     3064     2547        9     2207     3113     2547
TAB:  US_Washington_Snohomish Confirmed 4/16/2020    85     2032     3064     2320       12     2320     4471     2773
TAB:  US_Washington_Snohomish Confirmed .            86     2056     3064     2320       11     2320     3339     2773
TAB:  US_Washington_Snohomish Confirmed 4/18/2020    87     2093     3064     2343        6     2343     2998     2568
TAB:  US_Washington_Snohomish Confirmed .            88     2143     3064     2433       16     2433    11829     3113
TAB:  US_Washington_Snohomish Confirmed 4/20/2020    89     2163     3064     2436        7     2410     4272     2767
TAB:  US_Washington_Snohomish Confirmed .            90     2189     3064     2431        6     2431     3065     2691
TAB:  US_Washington_Snohomish Confirmed 4/22/2020    91     2209     3064     2453        9     2297     2806     2552
