TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3243.00000        8.08425
TAB:  US_New_York_Monroe Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_Monroe Confirmed .            72      464     3243     1258        2     1258     5091     2935
TAB:  US_New_York_Monroe Confirmed 4/4/2020     73      512     3243     1497        3      658     5690     3055
TAB:  US_New_York_Monroe Confirmed .            74      548     3243     1497        2      658     7008     2935
TAB:  US_New_York_Monroe Confirmed 4/6/2020     75      574     3243      666        3      666     4343     1572
TAB:  US_New_York_Monroe Confirmed .            76      596     3243      669        3      649     2524     1473
TAB:  US_New_York_Monroe Confirmed 4/8/2020     77      651     3243     1988        2      814     2152     1445
TAB:  US_New_York_Monroe Confirmed .            78      698     3243     1812        2      918     1911     1424
TAB:  US_New_York_Monroe Confirmed 4/10/2020    79      742     3243     1737        7     1018     1737     1497
TAB:  US_New_York_Monroe Confirmed .            80      767     3243     1617        6     1018     1617     1377
TAB:  US_New_York_Monroe Confirmed 4/12/2020    81      798     3243     1456        2      902     1534     1347
TAB:  US_New_York_Monroe Confirmed .            82      823     3243     1348        3      932     1459     1289
TAB:  US_New_York_Monroe Confirmed 4/14/2020    83      850     3243     1038        2      967     1388     1203
TAB:  US_New_York_Monroe Confirmed .            84      884     3243     1258       10     1018     1377     1258
TAB:  US_New_York_Monroe Confirmed 4/16/2020    85      932     3243     1258        9     1138    16234     1377
TAB:  US_New_York_Monroe Confirmed .            86      975     3243     1377       13     1258     3055     1617
TAB:  US_New_York_Monroe Confirmed 4/18/2020    87     1008     3243     1377       16     1258     3774     1737
TAB:  US_New_York_Monroe Confirmed .            88     1032     3243     1377       18     1258     2935     1737
TAB:  US_New_York_Monroe Confirmed 4/20/2020    89     1054     3243     1377       19     1138     4492     1737
TAB:  US_New_York_Monroe Confirmed .            90     1070     3243     1345        4     1120     1765     1397
TAB:  US_New_York_Monroe Confirmed 4/22/2020    91     1112     3243     1383        6     1306     1884     1431
TAB:  US_New_York_Monroe Confirmed .            92     1152     3243     1432        7     1410     2156     1706
