TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4023.00000        8.29978
TAB:  US_Louisiana_East_Baton_Rouge Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 1/23/2020     1        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .             2        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 1/25/2020     3        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .             4        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 1/27/2020     5        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .             6        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 1/29/2020     7        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .             8        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 1/31/2020     9        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            10        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 2/2/2020     11        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            12        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 2/4/2020     13        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            14        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 2/6/2020     15        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            16        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 2/8/2020     17        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            18        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 2/10/2020    19        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            20        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 2/12/2020    21        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            22        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 2/14/2020    23        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            24        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 2/16/2020    25        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            26        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 2/18/2020    27        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            28        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 2/20/2020    29        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            30        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 2/22/2020    31        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            32        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 2/24/2020    33        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            34        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 2/26/2020    35        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            36        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 2/28/2020    37        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            38        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/1/2020     39        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            40        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/3/2020     41        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            42        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/5/2020     43        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            44        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/7/2020     45        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            46        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/9/2020     47        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            48        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/11/2020    49        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            50        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/13/2020    51        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            52        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/15/2020    53        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            54        0     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/17/2020    55        1     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            56        2     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/19/2020    57        5     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            58        7     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/21/2020    59       18     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            60       18     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/23/2020    61       43     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            62       58     4023     7059        1     7059     8694     8694
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/25/2020    63       75     4023      183        1      183      893      743
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            64      105     4023      308        1      308      781      692
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/27/2020    65      124     4023      275        1      275      511      440
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            66      153     4023      336        1      336      554      430
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/29/2020    67      164     4023      241        1      241      371      304
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            68      188     4023      262        2      262      343      294
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 3/31/2020    69      228     4023      371        5      371      520      520
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            70      244     4023      406        2      395     1466      429
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/2/2020     71      325     4023      668        2      668     1709     1709
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            72      389     4023      817        1      817     4384     4384
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/4/2020     73      621     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            74      656     4023        0        0        0        0        0
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/6/2020     75      816     4023     3195        1     3195     3195     3195
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            76      892     4023     1114        1     1114     3938     1411
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/8/2020     77      935     4023     1114        2      966     3195     1411
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            78     1000     4023     1114        4     1114     1560     1263
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/10/2020    79     1088     4023     1411        2     1263     3195     1560
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            80     1158     4023     1411        3     1411    28016     2006
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/12/2020    81     1223     4023     1411        2     1411    14194     1857
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            82     1273     4023     1486        3     1486     3099     1772
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/14/2020    83     1295     4023     1479        3     1382     2701     1590
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            84     1325     4023     1459        3     1398     1681     1509
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/16/2020    85     1389     4023     1537        3     1537     2291     1630
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            86     1424     4023     1574        3     1574     1974     1650
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/18/2020    87     1476     4023     1709        9     1560     2006     1857
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            88     1512     4023     1709       10     1709     2303     2006
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/20/2020    89     1534     4023     1676        4     1657     2623     1808
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            90     1560     4023     1697        4     1654     1922     1772
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/22/2020    91     1603     4023     1731        5     1731     2081     1862
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            92     1636     4023     1857       16     1709     2303     2006
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/24/2020    93     1697     4023     1857       14     1857     3046     2601
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            94     1720     4023     1857       12     1857    14491     2601
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/26/2020    95     1739     4023     1857       11     1857     3790     2452
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            96     1771     4023     1945       10     1866     2928     2338
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/28/2020    97     1787     4023     1933        6     1860     2385     2104
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .            98     1830     4023     2006       20     2006     2601     2303
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 4/30/2020    99     1874     4023     2006       17     2006     3344     2452
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .           100     1989     4023     2601        2     2452    10329     6019
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 5/2/2020    101     2054     4023     2898        1     2898    19098     3046
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .           102     2086     4023     3046        1     3046     3195     3195
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 5/4/2020    103     2131     4023     2303        1     2303     3492     3195
TAB:  US_Louisiana_East_Baton_Rouge Confirmed .           104     2175     4023     2303        1     2303     3641     2898
TAB:  US_Louisiana_East_Baton_Rouge Confirmed 5/6/2020    105     2224     4023     2452        1     2452     5722     3195
