TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6667.00000        8.80493
TAB:  US_Ohio_Franklin Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Ohio_Franklin Confirmed 5/26/2020   125     5414     6667     7266        6     7019    25739    10468
TAB:  US_Ohio_Franklin Confirmed .           126     5486     6667     7266        7     7266    25985    10714
TAB:  US_Ohio_Franklin Confirmed 5/28/2020   127     5566     6667     7584        4     6196    17598     9270
TAB:  US_Ohio_Franklin Confirmed .           128     5674     6667     7674        4     7031    14505     9282
TAB:  US_Ohio_Franklin Confirmed 5/30/2020   129     5773     6667     7512        7     7512    14901     9975
TAB:  US_Ohio_Franklin Confirmed .           130     5862     6667     7758       10     7758    13670    10221
TAB:  US_Ohio_Franklin Confirmed 6/1/2020    131     5933     6667     7744        6     7176    15418     9592
TAB:  US_Ohio_Franklin Confirmed .           132     5996     6667     7730        5     6383    10693     8915
TAB:  US_Ohio_Franklin Confirmed 6/3/2020    133     6112     6667     7939       10     7849    10630     9105
TAB:  US_Ohio_Franklin Confirmed .           134     6216     6667     8005       10     8005    28941     9975
TAB:  US_Ohio_Franklin Confirmed 6/5/2020    135     6323     6667     8251       12     8005    15148     9975
TAB:  US_Ohio_Franklin Confirmed .           136     6406     6667     8251        9     8005    17118    10221
TAB:  US_Ohio_Franklin Confirmed 6/7/2020    137     6512     6667     8497       11     8251    41995    11207
TAB:  US_Ohio_Franklin Confirmed .           138     6586     6667     8497        8     7758    19581    10221
TAB:  US_Ohio_Franklin Confirmed 6/9/2020    139     6667     6667     8744       13     7758    34606    11453
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .969436 cc2=  .561188 lx=  4.80493 if=  52 il=  57 3/19/2020  n=   5 now=    6667 end=        122        10         0 U=     7.66 T=   64.0 p1= -98.2 p2=  5464.8 ed=    82 4/13/2020   x1=  52. x2=  57. y1=  1.57 y2=   .92     
GP: Confirmed US_Ohio_Franklin 3/19/2020        57    6667      122      10        0     0    82 4/13/2020 
AAA1     1 US_Ohio_Franklin Confirmed cc1=  .980781 cc2=  .602817 lx=  4.80493 if=  52 il=  58 3/20/2020  n=   6 now=    6667 end=        122        14       123 U=     7.53 T=   63.8 p1= -98.2 p2=  5464.8 ed=    81 4/12/2020   x1=  52. x2=  58. y1=  1.57 y2=   .77 BEST
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .980784 cc2=  .602817 lx=  4.75093 if=  52 il=  58 3/20/2020  n=   6 now=    6667 end=        122        14       123 U=     7.53 T=   63.8 p1= -98.2 p2=  5464.8 ed=    81 4/12/2020   x1=  52. x2=  58. y1=  1.57 y2=   .77 BEST
GP: Confirmed US_Ohio_Franklin 3/20/2020        58    6667      122      14      123     1    81 4/12/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .974607 cc2=  .566358 lx= 10.80493 if=  53 il=  58 3/20/2020  n=   5 now=    6667 end=      49262        14       123 U=    28.93 T=  118.8 p1= 638.9 p2=    13.5 ed=   187 7/27/2020   x1=  53. x2=  58. y1=  2.27 y2=  2.10     
GP: Confirmed US_Ohio_Franklin 3/20/2020        58    6667    -          14      123     1   187 7/27/2020 
AAA1     1 US_Ohio_Franklin Confirmed cc1=  .985921 cc2=  .632368 lx=  6.43493 if=  52 il=  59 3/21/2020  n=   7 now=    6667 end=        623        21       615 U=    10.92 T=   72.3 p1= -90.7 p2=  1070.1 ed=    98 4/29/2020   x1=  52. x2=  59. y1=  1.86 y2=  1.22 BEST
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .985921 cc2=  .632368 lx=  6.43793 if=  52 il=  59 3/21/2020  n=   7 now=    6667 end=        623        21       615 U=    10.92 T=   72.3 p1= -90.7 p2=  1070.1 ed=    98 4/29/2020   x1=  52. x2=  59. y1=  1.86 y2=  1.22 BEST
GP: Confirmed US_Ohio_Franklin 3/21/2020        59    6667      623      21      615     1    98 4/29/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .983205 cc2=  .605240 lx= 10.80493 if=  53 il=  59 3/21/2020  n=   6 now=    6667 end=      49262        21       615 U=    26.82 T=  113.9 p1= 638.9 p2=    13.5 ed=   177 7/17/2020   x1=  53. x2=  59. y1=  2.27 y2=  2.05     
GP: Confirmed US_Ohio_Franklin 3/21/2020        59    6667    -          21      615     1   177 7/17/2020 
