TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3662.00000        8.20576
TAB:  Haiti Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Haiti Confirmed 1/23/2020     1        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .             2        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 1/25/2020     3        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .             4        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 1/27/2020     5        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .             6        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 1/29/2020     7        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .             8        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 1/31/2020     9        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            10        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 2/2/2020     11        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            12        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 2/4/2020     13        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            14        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 2/6/2020     15        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            16        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 2/8/2020     17        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            18        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 2/10/2020    19        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            20        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 2/12/2020    21        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            22        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 2/14/2020    23        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            24        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 2/16/2020    25        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            26        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 2/18/2020    27        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            28        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 2/20/2020    29        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            30        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 2/22/2020    31        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            32        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 2/24/2020    33        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            34        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 2/26/2020    35        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            36        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 2/28/2020    37        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            38        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/1/2020     39        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            40        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/3/2020     41        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            42        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/5/2020     43        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            44        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/7/2020     45        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            46        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/9/2020     47        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            48        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/11/2020    49        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            50        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/13/2020    51        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            52        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/15/2020    53        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            54        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/17/2020    55        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            56        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/19/2020    57        0     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            58        2     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/21/2020    59        2     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            60        2     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/23/2020    61        6     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            62        7     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/25/2020    63        8     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            64        8     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/27/2020    65        8     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            66        8     3662        0        0        0        0        0
TAB:  Haiti Confirmed 3/29/2020    67       15     3662        0        0        0        0        0
TAB:  Haiti Confirmed .            68       15     3662       67        3       67       67       67
TAB:  Haiti Confirmed 3/31/2020    69       15     3662       67        3       67       67       67
TAB:  Haiti Confirmed .            70       16     3662       67        5       67       67       67
TAB:  Haiti Confirmed 4/2/2020     71       16     3662       67        6       67       67       67
TAB:  Haiti Confirmed .            72       18     3662        0        0        0        0        0
TAB:  Haiti Confirmed 4/4/2020     73       20     3662       67        8       67       67       67
TAB:  Haiti Confirmed .            74       21     3662       67        9       67       67       67
TAB:  Haiti Confirmed 4/6/2020     75       24     3662       67        9       67       67       67
TAB:  Haiti Confirmed .            76       25     3662       67       10       67       67       67
TAB:  Haiti Confirmed 4/8/2020     77       27     3662       67       11       67      608      608
TAB:  Haiti Confirmed .            78       30     3662       67        9       67      202      202
TAB:  Haiti Confirmed 4/10/2020    79       31     3662       67       13       67      473      473
TAB:  Haiti Confirmed .            80       33     3662       67       14       67     4938      202
TAB:  Haiti Confirmed 4/12/2020    81       33     3662       67       17       67    10214    10214
TAB:  Haiti Confirmed .            82       40     3662       67        9       67     5208      608
TAB:  Haiti Confirmed 4/14/2020    83       40     3662       67        8       67     9402      879
TAB:  Haiti Confirmed .            84       41     3662       67        9       67      608      338
TAB:  Haiti Confirmed 4/16/2020    85       41     3662       67       15       67      608      338
TAB:  Haiti Confirmed .            86       43     3662       66        7       66      194       84
TAB:  Haiti Confirmed 4/18/2020    87       44     3662       67       23       67      202      202
TAB:  Haiti Confirmed .            88       47     3662       67       23       67      202      202
TAB:  Haiti Confirmed 4/20/2020    89       57     3662      202        6       67     2908      608
TAB:  Haiti Confirmed .            90       57     3662      202        6       67     5749      744
TAB:  Haiti Confirmed 4/22/2020    91       62     3662      202        6       67    12243      879
TAB:  Haiti Confirmed .            92       72     3662      338        5      202      608      338
TAB:  Haiti Confirmed 4/24/2020    93       72     3662      473        5       67      744      473
TAB:  Haiti Confirmed .            94       72     3662      473        5       67    24284      744
TAB:  Haiti Confirmed 4/26/2020    95       74     3662       67        5       67    24961      608
TAB:  Haiti Confirmed .            96       76     3662       67        8       67    16437     3044
TAB:  Haiti Confirmed 4/28/2020    97       76     3662       67        9       67     9808     1285
TAB:  Haiti Confirmed .            98       76     3662       67       11       67    22119     1149
TAB:  Haiti Confirmed 4/30/2020    99       81     3662      202        6       67     1285      608
TAB:  Haiti Confirmed .           100       85     3662      202       10       67      744      338
TAB:  Haiti Confirmed 5/2/2020    101       85     3662      202       12       67      473      338
TAB:  Haiti Confirmed .           102       88     3662      202       19       67      338      202
TAB:  Haiti Confirmed 5/4/2020    103      100     3662      256        2      175      370      276
TAB:  Haiti Confirmed .           104      101     3662      338       14      202      473      338
TAB:  Haiti Confirmed 5/6/2020    105      101     3662      202       13       67     1149      338
TAB:  Haiti Confirmed .           106      129     3662      464        3      272     4887     1169
