TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      142759.00000       11.86891
TAB:  Chile Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Chile Confirmed 4/30/2020    99    16023   142759    23734       19    23734   772680    60654
TAB:  Chile Confirmed .           100    17008   142759    23734       13    23734   414030    60654
TAB:  Chile Confirmed 5/2/2020    101    18435   142759    29008       17    29008   377110    71202
TAB:  Chile Confirmed .           102    19663   142759    29008       11    29008   925634    76476
TAB:  Chile Confirmed 5/4/2020    103    20643   142759    34282        9    29008   661920    76476
TAB:  Chile Confirmed .           104    22016   142759    34282       10    34282   767406    81751
TAB:  Chile Confirmed 5/6/2020    105    23048   142759    39557        8    34282   709389    87025
TAB:  Chile Confirmed .           106    24581   142759    39557        9    39557   635549    92299
TAB:  Chile Confirmed 5/8/2020    107    25972   142759    44831        8    39557   582806    92299
TAB:  Chile Confirmed .           108    27219   142759    44831        7    44831   883440   108122
TAB:  Chile Confirmed 5/10/2020   109    28866   142759    50105        8    50105   741034   123945
TAB:  Chile Confirmed .           110    30063   142759    50105        5    50105  1004748   129219
TAB:  Chile Confirmed 5/12/2020   111    31721   142759    55379        6    55379   751583   145042
TAB:  Chile Confirmed .           112    34381   142759    60654        6    60654   751583   139768
TAB:  Chile Confirmed 5/14/2020   113    37040   142759    65928        5    65928   667195   118671
TAB:  Chile Confirmed .           114    39542   142759    71202        4    71202   994199   129219
TAB:  Chile Confirmed 5/16/2020   115    41428   142759    81751        4    76476   783229   134493
TAB:  Chile Confirmed .           116    43781   142759    81751        3    60654  1046942   150316
TAB:  Chile Confirmed 5/18/2020   117    46059   142759    92299        4    71202   862343   155590
TAB:  Chile Confirmed .           118    49579   142759   102848        3    97574   814874   176688
TAB:  Chile Confirmed 5/20/2020   119    53617   142759   113396        3   108122  1004748   181962
