TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6427.00000        8.76826
TAB:  Sudan Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Sudan Confirmed 1/23/2020     1        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .             2        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 1/25/2020     3        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .             4        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 1/27/2020     5        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .             6        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 1/29/2020     7        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .             8        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 1/31/2020     9        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            10        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 2/2/2020     11        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            12        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 2/4/2020     13        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            14        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 2/6/2020     15        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            16        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 2/8/2020     17        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            18        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 2/10/2020    19        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            20        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 2/12/2020    21        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            22        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 2/14/2020    23        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            24        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 2/16/2020    25        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            26        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 2/18/2020    27        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            28        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 2/20/2020    29        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            30        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 2/22/2020    31        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            32        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 2/24/2020    33        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            34        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 2/26/2020    35        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            36        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 2/28/2020    37        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            38        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 3/1/2020     39        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            40        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 3/3/2020     41        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            42        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 3/5/2020     43        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            44        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 3/7/2020     45        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            46        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 3/9/2020     47        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            48        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 3/11/2020    49        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            50        0     6427        0        0        0        0        0
TAB:  Sudan Confirmed 3/13/2020    51        1     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            52        1     6427        0        0        0        0        0
TAB:  Sudan Confirmed 3/15/2020    53        1     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            54        1     6427        0        0        0        0        0
TAB:  Sudan Confirmed 3/17/2020    55        1     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            56        2     6427        0        0        0        0        0
TAB:  Sudan Confirmed 3/19/2020    57        2     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            58        2     6427        0        0        0        0        0
TAB:  Sudan Confirmed 3/21/2020    59        2     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            60        2     6427    -            1    27916    27916    27916
TAB:  Sudan Confirmed 3/23/2020    61        2     6427    -            1    29440    29440    29440
TAB:  Sudan Confirmed .            62        3     6427      119        2      119      119      119
TAB:  Sudan Confirmed 3/25/2020    63        3     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            64        3     6427        0        0        0        0        0
TAB:  Sudan Confirmed 3/27/2020    65        3     6427      110        5      110    36640    18264
TAB:  Sudan Confirmed .            66        5     6427      593        2      593     4392     4392
TAB:  Sudan Confirmed 3/29/2020    67        6     6427        0        0        0        0        0
TAB:  Sudan Confirmed .            68        6     6427      118        2      118      118      118
TAB:  Sudan Confirmed 3/31/2020    69        7     6427      118        4      118      118      118
TAB:  Sudan Confirmed .            70        7     6427      118        4      118      356      356
TAB:  Sudan Confirmed 4/2/2020     71        8     6427      118        7      118    33123     9379
TAB:  Sudan Confirmed .            72       10     6427      118        6      118      118      118
TAB:  Sudan Confirmed 4/4/2020     73       10     6427      118        6      118      356      356
TAB:  Sudan Confirmed .            74       12     6427      118        6      118      593      593
TAB:  Sudan Confirmed 4/6/2020     75       12     6427      118        9      118    25762    17927
TAB:  Sudan Confirmed .            76       14     6427      118       10      118    16502     1780
TAB:  Sudan Confirmed 4/8/2020     77       14     6427      118       12      118    17927     2730
TAB:  Sudan Confirmed .            78       15     6427      118       16      118    40959      831
TAB:  Sudan Confirmed 4/10/2020    79       17     6427      118       15      118    10328      593
TAB:  Sudan Confirmed .            80       19     6427      118       12      118    32411     1305
TAB:  Sudan Confirmed 4/12/2020    81       19     6427      118       16      118    32411      831
TAB:  Sudan Confirmed .            82       29     6427     1068        3      831    24813     6529
TAB:  Sudan Confirmed 4/14/2020    83       32     6427    10803        1    10803    40009    14127
TAB:  Sudan Confirmed .            84       32     6427    15077        1    15077    27187    19589
TAB:  Sudan Confirmed 4/16/2020    85       32     6427      118        1      118    35260     8904
