TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6733.00000        8.81478
TAB:  US_Pennsylvania_Delaware Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA1     1 US_Pennsylvania_Delaware Confirmed cc1=  .936276 cc2=  .658925 lx=  4.81478 if=  45 il=  57 3/19/2020  n=  12 now=    6733 end=        123        14       124 U=    15.11 T=   68.7 p1= -98.2 p2=  5474.0 ed=   104 5/5/2020    x1=  45. x2=  57. y1=  1.57 y2=   .78 BEST
AAA2     1 US_Pennsylvania_Delaware Confirmed cc1=  .936410 cc2=  .658925 lx=  4.71478 if=  45 il=  57 3/19/2020  n=  12 now=    6733 end=        123        14       124 U=    15.11 T=   68.7 p1= -98.2 p2=  5474.0 ed=   104 5/5/2020    x1=  45. x2=  57. y1=  1.57 y2=   .78 BEST
GP: Confirmed US_Pennsylvania_Delaware 3/19/2020        57    6733      123      14      124     7   104 5/5/2020  
AAA1     1 US_Pennsylvania_Delaware Confirmed cc1=  .944365 cc2=  .655689 lx=  4.81478 if=  46 il=  57 3/19/2020  n=  11 now=    6733 end=        123        14       124 U=    13.85 T=   67.8 p1= -98.2 p2=  5474.0 ed=   100 5/1/2020    x1=  46. x2=  57. y1=  1.57 y2=   .78 BEST
AAA2     1 US_Pennsylvania_Delaware Confirmed cc1=  .944606 cc2=  .655689 lx=  4.71478 if=  46 il=  57 3/19/2020  n=  11 now=    6733 end=        123        14       124 U=    13.85 T=   67.8 p1= -98.2 p2=  5474.0 ed=   100 5/1/2020    x1=  46. x2=  57. y1=  1.57 y2=   .78 BEST
GP: Confirmed US_Pennsylvania_Delaware 3/19/2020        57    6733      123      14      124     7   100 5/1/2020  
AAA1     1 US_Pennsylvania_Delaware Confirmed cc1=  .948054 cc2=  .646543 lx=  4.81478 if=  47 il=  57 3/19/2020  n=  10 now=    6733 end=        123        14       124 U=    12.59 T=   66.8 p1= -98.2 p2=  5474.0 ed=    96 4/27/2020   x1=  47. x2=  57. y1=  1.57 y2=   .78 BEST
AAA2     1 US_Pennsylvania_Delaware Confirmed cc1=  .948442 cc2=  .646543 lx=  4.71478 if=  47 il=  57 3/19/2020  n=  10 now=    6733 end=        123        14       124 U=    12.59 T=   66.8 p1= -98.2 p2=  5474.0 ed=    96 4/27/2020   x1=  47. x2=  57. y1=  1.57 y2=   .78 BEST
GP: Confirmed US_Pennsylvania_Delaware 3/19/2020        57    6733      123      14      124     7    96 4/27/2020 
AAA1     1 US_Pennsylvania_Delaware Confirmed cc1=  .944453 cc2=  .628225 lx=  4.81478 if=  48 il=  57 3/19/2020  n=   9 now=    6733 end=        123        14       124 U=    11.33 T=   65.8 p1= -98.2 p2=  5474.0 ed=    92 4/23/2020   x1=  48. x2=  57. y1=  1.57 y2=   .78 BEST
