TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4833.00000        8.48322
TAB:  Italy_Campania Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 Italy_Campania Confirmed cc1=  .968574 cc2=  .560326 lx= 10.48322 if=  38 il=  43 3/5/2020   n=   5 now=    4833 end=      35711        45        89 U=    29.31 T=   98.7 p1= 638.9 p2=    13.5 ed=   167 7/7/2020    x1=  38. x2=  43. y1=  2.07 y2=  1.90     
GP: Confirmed Italy_Campania 3/5/2020         43    4833    -          45       89     2   167 7/7/2020  
AAA1     1 Italy_Campania Confirmed cc1=  .984090 cc2=  .650757 lx=  4.97322 if=  36 il=  44 3/6/2020   n=   8 now=    4833 end=        144        57        89 U=     5.61 T=   43.6 p1= -97.0 p2=  3356.2 ed=    56 3/18/2020   x1=  36. x2=  44. y1=  1.35 y2=  -.07 BEST
AAA2     1 Italy_Campania Confirmed cc1=  .984090 cc2=  .650757 lx=  4.97022 if=  36 il=  44 3/6/2020   n=   8 now=    4833 end=        144        57        89 U=     5.61 T=   43.6 p1= -97.0 p2=  3356.2 ed=    56 3/18/2020   x1=  36. x2=  44. y1=  1.35 y2=  -.07 BEST
GP: Confirmed Italy_Campania 3/6/2020         44    4833      144      57       89     2    56 3/18/2020 
AAA1     1 Italy_Campania Confirmed cc1=  .977508 cc2=  .623955 lx=  4.89322 if=  37 il=  44 3/6/2020   n=   7 now=    4833 end=        133        57        89 U=     4.94 T=   43.2 p1= -97.2 p2=  3633.8 ed=    54 3/16/2020   x1=  37. x2=  44. y1=  1.25 y2=  -.16 BEST
AAA2     1 Italy_Campania Confirmed cc1=  .977508 cc2=  .623955 lx=  4.88922 if=  37 il=  44 3/6/2020   n=   7 now=    4833 end=        133        57        89 U=     4.94 T=   43.2 p1= -97.2 p2=  3633.8 ed=    54 3/16/2020   x1=  37. x2=  44. y1=  1.25 y2=  -.16 BEST
GP: Confirmed Italy_Campania 3/6/2020         44    4833      133      57       89     2    54 3/16/2020 
AAA2     1 Italy_Campania Confirmed cc1=  .980391 cc2=  .602426 lx= 10.48322 if=  38 il=  44 3/6/2020   n=   6 now=    4833 end=      35711        57        89 U=    29.04 T=   98.1 p1= 638.9 p2=    13.5 ed=   166 7/6/2020    x1=  38. x2=  44. y1=  2.07 y2=  1.86     
GP: Confirmed Italy_Campania 3/6/2020         44    4833    -          57       89     2   166 7/6/2020  
AAA2     1 Italy_Campania Confirmed cc1=  .974335 cc2=  .566086 lx=  7.39322 if=  39 il=  44 3/6/2020   n=   5 now=    4833 end=       1624        57        89 U=    16.22 T=   63.6 p1= -66.4 p2=   297.6 ed=   101 5/2/2020    x1=  39. x2=  44. y1=  1.52 y2=  1.21     
GP: Confirmed Italy_Campania 3/6/2020         44    4833     1624      57       89     2   101 5/2/2020  
AAA2     1 Italy_Campania Confirmed cc1=  .988016 cc2=  .671788 lx=  4.83322 if=  36 il=  45 3/7/2020   n=   9 now=    4833 end=        125        61        95 U=     5.48 T=   43.2 p1= -97.4 p2=  3866.4 ed=    56 3/18/2020   x1=  36. x2=  45. y1=  1.32 y2=  -.33     
GP: Confirmed Italy_Campania 3/7/2020         45    4833      125      61       95     1    56 3/18/2020 
AAA2     1 Italy_Campania Confirmed cc1=  .983796 cc2=  .650463 lx=  4.76322 if=  37 il=  45 3/7/2020   n=   8 now=    4833 end=        117        61        95 U=     4.87 T=   42.9 p1= -97.6 p2=  4130.8 ed=    54 3/16/2020   x1=  37. x2=  45. y1=  1.22 y2=  -.43     
GP: Confirmed Italy_Campania 3/7/2020         45    4833      117      61       95     1    54 3/16/2020 
AAA2     1 Italy_Campania Confirmed cc1=  .983759 cc2=  .630205 lx=  7.60322 if=  38 il=  45 3/7/2020   n=   7 now=    4833 end=       2004        61        95 U=    19.10 T=   68.9 p1= -58.5 p2=   241.2 ed=   113 5/14/2020   x1=  38. x2=  45. y1=  1.62 y2=  1.25     
GP: Confirmed Italy_Campania 3/7/2020         45    4833     2004      61       95     1   113 5/14/2020 
AAA2     1 Italy_Campania Confirmed cc1=  .980519 cc2=  .602555 lx=  5.15322 if=  39 il=  45 3/7/2020   n=   6 now=    4833 end=        172        61        95 U=     7.50 T=   45.3 p1= -96.4 p2=  2809.9 ed=    63 3/25/2020   x1=  39. x2=  45. y1=   .84 y2=   .04     
GP: Confirmed Italy_Campania 3/7/2020         45    4833      172      61       95     1    63 3/25/2020 
AAA1     1 Italy_Campania Confirmed cc1=  .984628 cc2=  .576380 lx=  4.51322 if=  40 il=  45 3/7/2020   n=   5 now=    4833 end=         91        61        95 U=     3.50 T=   41.8 p1= -98.1 p2=  5311.0 ed=    50 3/12/2020   x1=  40. x2=  45. y1=   .52 y2=  -.91 BEST
AAA2     1 Italy_Campania Confirmed cc1=  .984628 cc2=  .576380 lx=  4.51722 if=  40 il=  45 3/7/2020   n=   5 now=    4833 end=         91        61        95 U=     3.50 T=   41.8 p1= -98.1 p2=  5311.0 ed=    50 3/12/2020   x1=  40. x2=  45. y1=   .52 y2=  -.91 BEST
GP: Confirmed Italy_Campania 3/7/2020         45    4833       91      61       95     1    50 3/12/2020 
AAA2     1 Italy_Campania Confirmed cc1=  .984242 cc2=  .650909 lx= 10.48322 if=  38 il=  46 3/8/2020   n=   8 now=    4833 end=      35711       101         0 U=    26.70 T=   93.2 p1= 638.9 p2=    13.5 ed=   156 6/26/2020   x1=  38. x2=  46. y1=  2.07 y2=  1.77     
GP: Confirmed Italy_Campania 3/8/2020         46    4833    -         101        0     0   156 6/26/2020 
AAA2     1 Italy_Campania Confirmed cc1=  .980665 cc2=  .627112 lx= 10.48322 if=  39 il=  46 3/8/2020   n=   7 now=    4833 end=      35711       101         0 U=    26.40 T=   92.7 p1= 638.9 p2=    13.5 ed=   155 6/25/2020   x1=  39. x2=  46. y1=  2.03 y2=  1.77     
GP: Confirmed Italy_Campania 3/8/2020         46    4833    -         101        0     0   155 6/25/2020 
AAA2     1 Italy_Campania Confirmed cc1=  .988149 cc2=  .671921 lx= 10.48322 if=  38 il=  47 3/9/2020   n=   9 now=    4833 end=      35711       120         0 U=    27.32 T=   94.5 p1= 638.9 p2=    13.5 ed=   158 6/28/2020   x1=  38. x2=  47. y1=  2.07 y2=  1.74     
GP: Confirmed Italy_Campania 3/9/2020         47    4833    -         120        0     0   158 6/28/2020 
AAA2     1 Italy_Campania Confirmed cc1=  .986318 cc2=  .652985 lx= 10.48322 if=  39 il=  47 3/9/2020   n=   8 now=    4833 end=      35711       120         0 U=    27.12 T=   94.2 p1= 638.9 p2=    13.5 ed=   158 6/28/2020   x1=  39. x2=  47. y1=  2.03 y2=  1.74     
GP: Confirmed Italy_Campania 3/9/2020         47    4833    -         120        0     0   158 6/28/2020 
AAA2     1 Italy_Campania Confirmed cc1=  .985807 cc2=  .632254 lx= 10.48322 if=  40 il=  47 3/9/2020   n=   7 now=    4833 end=      35711       120         0 U=    23.73 T=   88.3 p1= 638.9 p2=    13.5 ed=   144 6/14/2020   x1=  40. x2=  47. y1=  2.03 y2=  1.74     
GP: Confirmed Italy_Campania 3/9/2020         47    4833    -         120        0     0   144 6/14/2020 
AAA2     1 Italy_Campania Confirmed cc1=  .979883 cc2=  .601919 lx= 10.48322 if=  41 il=  47 3/9/2020   n=   6 now=    4833 end=      35711       120         0 U=    27.54 T=   94.9 p1= 638.9 p2=    13.5 ed=   159 6/29/2020   x1=  41. x2=  47. y1=  1.96 y2=  1.74     
GP: Confirmed Italy_Campania 3/9/2020         47    4833    -         120        0     0   159 6/29/2020 
AAA2     1 Italy_Campania Confirmed cc1=  .983414 cc2=  .575166 lx= 10.48322 if=  42 il=  47 3/9/2020   n=   5 now=    4833 end=      35711       120         0 U=    23.45 T=   87.8 p1= 638.9 p2=    13.5 ed=   143 6/13/2020   x1=  42. x2=  47. y1=  1.95 y2=  1.74     
GP: Confirmed Italy_Campania 3/9/2020         47    4833    -         120        0     0   143 6/13/2020 
AAA2     1 Italy_Campania Confirmed cc1=  .989330 cc2=  .711980 lx=  6.46322 if=  36 il=  48 3/10/2020  n=  12 now=    4833 end=        641       127       267 U=    10.02 T=   52.8 p1= -86.7 p2=   754.0 ed=    76 4/7/2020    x1=  36. x2=  48. y1=  1.68 y2=   .48     
GP: Confirmed Italy_Campania 3/10/2020        48    4833      641     127      267     1    76 4/7/2020  
AAA2     1 Italy_Campania Confirmed cc1=  .986515 cc2=  .697839 lx=  6.58322 if=  37 il=  48 3/10/2020  n=  11 now=    4833 end=        722       127       267 U=    10.05 T=   53.6 p1= -85.1 p2=   669.4 ed=    77 4/8/2020    x1=  37. x2=  48. y1=  1.65 y2=   .55     
GP: Confirmed Italy_Campania 3/10/2020        48    4833      722     127      267     1    77 4/8/2020  
AAA2     1 Italy_Campania Confirmed cc1=  .990213 cc2=  .688702 lx= 10.48322 if=  38 il=  48 3/10/2020  n=  10 now=    4833 end=      35711       127       267 U=    29.46 T=   99.0 p1= 638.9 p2=    13.5 ed=   168 7/8/2020    x1=  38. x2=  48. y1=  2.07 y2=  1.73     
GP: Confirmed Italy_Campania 3/10/2020        48    4833    -         127      267     1   168 7/8/2020  
AAA2     1 Italy_Campania Confirmed cc1=  .988387 cc2=  .672159 lx= 10.48322 if=  39 il=  48 3/10/2020  n=   9 now=    4833 end=      35711       127       267 U=    29.51 T=   99.0 p1= 638.9 p2=    13.5 ed=   168 7/8/2020    x1=  39. x2=  48. y1=  2.03 y2=  1.73     
GP: Confirmed Italy_Campania 3/10/2020        48    4833    -         127      267     1   168 7/8/2020  
AAA2     1 Italy_Campania Confirmed cc1=  .987242 cc2=  .653909 lx=  8.05322 if=  40 il=  48 3/10/2020  n=   8 now=    4833 end=       3143       127       267 U=    16.44 T=   67.2 p1= -35.0 p2=   153.8 ed=   105 5/6/2020    x1=  40. x2=  48. y1=  1.65 y2=  1.17     
GP: Confirmed Italy_Campania 3/10/2020        48    4833     3143     127      267     1   105 5/6/2020  
AAA2     1 Italy_Campania Confirmed cc1=  .983138 cc2=  .629584 lx= 10.48322 if=  41 il=  48 3/10/2020  n=   7 now=    4833 end=      35711       127       267 U=    30.72 T=  101.1 p1= 638.9 p2=    13.5 ed=   173 7/13/2020   x1=  41. x2=  48. y1=  1.96 y2=  1.73     
GP: Confirmed Italy_Campania 3/10/2020        48    4833    -         127      267     1   173 7/13/2020 
AAA1     1 Italy_Campania Confirmed cc1=  .971988 cc2=  .563740 lx=  5.78322 if=  43 il=  48 3/10/2020  n=   5 now=    4833 end=        324       127       267 U=     6.72 T=   47.6 p1= -93.3 p2=  1491.7 ed=    63 3/25/2020   x1=  43. x2=  48. y1=   .68 y2=  -.06 BEST
AAA2     1 Italy_Campania Confirmed cc1=  .971988 cc2=  .563740 lx=  5.78122 if=  43 il=  48 3/10/2020  n=   5 now=    4833 end=        324       127       267 U=     6.72 T=   47.6 p1= -93.3 p2=  1491.7 ed=    63 3/25/2020   x1=  43. x2=  48. y1=   .68 y2=  -.06 BEST
GP: Confirmed Italy_Campania 3/10/2020        48    4833      324     127      267     1    63 3/25/2020 
AAA2     1 Italy_Campania Confirmed cc1=  .991473 cc2=  .724212 lx=  6.46322 if=  36 il=  49 3/11/2020  n=  13 now=    4833 end=        641       154       267 U=     9.81 T=   52.5 p1= -86.7 p2=   754.0 ed=    75 4/6/2020    x1=  36. x2=  49. y1=  1.68 y2=   .36     
GP: Confirmed Italy_Campania 3/11/2020        49    4833      641     154      267     2    75 4/6/2020  
AAA2     1 Italy_Campania Confirmed cc1=  .989417 cc2=  .712067 lx=  6.56322 if=  37 il=  49 3/11/2020  n=  12 now=    4833 end=        708       154       267 U=     9.82 T=   53.2 p1= -85.4 p2=   682.6 ed=    76 4/7/2020    x1=  37. x2=  49. y1=  1.64 y2=   .42     
GP: Confirmed Italy_Campania 3/11/2020        49    4833      708     154      267     2    76 4/7/2020  
AAA2     1 Italy_Campania Confirmed cc1=  .992003 cc2=  .703328 lx= 10.48322 if=  38 il=  49 3/11/2020  n=  11 now=    4833 end=      35711       154       267 U=    29.39 T=   98.8 p1= 638.9 p2=    13.5 ed=   168 7/8/2020    x1=  38. x2=  49. y1=  2.07 y2=  1.69     
GP: Confirmed Italy_Campania 3/11/2020        49    4833    -         154      267     2   168 7/8/2020  
AAA2     1 Italy_Campania Confirmed cc1=  .990585 cc2=  .689074 lx=  8.68322 if=  39 il=  49 3/11/2020  n=  10 now=    4833 end=       5903       154       267 U=    21.15 T=   76.4 p1=  22.1 p2=    81.9 ed=   126 5/27/2020   x1=  39. x2=  49. y1=  1.77 y2=  1.29     
GP: Confirmed Italy_Campania 3/11/2020        49    4833     5903     154      267     2   126 5/27/2020 
AAA2     1 Italy_Campania Confirmed cc1=  .990233 cc2=  .674005 lx=  7.02322 if=  40 il=  49 3/11/2020  n=   9 now=    4833 end=       1122       154       267 U=    12.06 T=   57.3 p1= -76.8 p2=   430.7 ed=    85 4/16/2020   x1=  40. x2=  49. y1=  1.43 y2=   .69     
