TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4005.00000        8.29530
TAB:  US_Indiana_Lake Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Indiana_Lake Confirmed .           126     3347     4005     4900        7     3409     6296     4710
TAB:  US_Indiana_Lake Confirmed 5/28/2020   127     3494     4005     5002        7     4092    23711     6041
TAB:  US_Indiana_Lake Confirmed .           128     3538     4005     5252        8     4069    29371     6288
TAB:  US_Indiana_Lake Confirmed 5/30/2020   129     3573     4005     4264        8     3871    24474     6627
TAB:  US_Indiana_Lake Confirmed .           130     3616     4005     4268        6     3699    11414     5659
TAB:  US_Indiana_Lake Confirmed 6/1/2020    131     3639     4005     5288        5     3699     7302     5288
TAB:  US_Indiana_Lake Confirmed .           132     3689     4005     5290        4     3793     6684     5256
TAB:  US_Indiana_Lake Confirmed 6/3/2020    133     3806     4005     5470        4     4389     8411     5470
TAB:  US_Indiana_Lake Confirmed .           134     3833     4005     4512        6     4364     8507     5992
TAB:  US_Indiana_Lake Confirmed 6/5/2020    135     3876     4005     4512        8     4512    10875     6140
TAB:  US_Indiana_Lake Confirmed .           136     3915     4005     5696        6     4069     8360     5992
TAB:  US_Indiana_Lake Confirmed 6/7/2020    137     3940     4005     6732        8     4069     6880     5548
TAB:  US_Indiana_Lake Confirmed .           138     3959     4005     5572        5     4003     6487     5343
TAB:  US_Indiana_Lake Confirmed 6/9/2020    139     4005     4005     4615        5     4171     6296     5344
AAA2     1 US_Indiana_Lake Confirmed cc1=  .996343 cc2=  .588095 lx=  5.87530 if=  55 il=  60 3/22/2020  n=   5 now=    4005 end=        356        10         0 U=    13.44 T=   77.1 p1= -91.1 p2=  1125.0 ed=   108 5/9/2020    x1=  55. x2=  60. y1=  1.65 y2=  1.27     
GP: Confirmed US_Indiana_Lake 3/22/2020        60    4005      356      10        0     0   108 5/9/2020  
AAA2     1 US_Indiana_Lake Confirmed cc1=  .988709 cc2=  .610745 lx=  4.29530 if=  55 il=  61 3/23/2020  n=   6 now=    4005 end=         73        10         0 U=    10.13 T=   68.0 p1= -98.2 p2=  5486.3 ed=    91 4/22/2020   x1=  55. x2=  61. y1=  1.28 y2=   .69     
GP: Confirmed US_Indiana_Lake 3/23/2020        61    4005       73      10        0     0    91 4/22/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .982196 cc2=  .573948 lx=  4.29530 if=  56 il=  61 3/23/2020  n=   5 now=    4005 end=         73        10         0 U=    10.58 T=   68.3 p1= -98.2 p2=  5486.3 ed=    93 4/24/2020   x1=  56. x2=  61. y1=  1.16 y2=   .69     
GP: Confirmed US_Indiana_Lake 3/23/2020        61    4005       73      10        0     0    93 4/24/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .989039 cc2=  .635485 lx= 10.29530 if=  55 il=  62 3/24/2020  n=   7 now=    4005 end=      29593        17         0 U=    27.76 T=  117.8 p1= 638.9 p2=    13.5 ed=   183 7/23/2020   x1=  55. x2=  62. y1=  2.26 y2=  2.01     
GP: Confirmed US_Indiana_Lake 3/24/2020        62    4005    -          17        0     0   183 7/23/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .984242 cc2=  .606277 lx= 10.29530 if=  56 il=  62 3/24/2020  n=   6 now=    4005 end=      29593        17         0 U=    28.71 T=  119.7 p1= 638.9 p2=    13.5 ed=   187 7/27/2020   x1=  56. x2=  62. y1=  2.22 y2=  2.01     
GP: Confirmed US_Indiana_Lake 3/24/2020        62    4005    -          17        0     0   187 7/27/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .974690 cc2=  .566442 lx= 10.29530 if=  57 il=  62 3/24/2020  n=   5 now=    4005 end=      29593        17         0 U=    28.21 T=  118.7 p1= 638.9 p2=    13.5 ed=   185 7/25/2020   x1=  57. x2=  62. y1=  2.19 y2=  2.01     
GP: Confirmed US_Indiana_Lake 3/24/2020        62    4005    -          17        0     0   185 7/25/2020 
AAA1     1 US_Indiana_Lake Confirmed cc1=  .991870 cc2=  .658537 lx=  7.84530 if=  55 il=  63 3/25/2020  n=   8 now=    4005 end=       2553        19      2589 U=    21.16 T=   96.6 p1= -36.3 p2=   156.9 ed=   146 6/16/2020   x1=  55. x2=  63. y1=  1.97 y2=  1.59 BEST
AAA2     1 US_Indiana_Lake Confirmed cc1=  .991870 cc2=  .658537 lx=  7.84730 if=  55 il=  63 3/25/2020  n=   8 now=    4005 end=       2553        19      2589 U=    21.16 T=   96.6 p1= -36.3 p2=   156.9 ed=   146 6/16/2020   x1=  55. x2=  63. y1=  1.97 y2=  1.59 BEST
GP: Confirmed US_Indiana_Lake 3/25/2020        63    4005     2553      19     2589     1   146 6/16/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .988986 cc2=  .635432 lx= 10.29530 if=  56 il=  63 3/25/2020  n=   7 now=    4005 end=      29593        19      2589 U=    31.25 T=  125.3 p1= 638.9 p2=    13.5 ed=   199 8/8/2020    x1=  56. x2=  63. y1=  2.22 y2=  1.99     
GP: Confirmed US_Indiana_Lake 3/25/2020        63    4005    -          19     2589     1   199 8/8/2020  
AAA2     1 US_Indiana_Lake Confirmed cc1=  .983448 cc2=  .605483 lx= 10.29530 if=  57 il=  63 3/25/2020  n=   6 now=    4005 end=      29593        19      2589 U=    31.21 T=  125.3 p1= 638.9 p2=    13.5 ed=   198 8/7/2020    x1=  57. x2=  63. y1=  2.19 y2=  1.99     
GP: Confirmed US_Indiana_Lake 3/25/2020        63    4005    -          19     2589     1   198 8/7/2020  
AAA2     1 US_Indiana_Lake Confirmed cc1=  .973607 cc2=  .565359 lx= 10.29530 if=  58 il=  63 3/25/2020  n=   5 now=    4005 end=      29593        19      2589 U=    34.33 T=  131.5 p1= 638.9 p2=    13.5 ed=   212 8/21/2020   x1=  58. x2=  63. y1=  2.14 y2=  1.99     
GP: Confirmed US_Indiana_Lake 3/25/2020        63    4005    -          19     2589     1   212 8/21/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .991428 cc2=  .675201 lx= 10.29530 if=  55 il=  64 3/26/2020  n=   9 now=    4005 end=      29593        31         0 U=    26.78 T=  115.6 p1= 638.9 p2=    13.5 ed=   178 7/18/2020   x1=  55. x2=  64. y1=  2.26 y2=  1.93     
GP: Confirmed US_Indiana_Lake 3/26/2020        64    4005    -          31        0     0   178 7/18/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .988228 cc2=  .654895 lx= 10.29530 if=  56 il=  64 3/26/2020  n=   8 now=    4005 end=      29593        31         0 U=    27.31 T=  116.6 p1= 638.9 p2=    13.5 ed=   181 7/21/2020   x1=  56. x2=  64. y1=  2.22 y2=  1.93     
GP: Confirmed US_Indiana_Lake 3/26/2020        64    4005    -          31        0     0   181 7/21/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .983584 cc2=  .630031 lx= 10.29530 if=  57 il=  64 3/26/2020  n=   7 now=    4005 end=      29593        31         0 U=    26.80 T=  115.6 p1= 638.9 p2=    13.5 ed=   178 7/18/2020   x1=  57. x2=  64. y1=  2.19 y2=  1.93     
GP: Confirmed US_Indiana_Lake 3/26/2020        64    4005    -          31        0     0   178 7/18/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .975815 cc2=  .597850 lx= 10.29530 if=  58 il=  64 3/26/2020  n=   6 now=    4005 end=      29593        31         0 U=    27.96 T=  117.9 p1= 638.9 p2=    13.5 ed=   183 7/23/2020   x1=  58. x2=  64. y1=  2.14 y2=  1.93     
GP: Confirmed US_Indiana_Lake 3/26/2020        64    4005    -          31        0     0   183 7/23/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .973173 cc2=  .564925 lx= 10.29530 if=  59 il=  64 3/26/2020  n=   5 now=    4005 end=      29593        31         0 U=    25.47 T=  113.1 p1= 638.9 p2=    13.5 ed=   173 7/13/2020   x1=  59. x2=  64. y1=  2.12 y2=  1.93     
GP: Confirmed US_Indiana_Lake 3/26/2020        64    4005    -          31        0     0   173 7/13/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .989101 cc2=  .687589 lx= 10.29530 if=  55 il=  65 3/27/2020  n=  10 now=    4005 end=      29593        47         0 U=    25.08 T=  111.7 p1= 638.9 p2=    13.5 ed=   170 7/10/2020   x1=  55. x2=  65. y1=  2.26 y2=  1.86     
GP: Confirmed US_Indiana_Lake 3/27/2020        65    4005    -          47        0     0   170 7/10/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .985680 cc2=  .669452 lx= 10.29530 if=  56 il=  65 3/27/2020  n=   9 now=    4005 end=      29593        47         0 U=    25.32 T=  112.2 p1= 638.9 p2=    13.5 ed=   171 7/11/2020   x1=  56. x2=  65. y1=  2.22 y2=  1.86     
GP: Confirmed US_Indiana_Lake 3/27/2020        65    4005    -          47        0     0   171 7/11/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .981968 cc2=  .648635 lx= 10.29530 if=  57 il=  65 3/27/2020  n=   8 now=    4005 end=      29593        47         0 U=    24.71 T=  111.0 p1= 638.9 p2=    13.5 ed=   169 7/9/2020    x1=  57. x2=  65. y1=  2.19 y2=  1.86     
GP: Confirmed US_Indiana_Lake 3/27/2020        65    4005    -          47        0     0   169 7/9/2020  
AAA2     1 US_Indiana_Lake Confirmed cc1=  .976464 cc2=  .622910 lx= 10.29530 if=  58 il=  65 3/27/2020  n=   7 now=    4005 end=      29593        47         0 U=    25.26 T=  112.1 p1= 638.9 p2=    13.5 ed=   171 7/11/2020   x1=  58. x2=  65. y1=  2.14 y2=  1.86     
GP: Confirmed US_Indiana_Lake 3/27/2020        65    4005    -          47        0     0   171 7/11/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .977347 cc2=  .599383 lx= 10.29530 if=  59 il=  65 3/27/2020  n=   6 now=    4005 end=      29593        47         0 U=    23.18 T=  108.2 p1= 638.9 p2=    13.5 ed=   162 7/2/2020    x1=  59. x2=  65. y1=  2.12 y2=  1.86     
GP: Confirmed US_Indiana_Lake 3/27/2020        65    4005    -          47        0     0   162 7/2/2020  
AAA2     1 US_Indiana_Lake Confirmed cc1=  .972673 cc2=  .564425 lx= 10.29530 if=  60 il=  65 3/27/2020  n=   5 now=    4005 end=      29593        47         0 U=    23.23 T=  108.3 p1= 638.9 p2=    13.5 ed=   163 7/3/2020    x1=  60. x2=  65. y1=  2.08 y2=  1.86     
GP: Confirmed US_Indiana_Lake 3/27/2020        65    4005    -          47        0     0   163 7/3/2020  
AAA2     1 US_Indiana_Lake Confirmed cc1=  .987669 cc2=  .698993 lx= 10.29530 if=  55 il=  66 3/28/2020  n=  11 now=    4005 end=      29593        68         0 U=    24.03 T=  109.4 p1= 638.9 p2=    13.5 ed=   166 7/6/2020    x1=  55. x2=  66. y1=  2.26 y2=  1.80     
GP: Confirmed US_Indiana_Lake 3/28/2020        66    4005    -          68        0     0   166 7/6/2020  
AAA2     1 US_Indiana_Lake Confirmed cc1=  .984782 cc2=  .683270 lx= 10.29530 if=  56 il=  66 3/28/2020  n=  10 now=    4005 end=      29593        68         0 U=    24.12 T=  109.5 p1= 638.9 p2=    13.5 ed=   166 7/6/2020    x1=  56. x2=  66. y1=  2.22 y2=  1.80     
GP: Confirmed US_Indiana_Lake 3/28/2020        66    4005    -          68        0     0   166 7/6/2020  
AAA2     1 US_Indiana_Lake Confirmed cc1=  .982355 cc2=  .666127 lx= 10.29530 if=  57 il=  66 3/28/2020  n=   9 now=    4005 end=      29593        68         0 U=    23.51 T=  108.4 p1= 638.9 p2=    13.5 ed=   163 7/3/2020    x1=  57. x2=  66. y1=  2.19 y2=  1.80     
GP: Confirmed US_Indiana_Lake 3/28/2020        66    4005    -          68        0     0   163 7/3/2020  
AAA2     1 US_Indiana_Lake Confirmed cc1=  .979108 cc2=  .645775 lx= 10.29530 if=  58 il=  66 3/28/2020  n=   8 now=    4005 end=      29593        68         0 U=    23.80 T=  108.9 p1= 638.9 p2=    13.5 ed=   165 7/5/2020    x1=  58. x2=  66. y1=  2.14 y2=  1.80     
GP: Confirmed US_Indiana_Lake 3/28/2020        66    4005    -          68        0     0   165 7/5/2020  
AAA2     1 US_Indiana_Lake Confirmed cc1=  .981696 cc2=  .628142 lx= 10.29530 if=  59 il=  66 3/28/2020  n=   7 now=    4005 end=      29593        68         0 U=    22.02 T=  105.7 p1= 638.9 p2=    13.5 ed=   157 6/27/2020   x1=  59. x2=  66. y1=  2.12 y2=  1.80     
GP: Confirmed US_Indiana_Lake 3/28/2020        66    4005    -          68        0     0   157 6/27/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .980808 cc2=  .602844 lx= 10.29530 if=  60 il=  66 3/28/2020  n=   6 now=    4005 end=      29593        68         0 U=    21.88 T=  105.5 p1= 638.9 p2=    13.5 ed=   157 6/27/2020   x1=  60. x2=  66. y1=  2.08 y2=  1.80     
GP: Confirmed US_Indiana_Lake 3/28/2020        66    4005    -          68        0     0   157 6/27/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .991488 cc2=  .583240 lx= 10.29530 if=  61 il=  66 3/28/2020  n=   5 now=    4005 end=      29593        68         0 U=    18.23 T=   98.9 p1= 638.9 p2=    13.5 ed=   141 6/11/2020   x1=  61. x2=  66. y1=  2.08 y2=  1.80     
GP: Confirmed US_Indiana_Lake 3/28/2020        66    4005    -          68        0     0   141 6/11/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .989178 cc2=  .711828 lx= 10.29530 if=  55 il=  67 3/29/2020  n=  12 now=    4005 end=      29593        85         0 U=    24.24 T=  109.8 p1= 638.9 p2=    13.5 ed=   167 7/7/2020    x1=  55. x2=  67. y1=  2.26 y2=  1.77     
GP: Confirmed US_Indiana_Lake 3/29/2020        67    4005    -          85        0     0   167 7/7/2020  
AAA2     1 US_Indiana_Lake Confirmed cc1=  .987215 cc2=  .698540 lx= 10.29530 if=  56 il=  67 3/29/2020  n=  11 now=    4005 end=      29593        85         0 U=    24.34 T=  110.0 p1= 638.9 p2=    13.5 ed=   167 7/7/2020    x1=  56. x2=  67. y1=  2.22 y2=  1.77     
GP: Confirmed US_Indiana_Lake 3/29/2020        67    4005    -          85        0     0   167 7/7/2020  
AAA2     1 US_Indiana_Lake Confirmed cc1=  .985935 cc2=  .684423 lx= 10.29530 if=  57 il=  67 3/29/2020  n=  10 now=    4005 end=      29593        85         0 U=    23.80 T=  109.1 p1= 638.9 p2=    13.5 ed=   165 7/5/2020    x1=  57. x2=  67. y1=  2.19 y2=  1.77     
GP: Confirmed US_Indiana_Lake 3/29/2020        67    4005    -          85        0     0   165 7/5/2020  
AAA2     1 US_Indiana_Lake Confirmed cc1=  .984280 cc2=  .668052 lx= 10.29530 if=  58 il=  67 3/29/2020  n=   9 now=    4005 end=      29593        85         0 U=    24.09 T=  109.6 p1= 638.9 p2=    13.5 ed=   166 7/6/2020    x1=  58. x2=  67. y1=  2.14 y2=  1.77     
GP: Confirmed US_Indiana_Lake 3/29/2020        67    4005    -          85        0     0   166 7/6/2020  
AAA2     1 US_Indiana_Lake Confirmed cc1=  .987073 cc2=  .653740 lx= 10.29530 if=  59 il=  67 3/29/2020  n=   8 now=    4005 end=      29593        85         0 U=    22.52 T=  106.8 p1= 638.9 p2=    13.5 ed=   159 6/29/2020   x1=  59. x2=  67. y1=  2.12 y2=  1.77     
GP: Confirmed US_Indiana_Lake 3/29/2020        67    4005    -          85        0     0   159 6/29/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .987246 cc2=  .633693 lx= 10.29530 if=  60 il=  67 3/29/2020  n=   7 now=    4005 end=      29593        85         0 U=    22.46 T=  106.7 p1= 638.9 p2=    13.5 ed=   159 6/29/2020   x1=  60. x2=  67. y1=  2.08 y2=  1.77     
GP: Confirmed US_Indiana_Lake 3/29/2020        67    4005    -          85        0     0   159 6/29/2020 
AAA2     1 US_Indiana_Lake Confirmed cc1=  .994208 cc2=  .616243 lx= 10.29530 if=  61 il=  67 3/29/2020  n=   6 now=    4005 end=      29593        85         0 U=    19.25 T=  101.0 p1= 638.9 p2=    13.5 ed=   146 6/16/2020   x1=  61. x2=  67. y1=  2.08 y2=  1.77     
GP: Confirmed US_Indiana_Lake 3/29/2020        67    4005    -          85        0     0   146 6/16/2020 
