TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3985.00000        8.29029
TAB:  US_California_Alameda Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_California_Alameda Confirmed 1/23/2020     1        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .             2        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 1/25/2020     3        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .             4        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 1/27/2020     5        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .             6        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 1/29/2020     7        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .             8        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 1/31/2020     9        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            10        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 2/2/2020     11        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            12        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 2/4/2020     13        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            14        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 2/6/2020     15        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            16        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 2/8/2020     17        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            18        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 2/10/2020    19        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            20        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 2/12/2020    21        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            22        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 2/14/2020    23        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            24        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 2/16/2020    25        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            26        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 2/18/2020    27        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            28        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 2/20/2020    29        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            30        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 2/22/2020    31        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            32        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 2/24/2020    33        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            34        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 2/26/2020    35        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            36        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 2/28/2020    37        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            38        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 3/1/2020     39        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            40        0     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 3/3/2020     41        1     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            42        1     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 3/5/2020     43        1     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            44        1     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 3/7/2020     45        2     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            46        2     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 3/9/2020     47        2     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            48        3     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 3/11/2020    49        5     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            50        5     3985      662        1      662      662      662
TAB:  US_California_Alameda Confirmed 3/13/2020    51        7     3985       73        1       73      515      515
TAB:  US_California_Alameda Confirmed .            52       11     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 3/15/2020    53       11     3985      220        1      220      956      956
TAB:  US_California_Alameda Confirmed .            54       18     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 3/17/2020    55       27     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            56       30     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 3/19/2020    57       38     3985       73        1       73     1251      220
TAB:  US_California_Alameda Confirmed .            58       48     3985       73        1       73      662      368
TAB:  US_California_Alameda Confirmed 3/21/2020    59       68     3985      809        1      809    13471    10673
TAB:  US_California_Alameda Confirmed .            60       71     3985      368        1      368     7876     1251
TAB:  US_California_Alameda Confirmed 3/23/2020    61      118     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed .            62      135     3985        0        0        0        0        0
TAB:  US_California_Alameda Confirmed 3/25/2020    63      135     3985      220        1      220    29224     6257
TAB:  US_California_Alameda Confirmed .            64      178     3985      368        1      368    14059     3754
TAB:  US_California_Alameda Confirmed 3/27/2020    65      220     3985      515        1      515    13471     3754
TAB:  US_California_Alameda Confirmed .            66      220     3985      515        2      368    17740     3607
TAB:  US_California_Alameda Confirmed 3/29/2020    67      270     3985      662        2      515    21862     2429
TAB:  US_California_Alameda Confirmed .            68      283     3985      515        3      368    25101     1693
TAB:  US_California_Alameda Confirmed 3/31/2020    69      313     3985      515        4      368    15679     1545
TAB:  US_California_Alameda Confirmed .            70      313     3985      368        5      368    12440     1545
TAB:  US_California_Alameda Confirmed 4/2/2020     71      359     3985      515        6      515    12587     1545
TAB:  US_California_Alameda Confirmed .            72      443     3985     1104        6     1104    18182     2281
TAB:  US_California_Alameda Confirmed 4/4/2020     73      504     3985     1693        6     1545    17446     3312
TAB:  US_California_Alameda Confirmed .            74      566     3985     1987        4     1987    11115     3312
TAB:  US_California_Alameda Confirmed 4/6/2020     75      588     3985     2134        6      662    21421     3018
TAB:  US_California_Alameda Confirmed .            76      634     3985     2134        8      809    28635     2870
TAB:  US_California_Alameda Confirmed 4/8/2020     77      674     3985     2134        5      809    16121     3018
TAB:  US_California_Alameda Confirmed .            78      720     3985     1987        5      956    23335     2576
TAB:  US_California_Alameda Confirmed 4/10/2020    79      766     3985     1987        9      956     5668     2723
TAB:  US_California_Alameda Confirmed .            80      806     3985     1987        9     1104     4048     2429
TAB:  US_California_Alameda Confirmed 4/12/2020    81      845     3985     1962        3     1114     3599     1982
TAB:  US_California_Alameda Confirmed .            82      888     3985     1919        5     1177     2957     1919
TAB:  US_California_Alameda Confirmed 4/14/2020    83      926     3985     1878        4     1224     2745     1863
TAB:  US_California_Alameda Confirmed .            84      964     3985     1878        4     1269     2616     1822
TAB:  US_California_Alameda Confirmed 4/16/2020    85     1007     3985     1827        4     1342     2488     1827
TAB:  US_California_Alameda Confirmed .            86     1063     3985     1840       15     1398     4195     2134
TAB:  US_California_Alameda Confirmed 4/18/2020    87     1114     3985     1840       12     1545    11115     2429
TAB:  US_California_Alameda Confirmed .            88     1164     3985     1987       19     1693    22010     2870
TAB:  US_California_Alameda Confirmed 4/20/2020    89     1193     3985     1987       19     1545    26574     3018
TAB:  US_California_Alameda Confirmed .            90     1241     3985     1974        9     1542     6254     2306
TAB:  US_California_Alameda Confirmed 4/22/2020    91     1242     3985     1956        8     1435     2637     2036
TAB:  US_California_Alameda Confirmed .            92     1352     3985     2035       10     2035     6765     2988
TAB:  US_California_Alameda Confirmed 4/24/2020    93     1403     3985     2134       20     2134    27163     5226
TAB:  US_California_Alameda Confirmed .            94     1439     3985     2281       17     2134    14354     5226
TAB:  US_California_Alameda Confirmed 4/26/2020    95     1470     3985     2281       15     1545     6845     3901
TAB:  US_California_Alameda Confirmed .            96     1500     3985     2190        5     1586     4197     2514
TAB:  US_California_Alameda Confirmed 4/28/2020    97     1533     3985     2346        6     1636     3368     2398
TAB:  US_California_Alameda Confirmed .            98     1568     3985     2209        7     1718     3074     2349
TAB:  US_California_Alameda Confirmed 4/30/2020    99     1603     3985     2281       25     1840    23187     2429
TAB:  US_California_Alameda Confirmed .           100     1636     3985     2281       28     1840    14943     2429
TAB:  US_California_Alameda Confirmed 5/2/2020    101     1706     3985     2281       18     2281     2870     2576
TAB:  US_California_Alameda Confirmed .           102     1749     3985     2429       17     2281     3018     2723
TAB:  US_California_Alameda Confirmed 5/4/2020    103     1776     3985     2429       16     2281     9937     2723
TAB:  US_California_Alameda Confirmed .           104     1809     3985     2429       19     1987     3459     2576
TAB:  US_California_Alameda Confirmed 5/6/2020    105     1863     3985     2429       19     2429     4784     2870
TAB:  US_California_Alameda Confirmed .           106     1917     3985     2429       15     2429     6109     3165
TAB:  US_California_Alameda Confirmed 5/8/2020    107     1961     3985     2576       13     2429     9348     3312
TAB:  US_California_Alameda Confirmed .           108     2023     3985     2576       17     2576     5079     3607
TAB:  US_California_Alameda Confirmed 5/10/2020   109     2064     3985     2576       13     2576     5815     3754
TAB:  US_California_Alameda Confirmed .           110     2101     3985     2723       12     2576    26426     4048
TAB:  US_California_Alameda Confirmed 5/12/2020   111     2133     3985     2723       17     2281    11998     4048
TAB:  US_California_Alameda Confirmed .           112     2178     3985     2723       14     2576    11409     3901
TAB:  US_California_Alameda Confirmed 5/14/2020   113     2234     3985     2723        9     2723    19948     4343
TAB:  US_California_Alameda Confirmed .           114     2292     3985     2870       15     2870    22746     5079
TAB:  US_California_Alameda Confirmed 5/16/2020   115     2351     3985     2870       11     2870    23629     4932
TAB:  US_California_Alameda Confirmed .           116     2392     3985     3018       16     3018    26426     5226
TAB:  US_California_Alameda Confirmed 5/18/2020   117     2457     3985     3018       12     3018    24365     5373
TAB:  US_California_Alameda Confirmed .           118     2522     3985     3165       13     3018    26426     5079
TAB:  US_California_Alameda Confirmed 5/20/2020   119     2560     3985     3165       13     3165    26132     5520
TAB:  US_California_Alameda Confirmed .           120     2609     3985     3165       10     3165    29224     5668
TAB:  US_California_Alameda Confirmed 5/22/2020   121     2708     3985     3312       11     3312    20685     5668
TAB:  US_California_Alameda Confirmed .           122     2760     3985     3459       10     3312    26574     6109
TAB:  US_California_Alameda Confirmed 5/24/2020   123     2847     3985     3459        8     3459    21421     6109
TAB:  US_California_Alameda Confirmed .           124     2874     3985     3607       13     3459    23187     6109
TAB:  US_California_Alameda Confirmed 5/26/2020   125     2986     3985     3607        7     3607    26868     6257
TAB:  US_California_Alameda Confirmed .           126     3049     3985     3754        8     3754    26132     6698
TAB:  US_California_Alameda Confirmed 5/28/2020   127     3097     3985     3901       11     3901    22304     6698
TAB:  US_California_Alameda Confirmed .           128     3195     3985     3901        6     3901    26868     6993
TAB:  US_California_Alameda Confirmed 5/30/2020   129     3289     3985     4048        7     4048    24365     6404
TAB:  US_California_Alameda Confirmed .           130     3390     3985     4195        7     4195    23629     6845
TAB:  US_California_Alameda Confirmed 6/1/2020    131     3470     3985     4343        8     4343    29224     6698
TAB:  US_California_Alameda Confirmed .           132     3515     3985     4490        6     3901    25837     6404
TAB:  US_California_Alameda Confirmed 6/3/2020    133     3548     3985     4490        7     3607    26574     6845
TAB:  US_California_Alameda Confirmed .           134     3641     3985     4637        9     4048    28340     7434
TAB:  US_California_Alameda Confirmed 6/5/2020    135     3725     3985     4784        7     4490    25396     7287
TAB:  US_California_Alameda Confirmed .           136     3805     3985     4784        5     4784    26868     8759
TAB:  US_California_Alameda Confirmed 6/7/2020    137     3875     3985     4932        7     4932    28340     8318
TAB:  US_California_Alameda Confirmed .           138     3945     3985     5079        6     4637    29224     8759
TAB:  US_California_Alameda Confirmed 6/9/2020    139     3985     3985     5079        6     4343    28929     8318
AAA2     1 US_California_Alameda Confirmed cc1=  .912687 cc2=  .559134 lx= 10.29029 if=  41 il=  48 3/10/2020  n=   7 now=    3985 end=      29445         3         0 U=    62.00 T=  185.5 p1= 638.9 p2=    13.5 ed=   331 12/18/2020  x1=  41. x2=  48. y1=  2.33 y2=  2.22     
GP: Confirmed US_California_Alameda 3/10/2020        48    3985    -           3        0     0   331 12/18/2020
AAA2     1 US_California_Alameda Confirmed cc1=  .925820 cc2=  .547856 lx=  4.79029 if=  42 il=  48 3/10/2020  n=   6 now=    3985 end=        120         3         0 U=    23.03 T=   78.1 p1= -97.0 p2=  3320.8 ed=   132 6/2/2020    x1=  42. x2=  48. y1=  1.57 y2=  1.31     
