TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       10859.00000        9.29275
TAB:  US_Connecticut_Hartford Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Connecticut_Hartford Confirmed 6/5/2020    135    10677    10859    12327       11    10748    13380    12239
TAB:  US_Connecticut_Hartford Confirmed .           136    10747    10859    12375       10    10997    13032    11982
TAB:  US_Connecticut_Hartford Confirmed 6/7/2020    137    10809    10859    12236       26    11032    13038    12236
TAB:  US_Connecticut_Hartford Confirmed .           138    10844    10859    12236       27    11032    13038    12236
TAB:  US_Connecticut_Hartford Confirmed 6/9/2020    139    10859    10859    12269       14    10944    12521    11764
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .999703 cc2=  .591455 lx=  6.37275 if=  52 il=  57 3/19/2020  n=   5 now=   10859 end=        585        18         0 U=     8.27 T=   67.3 p1= -94.6 p2=  1856.2 ed=    86 4/17/2020   x1=  52. x2=  57. y1=  1.85 y2=  1.25     
GP: Confirmed US_Connecticut_Hartford 3/19/2020        57   10859      585      18        0     0    86 4/17/2020 
AAA1     1 US_Connecticut_Hartford Confirmed cc1=  .999615 cc2=  .621651 lx=  7.72275 if=  52 il=  58 3/20/2020  n=   6 now=   10859 end=       2259        29      2262 U=    10.48 T=   73.4 p1= -79.2 p2=   480.7 ed=    98 4/29/2020   x1=  52. x2=  58. y1=  2.04 y2=  1.47 BEST
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .999615 cc2=  .621651 lx=  7.72575 if=  52 il=  58 3/20/2020  n=   6 now=   10859 end=       2259        29      2262 U=    10.48 T=   73.4 p1= -79.2 p2=   480.7 ed=    98 4/29/2020   x1=  52. x2=  58. y1=  2.04 y2=  1.47 BEST
GP: Confirmed US_Connecticut_Hartford 3/20/2020        58   10859     2259      29     2262     1    98 4/29/2020 
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .999424 cc2=  .591176 lx=  8.22275 if=  53 il=  58 3/20/2020  n=   5 now=   10859 end=       3724        29      2262 U=    11.40 T=   76.0 p1= -65.7 p2=   291.6 ed=   102 5/3/2020    x1=  53. x2=  58. y1=  2.02 y2=  1.58     
GP: Confirmed US_Connecticut_Hartford 3/20/2020        58   10859     3724      29     2262     1   102 5/3/2020  
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .993781 cc2=  .640228 lx=  5.49275 if=  52 il=  59 3/21/2020  n=   7 now=   10859 end=        242        29       197 U=     7.37 T=   64.6 p1= -97.8 p2=  4487.2 ed=    81 4/12/2020   x1=  52. x2=  59. y1=  1.70 y2=   .75     
GP: Confirmed US_Connecticut_Hartford 3/21/2020        59   10859      242      29      197     1    81 4/12/2020 
AAA1     1 US_Connecticut_Hartford Confirmed cc1=  .990734 cc2=  .612769 lx=  5.29275 if=  53 il=  59 3/21/2020  n=   6 now=   10859 end=        198        29       197 U=     6.89 T=   63.5 p1= -98.2 p2=  5484.3 ed=    79 4/10/2020   x1=  53. x2=  59. y1=  1.53 y2=   .66 BEST
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .990734 cc2=  .612769 lx=  5.27875 if=  53 il=  59 3/21/2020  n=   6 now=   10859 end=        198        29       197 U=     6.89 T=   63.5 p1= -98.2 p2=  5484.3 ed=    79 4/10/2020   x1=  53. x2=  59. y1=  1.53 y2=   .66 BEST
GP: Confirmed US_Connecticut_Hartford 3/21/2020        59   10859      198      29      197     1    79 4/10/2020 
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .985133 cc2=  .576885 lx=  5.31275 if=  54 il=  59 3/21/2020  n=   5 now=   10859 end=        202        29       197 U=     7.12 T=   63.7 p1= -98.1 p2=  5375.7 ed=    80 4/11/2020   x1=  54. x2=  59. y1=  1.37 y2=   .67     
GP: Confirmed US_Connecticut_Hartford 3/21/2020        59   10859      202      29      197     1    80 4/11/2020 
AAA1     1 US_Connecticut_Hartford Confirmed cc1=  .994772 cc2=  .661439 lx=  6.99275 if=  52 il=  60 3/22/2020  n=   8 now=   10859 end=       1088        54      1002 U=     9.47 T=   70.4 p1= -90.0 p2=   998.1 ed=    92 4/23/2020   x1=  52. x2=  60. y1=  1.94 y2=  1.10 BEST
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .994772 cc2=  .661439 lx=  6.99675 if=  52 il=  60 3/22/2020  n=   8 now=   10859 end=       1088        54      1002 U=     9.47 T=   70.4 p1= -90.0 p2=   998.1 ed=    92 4/23/2020   x1=  52. x2=  60. y1=  1.94 y2=  1.10 BEST
GP: Confirmed US_Connecticut_Hartford 3/22/2020        60   10859     1088      54     1002     1    92 4/23/2020 
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .992632 cc2=  .639079 lx=  7.35275 if=  53 il=  60 3/22/2020  n=   7 now=   10859 end=       1560        54      1002 U=    10.25 T=   72.4 p1= -85.6 p2=   696.1 ed=    96 4/27/2020   x1=  53. x2=  60. y1=  1.90 y2=  1.21     
GP: Confirmed US_Connecticut_Hartford 3/22/2020        60   10859     1560      54     1002     1    96 4/27/2020 
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .989572 cc2=  .611607 lx=  8.97275 if=  54 il=  60 3/22/2020  n=   6 now=   10859 end=       7885        54      1002 U=    14.28 T=   82.9 p1= -27.4 p2=   137.7 ed=   116 5/17/2020   x1=  54. x2=  60. y1=  2.03 y2=  1.61     
GP: Confirmed US_Connecticut_Hartford 3/22/2020        60   10859     7885      54     1002     1   116 5/17/2020 
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .983758 cc2=  .575510 lx= 11.29275 if=  55 il=  60 3/22/2020  n=   5 now=   10859 end=      80237        54      1002 U=    20.27 T=  100.3 p1= 638.9 p2=    13.5 ed=   148 6/18/2020   x1=  55. x2=  60. y1=  2.24 y2=  1.99     
GP: Confirmed US_Connecticut_Hartford 3/22/2020        60   10859    -          54     1002     1   148 6/18/2020 
AAA1     1 US_Connecticut_Hartford Confirmed cc1=  .995623 cc2=  .679395 lx=  6.31275 if=  52 il=  61 3/23/2020  n=   9 now=   10859 end=        551        61       550 U=     8.54 T=   67.7 p1= -94.9 p2=  1970.8 ed=    87 4/18/2020   x1=  52. x2=  61. y1=  1.84 y2=   .79 BEST
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .995623 cc2=  .679395 lx=  6.31575 if=  52 il=  61 3/23/2020  n=   9 now=   10859 end=        551        61       550 U=     8.54 T=   67.7 p1= -94.9 p2=  1970.8 ed=    87 4/18/2020   x1=  52. x2=  61. y1=  1.84 y2=   .79 BEST
GP: Confirmed US_Connecticut_Hartford 3/23/2020        61   10859      551      61      550     1    87 4/18/2020 
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .993984 cc2=  .660650 lx=  6.37275 if=  53 il=  61 3/23/2020  n=   8 now=   10859 end=        585        61       550 U=     8.69 T=   68.1 p1= -94.6 p2=  1856.2 ed=    88 4/19/2020   x1=  53. x2=  61. y1=  1.74 y2=   .82     
GP: Confirmed US_Connecticut_Hartford 3/23/2020        61   10859      585      61      550     1    88 4/19/2020 
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .991528 cc2=  .637975 lx=  6.71275 if=  54 il=  61 3/23/2020  n=   7 now=   10859 end=        822        61       550 U=     9.77 T=   70.3 p1= -92.4 p2=  1321.0 ed=    93 4/24/2020   x1=  54. x2=  61. y1=  1.67 y2=   .96     
GP: Confirmed US_Connecticut_Hartford 3/23/2020        61   10859      822      61      550     1    93 4/24/2020 
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .987291 cc2=  .609327 lx=  6.92275 if=  55 il=  61 3/23/2020  n=   6 now=   10859 end=       1015        61       550 U=    10.51 T=   71.9 p1= -90.7 p2=  1069.9 ed=    96 4/27/2020   x1=  55. x2=  61. y1=  1.60 y2=  1.03     
GP: Confirmed US_Connecticut_Hartford 3/23/2020        61   10859     1015      61      550     1    96 4/27/2020 
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .979590 cc2=  .571342 lx=  6.82275 if=  56 il=  61 3/23/2020  n=   5 now=   10859 end=        918        61       550 U=    10.21 T=   71.2 p1= -91.5 p2=  1182.9 ed=    95 4/26/2020   x1=  56. x2=  61. y1=  1.49 y2=  1.00     
GP: Confirmed US_Connecticut_Hartford 3/23/2020        61   10859      918      61      550     1    95 4/26/2020 
