TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        7672.00000        8.94533
TAB:  US_Pennsylvania_Montgomery Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Pennsylvania_Montgomery Confirmed .           116     5872     7672     8361       16     6944    25934     9211
TAB:  US_Pennsylvania_Montgomery Confirmed 5/18/2020   117     6012     7672     7227       16     7227    33020    11479
TAB:  US_Pennsylvania_Montgomery Confirmed .           118     6063     7672     7227       15     7227    35004    10912
TAB:  US_Pennsylvania_Montgomery Confirmed 5/20/2020   119     6154     7672     7227       12     7227    17998    10345
TAB:  US_Pennsylvania_Montgomery Confirmed .           120     6268     7672     7511       18     7511    22533    11195
TAB:  US_Pennsylvania_Montgomery Confirmed 5/22/2020   121     6366     7672     7511       16     7511    29902    11762
TAB:  US_Pennsylvania_Montgomery Confirmed .           122     6464     7672     7511       13     7511    52294    12329
TAB:  US_Pennsylvania_Montgomery Confirmed 5/24/2020   123     6525     7672     7794       10     7227    19699    11479
TAB:  US_Pennsylvania_Montgomery Confirmed .           124     6576     7672     7659       12     6812    13871     9283
TAB:  US_Pennsylvania_Montgomery Confirmed 5/26/2020   125     6598     7672     7686        9     6653    11818     8719
TAB:  US_Pennsylvania_Montgomery Confirmed .           126     6738     7672     7753       11     7753    11586     9110
TAB:  US_Pennsylvania_Montgomery Confirmed 5/28/2020   127     6811     7672     7811       12     7811    11244     9070
TAB:  US_Pennsylvania_Montgomery Confirmed .           128     6906     7672     7794       12     7794    11479     9778
TAB:  US_Pennsylvania_Montgomery Confirmed 5/30/2020   129     7006     7672     8078       16     8078    13179    10062
TAB:  US_Pennsylvania_Montgomery Confirmed .           130     7061     7672     8078       14     7511    12896     9778
TAB:  US_Pennsylvania_Montgomery Confirmed 6/1/2020    131     7093     7672     8080       10     7247    11023     9191
TAB:  US_Pennsylvania_Montgomery Confirmed .           132     7172     7672     8138       12     7539    10750     9117
TAB:  US_Pennsylvania_Montgomery Confirmed 6/3/2020    133     7242     7672     9470       12     7763    10484     9097
TAB:  US_Pennsylvania_Montgomery Confirmed .           134     7351     7672     8361       16     8361    11479     9778
TAB:  US_Pennsylvania_Montgomery Confirmed 6/5/2020    135     7416     7672     8361       16     8361    16297    10345
TAB:  US_Pennsylvania_Montgomery Confirmed .           136     7542     7672     8361       13     8361    31603    10912
TAB:  US_Pennsylvania_Montgomery Confirmed 6/7/2020    137     7582     7672     8361       11     8361    23667    11195
TAB:  US_Pennsylvania_Montgomery Confirmed .           138     7610     7672    10912       12     7794    34721    10912
TAB:  US_Pennsylvania_Montgomery Confirmed 6/9/2020    139     7672     7672     8579       11     7811    13701     9860
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .992823 cc2=  .584574 lx= 10.94533 if=  46 il=  51 3/13/2020  n=   5 now=    7672 end=      56688        18         0 U=    29.21 T=  111.9 p1= 638.9 p2=    13.5 ed=   180 7/20/2020   x1=  46. x2=  51. y1=  2.26 y2=  2.09     
GP: Confirmed US_Pennsylvania_Montgomery 3/13/2020        51    7672    -          18        0     0   180 7/20/2020 
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .992877 cc2=  .614913 lx=  6.32533 if=  46 il=  52 3/14/2020  n=   6 now=    7672 end=        558        20       140 U=    15.22 T=   70.3 p1= -92.7 p2=  1374.9 ed=   106 5/7/2020    x1=  46. x2=  52. y1=  1.60 y2=  1.20     
GP: Confirmed US_Pennsylvania_Montgomery 3/14/2020        52    7672      558      20      140     1   106 5/7/2020  
