TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       11255.00000        9.32857
TAB:  US_Michigan_Oakland Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Michigan_Oakland Confirmed .            70     1910    11255     5197        3     4781    48858    20998
TAB:  US_Michigan_Oakland Confirmed 4/2/2020     71     2183    11255     5613        3     5613    43868    22246
TAB:  US_Michigan_Oakland Confirmed .            72     2540    11255     6860        4     6445    79212    30562
TAB:  US_Michigan_Oakland Confirmed 4/4/2020     73     2785    11255     7276        6     7276    50105    25156
TAB:  US_Michigan_Oakland Confirmed .            74     3035    11255     7562        3     4537    23801    14090
TAB:  US_Michigan_Oakland Confirmed 4/6/2020     75     3380    11255     7873        3     6137    19901    12461
TAB:  US_Michigan_Oakland Confirmed .            76     3736    11255     8461        2     8138    18055    12558
TAB:  US_Michigan_Oakland Confirmed 4/8/2020     77     4007    11255     8940        6     8108    18503    11850
TAB:  US_Michigan_Oakland Confirmed .            78     4247    11255     8962        3     6457    14598     9275
TAB:  US_Michigan_Oakland Confirmed 4/10/2020    79     4511    11255     8969        4     5945    13230     8969
TAB:  US_Michigan_Oakland Confirmed .            80     4802    11255     8951        3     6941    12343     8951
TAB:  US_Michigan_Oakland Confirmed 4/12/2020    81     4915    11255     8830        4     6212    10613     7939
TAB:  US_Michigan_Oakland Confirmed .            82     5073    11255     8579        3     5626    10106     7713
TAB:  US_Michigan_Oakland Confirmed 4/14/2020    83     5364    11255     7120        3     6736     9518     7791
TAB:  US_Michigan_Oakland Confirmed .            84     5576    11255     8399        5     7236     9237     8259
TAB:  US_Michigan_Oakland Confirmed 4/16/2020    85     5778    11255     7692        9     7276    47610     8940
TAB:  US_Michigan_Oakland Confirmed .            86     5901    11255     8348        6     6896    10364     8106
TAB:  US_Michigan_Oakland Confirmed 4/18/2020    87     6021    11255     7464        5     6443     8442     7761
TAB:  US_Michigan_Oakland Confirmed .            88     6109    11255     7315        7     6440     8274     7524
TAB:  US_Michigan_Oakland Confirmed 4/20/2020    89     6178    11255     7949        6     6412     7989     7302
TAB:  US_Michigan_Oakland Confirmed .            90     6306    11255     7118        4     6681     7871     7316
TAB:  US_Michigan_Oakland Confirmed 4/22/2020    91     6463    11255     7243       13     7086     7793     7479
TAB:  US_Michigan_Oakland Confirmed .            92     6634    11255     7692       22     7276     7692     7692
TAB:  US_Michigan_Oakland Confirmed 4/24/2020    93     6804    11255     7692       23     7692     8524     8108
TAB:  US_Michigan_Oakland Confirmed .            94     6881    11255     7692       17     7692     9355     8524
TAB:  US_Michigan_Oakland Confirmed 4/26/2020    95     6897    11255     7692       23     6860     8524     7692
TAB:  US_Michigan_Oakland Confirmed .            96     6913    11255     7706       11     6978     7989     7787
TAB:  US_Michigan_Oakland Confirmed 4/28/2020    97     7012    11255     7712       11     7237     7871     7712
TAB:  US_Michigan_Oakland Confirmed .            98     7159    11255     7868       13     7706     7989     7868
TAB:  US_Michigan_Oakland Confirmed 4/30/2020    99     7267    11255     7692       18     7692     8524     8108
TAB:  US_Michigan_Oakland Confirmed .           100     7423    11255     8108       27     8108     9771     9355
TAB:  US_Michigan_Oakland Confirmed 5/2/2020    101     7475    11255     8108       26     8108    19335     9355
TAB:  US_Michigan_Oakland Confirmed .           102     7487    11255     8108       26     7692    11434     8940
TAB:  US_Michigan_Oakland Confirmed 5/4/2020    103     7499    11255     8108       26     7692    31809     8940
TAB:  US_Michigan_Oakland Confirmed .           104     7522    11255     8005       14     7549     8598     8233
TAB:  US_Michigan_Oakland Confirmed 5/6/2020    105     7573    11255     8024       19     7690     8274     8024
TAB:  US_Michigan_Oakland Confirmed .           106     7624    11255     8108       39     7692     8108     8108
TAB:  US_Michigan_Oakland Confirmed 5/8/2020    107     7664    11255     8108       39     7692     8108     8108
TAB:  US_Michigan_Oakland Confirmed .           108     7692    11255     8108       41     7692     8524     8108
TAB:  US_Michigan_Oakland Confirmed 5/10/2020   109     7736    11255     8108       44     8108     8940     8940
TAB:  US_Michigan_Oakland Confirmed .           110     7752    11255     8108       48     8108     9771     9771
TAB:  US_Michigan_Oakland Confirmed 5/12/2020   111     7784    11255     8108       50     8108     8524     8524
TAB:  US_Michigan_Oakland Confirmed .           112     7830    11255     8108       47     8108     8940     8524
TAB:  US_Michigan_Oakland Confirmed 5/14/2020   113     7952    11255     8108       31     8108    11850     8524
TAB:  US_Michigan_Oakland Confirmed .           114     7994    11255     8108       24     8108     8524     8524
TAB:  US_Michigan_Oakland Confirmed 5/16/2020   115     8023    11255     8108       20     8108     8524     8524
TAB:  US_Michigan_Oakland Confirmed .           116     8043    11255     8524       21     8108    10187     8940
TAB:  US_Michigan_Oakland Confirmed 5/18/2020   117     8050    11255     8524       24     8108    27235     9771
TAB:  US_Michigan_Oakland Confirmed .           118     8078    11255     8524       26     8108    14345     9355
TAB:  US_Michigan_Oakland Confirmed 5/20/2020   119     8117    11255     8524       36     8108    16008    10187
TAB:  US_Michigan_Oakland Confirmed .           120     8125    11255     8524       41     8108    12266     9771
TAB:  US_Michigan_Oakland Confirmed 5/22/2020   121     8131    11255     8524       45     8108    20998     9355
TAB:  US_Michigan_Oakland Confirmed .           122     8192    11255     8524       51     8524    11434     9355
TAB:  US_Michigan_Oakland Confirmed 5/24/2020   123     8215    11255     8524       49     8524     9771     9355
TAB:  US_Michigan_Oakland Confirmed .           124     8226    11255     8524       53     8524     9355     8940
TAB:  US_Michigan_Oakland Confirmed 5/26/2020   125     8240    11255     8524       51     8108    13929     8940
TAB:  US_Michigan_Oakland Confirmed .           126     8260    11255     8524       54     8524     9771     8940
TAB:  US_Michigan_Oakland Confirmed 5/28/2020   127     8281    11255     8524       55     8524    11434     9355
TAB:  US_Michigan_Oakland Confirmed .           128     8311    11255     8524       53     8524    11850     9771
TAB:  US_Michigan_Oakland Confirmed 5/30/2020   129     8319    11255     8524       56     8524     9771     9355
TAB:  US_Michigan_Oakland Confirmed .           130     8396    11255     8524       20     8524     8940     8940
TAB:  US_Michigan_Oakland Confirmed 6/1/2020    131     8407    11255     8940       20     8524     9355     8940
TAB:  US_Michigan_Oakland Confirmed .           132     8412    11255     8940       22     8524     9355     8940
TAB:  US_Michigan_Oakland Confirmed 6/3/2020    133     8425    11255     8940       24     8524     9355     8940
TAB:  US_Michigan_Oakland Confirmed .           134     8438    11255     8940       25     8524    30978    11434
TAB:  US_Michigan_Oakland Confirmed 6/5/2020    135    10859    11255        0        0        0        0        0
TAB:  US_Michigan_Oakland Confirmed .           136    10980    11255        0        0        0        0        0
TAB:  US_Michigan_Oakland Confirmed 6/7/2020    137    11005    11255        0        0        0        0        0
TAB:  US_Michigan_Oakland Confirmed .           138    11133    11255        0        0        0        0        0
TAB:  US_Michigan_Oakland Confirmed 6/9/2020    139    11255    11255        0        0        0        0        0
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .984718 cc2=  .576469 lx=  5.32857 if=  49 il=  54 3/16/2020  n=   5 now=   11255 end=        206        14         0 U=     7.31 T=   61.2 p1= -98.2 p2=  5463.6 ed=    78 4/9/2020    x1=  49. x2=  54. y1=  1.67 y2=   .99     
GP: Confirmed US_Michigan_Oakland 3/16/2020        54   11255      206      14        0     0    78 4/9/2020  
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .984694 cc2=  .606730 lx=  5.32857 if=  49 il=  55 3/17/2020  n=   6 now=   11255 end=        206        16         0 U=     8.17 T=   62.7 p1= -98.2 p2=  5463.6 ed=    81 4/12/2020   x1=  49. x2=  55. y1=  1.67 y2=   .94     
GP: Confirmed US_Michigan_Oakland 3/17/2020        55   11255      206      16        0     0    81 4/12/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .983252 cc2=  .575003 lx=  5.32857 if=  50 il=  55 3/17/2020  n=   5 now=   11255 end=        206        16         0 U=     6.81 T=   61.4 p1= -98.2 p2=  5463.6 ed=    77 4/8/2020    x1=  50. x2=  55. y1=  1.67 y2=   .94     
GP: Confirmed US_Michigan_Oakland 3/17/2020        55   11255      206      16        0     0    77 4/8/2020  
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .975180 cc2=  .621627 lx= 11.32857 if=  49 il=  56 3/18/2020  n=   7 now=   11255 end=      83163        59         0 U=    15.69 T=   87.1 p1= 638.9 p2=    13.5 ed=   124 5/25/2020   x1=  49. x2=  56. y1=  2.43 y2=  1.98     
GP: Confirmed US_Michigan_Oakland 3/18/2020        56   11255    -          59        0     0   124 5/25/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .971787 cc2=  .593822 lx= 11.32857 if=  50 il=  56 3/18/2020  n=   6 now=   11255 end=      83163        59         0 U=    13.45 T=   82.6 p1= 638.9 p2=    13.5 ed=   114 5/15/2020   x1=  50. x2=  56. y1=  2.43 y2=  1.98     
GP: Confirmed US_Michigan_Oakland 3/18/2020        56   11255    -          59        0     0   114 5/15/2020 
