TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      207693.00000       12.24382
TAB:  US_New_York_NYC Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_NYC Confirmed .            72    59061   207693    95915        4    95915  1009035   180321
TAB:  US_New_York_NYC Confirmed 4/4/2020     73    63306   207693   102643        3   102643   704815   152824
TAB:  US_New_York_NYC Confirmed .            74    67551   207693   141564        3   105693   229962   142846
TAB:  US_New_York_NYC Confirmed 4/6/2020     75    72181   207693   144556        3   108558   195179   140056
TAB:  US_New_York_NYC Confirmed .            76    76876   207693   146068        3   113495   182713   137925
TAB:  US_New_York_NYC Confirmed 4/8/2020     77    81803   207693   153259        5   116892   189626   148064
TAB:  US_New_York_NYC Confirmed .            78    87028   207693   126609        7   126609  1492452   164975
TAB:  US_New_York_NYC Confirmed 4/10/2020    79    92384   207693   134282        8   126609  1523145   172648
TAB:  US_New_York_NYC Confirmed .            80    98308   207693   141955        6   134282   303094   187995
TAB:  US_New_York_NYC Confirmed 4/12/2020    81   103208   207693   147220        7   141866  1030541   206108
TAB:  US_New_York_NYC Confirmed .            82   106763   207693   146208        3   142385   320129   178699
TAB:  US_New_York_NYC Confirmed 4/14/2020    83   110465   207693   149553        4   128628   218483   172940
TAB:  US_New_York_NYC Confirmed .            84   118302   207693   156660        6   156660   312464   199463
TAB:  US_New_York_NYC Confirmed 4/16/2020    85   123146   207693   162935        7   162935   329338   206847
TAB:  US_New_York_NYC Confirmed .            86   127352   207693   164975        8   164975   717451   241708
TAB:  US_New_York_NYC Confirmed 4/18/2020    87   131334   207693   171036        8   155178   295632   227670
TAB:  US_New_York_NYC Confirmed .            88   134267   207693   173922        7   145040   241733   205316
TAB:  US_New_York_NYC Confirmed 4/20/2020    89   136591   207693   221081        6   145345   221081   192123
TAB:  US_New_York_NYC Confirmed .            90   139348   207693   175337        6   148851   210298   182753
TAB:  US_New_York_NYC Confirmed 4/22/2020    91   142227   207693   175296        8   153705   204083   182493
TAB:  US_New_York_NYC Confirmed .            92   145855   207693   180321       17   164975   272401   187995
TAB:  US_New_York_NYC Confirmed 4/24/2020    93   150473   207693   180321       16   180321   425866   203341
TAB:  US_New_York_NYC Confirmed .            94   155113   207693   203341       21   180321   387500   195668
TAB:  US_New_York_NYC Confirmed 4/26/2020    95   158258   207693   187995       16   187995   502599   211015
TAB:  US_New_York_NYC Confirmed .            96   160489   207693   211015       17   172648   402846   211015
TAB:  US_New_York_NYC Confirmed 4/28/2020    97   162338   207693   187995       15   164975   548639   203341
TAB:  US_New_York_NYC Confirmed .            98   164841   207693   208162       10   173619   313606   200890
TAB:  US_New_York_NYC Confirmed 4/30/2020    99   167478   207693   208183       11   179998   241493   201777
TAB:  US_New_York_NYC Confirmed .           100   169690   207693   203341       19   187995   264727   218688
TAB:  US_New_York_NYC Confirmed 5/2/2020    101   172354   207693   195668       18   187995   425866   211015
TAB:  US_New_York_NYC Confirmed .           102   174331   207693   211015       19   195668   817203   218688
