TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4017.00000        8.29829
TAB:  Hungary Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Hungary Confirmed .            82     1458     4017     6307        4     1558    23076     6604
TAB:  Hungary Confirmed 4/14/2020    83     1512     4017     6307        5     1558    26045     6604
TAB:  Hungary Confirmed .            84     1579     4017     6307        6     1706    18921     6307
TAB:  Hungary Confirmed 4/16/2020    85     1652     4017     5861        6     1855    22631     6158
TAB:  Hungary Confirmed .            86     1763     4017     5713        5     2151    22928     6307
TAB:  Hungary Confirmed 4/18/2020    87     1834     4017     5713        6     2300    27677     6158
TAB:  Hungary Confirmed .            88     1916     4017     5565        5     2448    24561     6010
TAB:  Hungary Confirmed 4/20/2020    89     1984     4017     2597        5     2597     8533     5565
TAB:  Hungary Confirmed .            90     2098     4017     5268        6     2745    11649     5565
TAB:  Hungary Confirmed 4/22/2020    91     2168     4017     5268        6     2893     7197     5119
TAB:  Hungary Confirmed .            92     2284     4017     5268        6     3190    16843     5416
TAB:  Hungary Confirmed 4/24/2020    93     2443     4017     5416       10     3784     6455     5416
TAB:  Hungary Confirmed .            94     2471     4017     5416       10     3932    21592     5268
TAB:  Hungary Confirmed 4/26/2020    95     2500     4017     5268       10     2597    25006     5268
TAB:  Hungary Confirmed .            96     2583     4017     5177       13     2799    14458     4640
TAB:  Hungary Confirmed 4/28/2020    97     2649     4017     5330        5     2961     7536     4718
TAB:  Hungary Confirmed .            98     2727     4017     5119       12     3190     6307     4526
TAB:  Hungary Confirmed 4/30/2020    99     2775     4017     4971       17     3190     5268     4229
TAB:  Hungary Confirmed .           100     2863     4017     4971       13     3487     5119     4377
TAB:  Hungary Confirmed 5/2/2020    101     2942     4017     4823       13     3784    13727     4674
TAB:  Hungary Confirmed .           102     2998     4017     4823       18     3932    11798     4823
TAB:  Hungary Confirmed 5/4/2020    103     3035     4017     4674       12     3339     6307     4377
TAB:  Hungary Confirmed .           104     3065     4017     4662        6     3165     4942     4256
TAB:  Hungary Confirmed 5/6/2020    105     3111     4017     4577        7     3266     4820     4092
TAB:  Hungary Confirmed .           106     3150     4017     4484        6     3330     4772     4051
TAB:  Hungary Confirmed 5/8/2020    107     3178     4017     3646        4     3343     4705     4069
TAB:  Hungary Confirmed .           108     3213     4017     4351        5     3395     4608     4025
TAB:  Hungary Confirmed 5/10/2020   109     3263     4017     3635       16     3635    25303     4229
TAB:  Hungary Confirmed .           110     3284     4017     3635       17     3635     6158     4229
TAB:  Hungary Confirmed 5/12/2020   111     3313     4017     3665        7     3598     4427     4024
TAB:  Hungary Confirmed .           112     3341     4017     3680        8     3483     4340     3944
TAB:  Hungary Confirmed 5/14/2020   113     3380     4017     3665        8     3665     4318     3970
TAB:  Hungary Confirmed .           114     3417     4017     3784       24     3635    15953     4526
TAB:  Hungary Confirmed 5/16/2020   115     3473     4017     3932       25     3784    15359     4377
TAB:  Hungary Confirmed .           116     3509     4017     3932       30     3932    21296     4823
TAB:  Hungary Confirmed 5/18/2020   117     3535     4017     3932       26     3932    16843     4377
TAB:  Hungary Confirmed .           118     3556     4017     3932       26     3635    11798     4823
TAB:  Hungary Confirmed 5/20/2020   119     3598     4017     4081       28     3932    23076     6307
