TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       16636.00000        9.71932
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed 1/23/2020     1        0    16636        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed .             2        0    16636        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed 1/25/2020     3        0    16636        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed .             4        0    16636        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed 1/27/2020     5        0    16636        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed .             6        0    16636        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed 1/29/2020     7        0    16636        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed .             8        0    16636        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed 1/31/2020     9        0    16636        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed .            10        0    16636        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed 2/2/2020     11        0    16636        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed .            12        0    16636        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed 2/4/2020     13        0    16636        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed .            14        0    16636        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Confirmed 2/6/2020     15        0    16636        0        0        0        0        0
