TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3174.00000        8.06275
TAB:  US_Virginia_Loudoun Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Virginia_Loudoun Confirmed .           136     2939     3174     5921        4     3576    21399     6742
TAB:  US_Virginia_Loudoun Confirmed 6/7/2020    137     3094     3174     6038        4     4279    22103     7094
TAB:  US_Virginia_Loudoun Confirmed .           138     3147     3174     4631        3     4631    22338     7211
TAB:  US_Virginia_Loudoun Confirmed 6/9/2020    139     3174     3174     4631        3     3224    22103     7094
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .971004 cc2=  .562756 lx=  4.17275 if=  48 il=  53 3/15/2020  n=   5 now=    3174 end=         64         5         0 U=    10.26 T=   62.7 p1= -98.0 p2=  4959.4 ed=    86 4/17/2020   x1=  48. x2=  53. y1=  1.43 y2=   .94     
GP: Confirmed US_Virginia_Loudoun 3/15/2020        53    3174       64       5        0     0    86 4/17/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .952574 cc2=  .574609 lx=  4.06275 if=  48 il=  54 3/16/2020  n=   6 now=    3174 end=         58         5         0 U=    11.89 T=   64.7 p1= -98.2 p2=  5472.4 ed=    92 4/23/2020   x1=  48. x2=  54. y1=  1.40 y2=   .90     
GP: Confirmed US_Virginia_Loudoun 3/16/2020        54    3174       58       5        0     0    92 4/23/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .932222 cc2=  .523973 lx=  4.06275 if=  49 il=  54 3/16/2020  n=   5 now=    3174 end=         58         5         0 U=     9.91 T=   62.9 p1= -98.2 p2=  5472.4 ed=    86 4/17/2020   x1=  49. x2=  54. y1=  1.40 y2=   .90     
GP: Confirmed US_Virginia_Loudoun 3/16/2020        54    3174       58       5        0     0    86 4/17/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .927225 cc2=  .573672 lx=  4.06275 if=  48 il=  55 3/17/2020  n=   7 now=    3174 end=         58         5         0 U=    13.88 T=   67.5 p1= -98.2 p2=  5472.4 ed=   100 5/1/2020    x1=  48. x2=  55. y1=  1.40 y2=   .90     
GP: Confirmed US_Virginia_Loudoun 3/17/2020        55    3174       58       5        0     0   100 5/1/2020  
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .892433 cc2=  .514468 lx=  4.06275 if=  49 il=  55 3/17/2020  n=   6 now=    3174 end=         58         5         0 U=    11.89 T=   65.7 p1= -98.2 p2=  5472.4 ed=    93 4/24/2020   x1=  49. x2=  55. y1=  1.40 y2=   .90     
GP: Confirmed US_Virginia_Loudoun 3/17/2020        55    3174       58       5        0     0    93 4/24/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .899979 cc2=  .566645 lx=  4.06275 if=  48 il=  56 3/18/2020  n=   8 now=    3174 end=         58         5         0 U=    15.86 T=   70.2 p1= -98.2 p2=  5472.4 ed=   107 5/8/2020    x1=  48. x2=  56. y1=  1.40 y2=   .90     
GP: Confirmed US_Virginia_Loudoun 3/18/2020        56    3174       58       5        0     0   107 5/8/2020  
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .854983 cc2=  .501429 lx=  4.06275 if=  49 il=  56 3/18/2020  n=   7 now=    3174 end=         58         5         0 U=    13.88 T=   68.5 p1= -98.2 p2=  5472.4 ed=   101 5/2/2020    x1=  49. x2=  56. y1=  1.40 y2=   .90     
GP: Confirmed US_Virginia_Loudoun 3/18/2020        56    3174       58       5        0     0   101 5/2/2020  
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .872953 cc2=  .556725 lx=  4.06275 if=  48 il=  57 3/19/2020  n=   9 now=    3174 end=         58         5         0 U=    17.84 T=   73.0 p1= -98.2 p2=  5472.4 ed=   115 5/16/2020   x1=  48. x2=  57. y1=  1.40 y2=   .90     
GP: Confirmed US_Virginia_Loudoun 3/19/2020        57    3174       58       5        0     0   115 5/16/2020 
AAA1     1 US_Virginia_Loudoun Confirmed cc1=  .906150 cc2=  .604639 lx=  4.06275 if=  48 il=  58 3/20/2020  n=  10 now=    3174 end=         58         9        58 U=    12.85 T=   66.0 p1= -98.2 p2=  5472.4 ed=    96 4/27/2020   x1=  48. x2=  58. y1=  1.40 y2=   .62 BEST
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .906418 cc2=  .604639 lx=  3.96275 if=  48 il=  58 3/20/2020  n=  10 now=    3174 end=         58         9        58 U=    12.85 T=   66.0 p1= -98.2 p2=  5472.4 ed=    96 4/27/2020   x1=  48. x2=  58. y1=  1.40 y2=   .62 BEST
GP: Confirmed US_Virginia_Loudoun 3/20/2020        58    3174       58       9       58     2    96 4/27/2020 
AAA1     1 US_Virginia_Loudoun Confirmed cc1=  .872769 cc2=  .556541 lx=  4.06275 if=  49 il=  58 3/20/2020  n=   9 now=    3174 end=         58         9        58 U=    11.56 T=   65.2 p1= -98.2 p2=  5472.4 ed=    92 4/23/2020   x1=  49. x2=  58. y1=  1.40 y2=   .62 BEST
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .873171 cc2=  .556541 lx=  3.96275 if=  49 il=  58 3/20/2020  n=   9 now=    3174 end=         58         9        58 U=    11.56 T=   65.2 p1= -98.2 p2=  5472.4 ed=    92 4/23/2020   x1=  49. x2=  58. y1=  1.40 y2=   .62 BEST
GP: Confirmed US_Virginia_Loudoun 3/20/2020        58    3174       58       9       58     2    92 4/23/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .835887 cc2=  .502553 lx=  5.38275 if=  50 il=  58 3/20/2020  n=   8 now=    3174 end=        217         9        58 U=    20.69 T=   82.0 p1= -93.2 p2=  1462.7 ed=   130 5/31/2020   x1=  50. x2=  58. y1=  1.55 y2=  1.16     
GP: Confirmed US_Virginia_Loudoun 3/20/2020        58    3174      217       9       58     2   130 5/31/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .923144 cc2=  .634469 lx=  6.26275 if=  48 il=  59 3/21/2020  n=  11 now=    3174 end=        524        14       410 U=    20.11 T=   84.9 p1= -83.5 p2=   605.7 ed=   132 6/2/2020    x1=  48. x2=  59. y1=  1.83 y2=  1.29     
GP: Confirmed US_Virginia_Loudoun 3/21/2020        59    3174      524      14      410     1   132 6/2/2020  
AAA1     1 US_Virginia_Loudoun Confirmed cc1=  .899033 cc2=  .597522 lx=  5.93275 if=  49 il=  59 3/21/2020  n=  10 now=    3174 end=        377        14       410 U=    16.99 T=   79.3 p1= -88.1 p2=   841.9 ed=   119 5/20/2020   x1=  49. x2=  59. y1=  1.78 y2=  1.19 BEST
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .899033 cc2=  .597522 lx=  5.93275 if=  49 il=  59 3/21/2020  n=  10 now=    3174 end=        377        14       410 U=    16.99 T=   79.3 p1= -88.1 p2=   841.9 ed=   119 5/20/2020   x1=  49. x2=  59. y1=  1.78 y2=  1.19 BEST
GP: Confirmed US_Virginia_Loudoun 3/21/2020        59    3174      377      14      410     1   119 5/20/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .874194 cc2=  .557966 lx= 10.06275 if=  50 il=  59 3/21/2020  n=   9 now=    3174 end=      23452        14       410 U=    38.66 T=  136.5 p1= 638.9 p2=    13.5 ed=   227 9/5/2020    x1=  50. x2=  59. y1=  2.24 y2=  2.00     
GP: Confirmed US_Virginia_Loudoun 3/21/2020        59    3174    -          14      410     1   227 9/5/2020  
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .940141 cc2=  .662791 lx=  6.22275 if=  48 il=  60 3/22/2020  n=  12 now=    3174 end=        504        15       410 U=    21.01 T=   86.4 p1= -84.1 p2=   629.8 ed=   135 6/5/2020    x1=  48. x2=  60. y1=  1.83 y2=  1.26     
GP: Confirmed US_Virginia_Loudoun 3/22/2020        60    3174      504      15      410     1   135 6/5/2020  
AAA1     1 US_Virginia_Loudoun Confirmed cc1=  .923313 cc2=  .634638 lx=  5.91275 if=  49 il=  60 3/22/2020  n=  11 now=    3174 end=        369        15       410 U=    17.96 T=   80.9 p1= -88.4 p2=   860.2 ed=   123 5/24/2020   x1=  49. x2=  60. y1=  1.78 y2=  1.16 BEST
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .923313 cc2=  .634638 lx=  5.90975 if=  49 il=  60 3/22/2020  n=  11 now=    3174 end=        369        15       410 U=    17.96 T=   80.9 p1= -88.4 p2=   860.2 ed=   123 5/24/2020   x1=  49. x2=  60. y1=  1.78 y2=  1.16 BEST
GP: Confirmed US_Virginia_Loudoun 3/22/2020        60    3174      369      15      410     1   123 5/24/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .907200 cc2=  .605689 lx= 10.06275 if=  50 il=  60 3/22/2020  n=  10 now=    3174 end=      23452        15       410 U=    41.30 T=  142.4 p1= 638.9 p2=    13.5 ed=   239 9/17/2020   x1=  50. x2=  60. y1=  2.24 y2=  2.00     
GP: Confirmed US_Virginia_Loudoun 3/22/2020        60    3174    -          15      410     1   239 9/17/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .874108 cc2=  .557880 lx= 10.06275 if=  51 il=  60 3/22/2020  n=   9 now=    3174 end=      23452        15       410 U=    45.48 T=  150.7 p1= 638.9 p2=    13.5 ed=   258 10/6/2020   x1=  51. x2=  60. y1=  2.19 y2=  2.00     
GP: Confirmed US_Virginia_Loudoun 3/22/2020        60    3174    -          15      410     1   258 10/6/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .833870 cc2=  .500537 lx= 10.06275 if=  52 il=  60 3/22/2020  n=   8 now=    3174 end=      23452        15       410 U=    57.46 T=  174.7 p1= 638.9 p2=    13.5 ed=   310 11/27/2020  x1=  52. x2=  60. y1=  2.13 y2=  2.00     
GP: Confirmed US_Virginia_Loudoun 3/22/2020        60    3174    -          15      410     1   310 11/27/2020
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .865681 cc2=  .512128 lx= 10.06275 if=  53 il=  60 3/22/2020  n=   7 now=    3174 end=      23452        15       410 U=    50.28 T=  160.3 p1= 638.9 p2=    13.5 ed=   278 10/26/2020  x1=  53. x2=  60. y1=  2.13 y2=  2.00     
GP: Confirmed US_Virginia_Loudoun 3/22/2020        60    3174    -          15      410     1   278 10/26/2020
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .899108 cc2=  .521143 lx= 10.06275 if=  54 il=  60 3/22/2020  n=   6 now=    3174 end=      23452        15       410 U=    43.10 T=  146.0 p1= 638.9 p2=    13.5 ed=   247 9/25/2020   x1=  54. x2=  60. y1=  2.13 y2=  2.00     
GP: Confirmed US_Virginia_Loudoun 3/22/2020        60    3174    -          15      410     1   247 9/25/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .932024 cc2=  .523776 lx=  9.02275 if=  55 il=  60 3/22/2020  n=   5 now=    3174 end=       8289        15       410 U=    31.17 T=  117.4 p1= 161.2 p2=    38.3 ed=   191 7/31/2020   x1=  55. x2=  60. y1=  2.00 y2=  1.84     
GP: Confirmed US_Virginia_Loudoun 3/22/2020        60    3174     8289      15      410     1   191 7/31/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .950825 cc2=  .683563 lx=  5.41275 if=  48 il=  61 3/23/2020  n=  13 now=    3174 end=        224        15        58 U=    18.74 T=   79.6 p1= -92.9 p2=  1417.0 ed=   123 5/24/2020   x1=  48. x2=  61. y1=  1.69 y2=   .99     
GP: Confirmed US_Virginia_Loudoun 3/23/2020        61    3174      224      15       58     3   123 5/24/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .938279 cc2=  .660929 lx=  5.19275 if=  49 il=  61 3/23/2020  n=  12 now=    3174 end=        179        15        58 U=    16.28 T=   75.8 p1= -94.4 p2=  1773.2 ed=   114 5/15/2020   x1=  49. x2=  61. y1=  1.65 y2=   .91     
GP: Confirmed US_Virginia_Loudoun 3/23/2020        61    3174      179      15       58     3   114 5/15/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .927229 cc2=  .638554 lx= 10.06275 if=  50 il=  61 3/23/2020  n=  11 now=    3174 end=      23452        15        58 U=    45.43 T=  151.6 p1= 638.9 p2=    13.5 ed=   258 10/6/2020   x1=  50. x2=  61. y1=  2.24 y2=  2.00     
GP: Confirmed US_Virginia_Loudoun 3/23/2020        61    3174    -          15       58     3   258 10/6/2020 
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .904296 cc2=  .602785 lx= 10.06275 if=  51 il=  61 3/23/2020  n=  10 now=    3174 end=      23452        15        58 U=    50.53 T=  161.8 p1= 638.9 p2=    13.5 ed=   281 10/29/2020  x1=  51. x2=  61. y1=  2.19 y2=  2.00     
GP: Confirmed US_Virginia_Loudoun 3/23/2020        61    3174    -          15       58     3   281 10/29/2020
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .876360 cc2=  .560133 lx= 10.06275 if=  52 il=  61 3/23/2020  n=   9 now=    3174 end=      23452        15        58 U=    64.65 T=  190.0 p1= 638.9 p2=    13.5 ed=   342 12/29/2020  x1=  52. x2=  61. y1=  2.13 y2=  2.00     
GP: Confirmed US_Virginia_Loudoun 3/23/2020        61    3174    -          15       58     3   342 12/29/2020
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .899097 cc2=  .565764 lx= 10.06275 if=  53 il=  61 3/23/2020  n=   8 now=    3174 end=      23452        15        58 U=    57.46 T=  175.7 p1= 638.9 p2=    13.5 ed=   311 11/28/2020  x1=  53. x2=  61. y1=  2.13 y2=  2.00     
GP: Confirmed US_Virginia_Loudoun 3/23/2020        61    3174    -          15       58     3   311 11/28/2020
AAA1     1 US_Virginia_Loudoun Confirmed cc1=  .920208 cc2=  .566654 lx=  4.59275 if=  54 il=  61 3/23/2020  n=   7 now=    3174 end=         98        15        58 U=    15.24 T=   70.7 p1= -96.9 p2=  3238.8 ed=   106 5/7/2020    x1=  54. x2=  61. y1=  1.09 y2=   .63 BEST
AAA2     1 US_Virginia_Loudoun Confirmed cc1=  .920208 cc2=  .566654 lx=  4.59075 if=  54 il=  61 3/23/2020  n=   7 now=    3174 end=         98        15        58 U=    15.24 T=   70.7 p1= -96.9 p2=  3238.8 ed=   106 5/7/2020    x1=  54. x2=  61. y1=  1.09 y2=   .63 BEST
GP: Confirmed US_Virginia_Loudoun 3/23/2020        61    3174       98      15       58     3   106 5/7/2020  
AAA1     1 US_Virginia_Loudoun Confirmed cc1=  .937382 cc2=  .559417 lx=  4.06275 if=  55 il=  61 3/23/2020  n=   6 now=    3174 end=         58        15        58 U=    10.10 T=   64.1 p1= -98.2 p2=  5472.4 ed=    87 4/18/2020   x1=  55. x2=  61. y1=   .90 y2=   .30 BEST
