TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       16492.00000        9.71063
TAB:  US_New_Jersey_Passaic Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_Jersey_Passaic Confirmed 3/29/2020    67      831    16492    23458        2    10662    63062    32597
TAB:  US_New_Jersey_Passaic Confirmed .            68     1091    16492    16755        1    16755    95964    55750
TAB:  US_New_Jersey_Passaic Confirmed 3/31/2020    69     1294    16492    18583        1    18583   112415    42955
TAB:  US_New_Jersey_Passaic Confirmed .            70     1494    16492    19802        2     3351    77076    21630
TAB:  US_New_Jersey_Passaic Confirmed 4/2/2020     71     1750    16492     6208        2     3252    54694    17443
TAB:  US_New_Jersey_Passaic Confirmed .            72     2216    16492    18269        2    11151    51010    22065
TAB:  US_New_Jersey_Passaic Confirmed 4/4/2020     73     2856    16492    42346        2    25895   102667    47220
TAB:  US_New_Jersey_Passaic Confirmed .            74     3227    16492    -            3    28941    94136    46611
TAB:  US_New_Jersey_Passaic Confirmed 4/6/2020     75     3756    16492    46002        2    12490    91090    50267
TAB:  US_New_Jersey_Passaic Confirmed .            76     4104    16492    38081        4     5788   118508    41127
TAB:  US_New_Jersey_Passaic Confirmed 4/8/2020     77     4372    16492    27485        3     5324    43027    28349
TAB:  US_New_Jersey_Passaic Confirmed .            78     4690    16492     5602        2     5602    36016    20466
TAB:  US_New_Jersey_Passaic Confirmed 4/10/2020    79     5017    16492     6209        2     6209    30121    16404
TAB:  US_New_Jersey_Passaic Confirmed .            80     5295    16492     6601        2     6449    25419    12823
TAB:  US_New_Jersey_Passaic Confirmed 4/12/2020    81     5590    16492     7542        2     6781    21866    11852
TAB:  US_New_Jersey_Passaic Confirmed .            82     5950    16492    14892        2     7364    19147    10965
TAB:  US_New_Jersey_Passaic Confirmed 4/14/2020    83     6438    16492     8834        4     8225    67936    13099
TAB:  US_New_Jersey_Passaic Confirmed .            84     6750    16492     9444        6     8834    64890    13099
TAB:  US_New_Jersey_Passaic Confirmed 4/16/2020    85     7317    16492    10662        9    10662    16755    13709
TAB:  US_New_Jersey_Passaic Confirmed .            86     7604    16492    11272        8    10662    19192    13709
TAB:  US_New_Jersey_Passaic Confirmed 4/18/2020    87     7936    16492    11272        8    10662    82560    14318
TAB:  US_New_Jersey_Passaic Confirmed .            88     8288    16492    11944        7    11080    44754    13958
TAB:  US_New_Jersey_Passaic Confirmed 4/20/2020    89     8479    16492    11832        6     9505    25670    12867
TAB:  US_New_Jersey_Passaic Confirmed .            90     8479    16492    11513        7     8879    15846    12108
TAB:  US_New_Jersey_Passaic Confirmed 4/22/2020    91     9392    16492    12507        5    12507    21874    13609
TAB:  US_New_Jersey_Passaic Confirmed .            92     9874    16492    13709       11    13099    28332    19192
TAB:  US_New_Jersey_Passaic Confirmed 4/24/2020    93    10291    16492    14318       12    13709    32597    17974
TAB:  US_New_Jersey_Passaic Confirmed .            94    10738    16492    14927       16    13099   102667    23458
TAB:  US_New_Jersey_Passaic Confirmed 4/26/2020    95    11137    16492    14927       14    12490    75857    21630
TAB:  US_New_Jersey_Passaic Confirmed .            96    11349    16492    15537       12    12490    46002    20411
TAB:  US_New_Jersey_Passaic Confirmed 4/28/2020    97    11755    16492    15537       13    13709    81950    21020
TAB:  US_New_Jersey_Passaic Confirmed .            98    12185    16492    16184       14    15273    47643    21200
TAB:  US_New_Jersey_Passaic Confirmed 4/30/2020    99    12449    16492    16146       13    15537    35034    24067
TAB:  US_New_Jersey_Passaic Confirmed .           100    12814    16492    16554       12    16064    43042    21459
TAB:  US_New_Jersey_Passaic Confirmed 5/2/2020    101    13082    16492    16590        6    15391    26452    19389
TAB:  US_New_Jersey_Passaic Confirmed .           102    13364    16492    16795        6    15908    25161    18823
TAB:  US_New_Jersey_Passaic Confirmed 5/4/2020    103    13496    16492    16772        7    14624    23696    18086
TAB:  US_New_Jersey_Passaic Confirmed .           104    13797    16492    17032        7    15541    22766    18637
TAB:  US_New_Jersey_Passaic Confirmed 5/6/2020    105    13971    16492    16965        8    15656    21657    18275
TAB:  US_New_Jersey_Passaic Confirmed .           106    14133    16492    17138       10    15566    20807    18082
TAB:  US_New_Jersey_Passaic Confirmed 5/8/2020    107    14280    16492    17171        8    15258    19991    17474
TAB:  US_New_Jersey_Passaic Confirmed .           108    14428    16492    17153        8    15100    19401    17348
TAB:  US_New_Jersey_Passaic Confirmed 5/10/2020   109    14543    16492    17025        8    15223    18827    17120
TAB:  US_New_Jersey_Passaic Confirmed .           110    14645    16492    16967       12    15200    18454    16781
TAB:  US_New_Jersey_Passaic Confirmed 5/12/2020   111    14716    16492    17007       12    15112    17909    16466
TAB:  US_New_Jersey_Passaic Confirmed .           112    14757    16492    16846       13    14901    17554    16139
TAB:  US_New_Jersey_Passaic Confirmed 5/14/2020   113    14887    16492    16854       15    15365    17379    16329
TAB:  US_New_Jersey_Passaic Confirmed .           114    14930    16492    16676       14    15405    17205    16358
TAB:  US_New_Jersey_Passaic Confirmed 5/16/2020   115    15031    16492    16755       30    15537    16755    16146
TAB:  US_New_Jersey_Passaic Confirmed .           116    15205    16492    16755       31    15537    28332    16755
TAB:  US_New_Jersey_Passaic Confirmed 5/18/2020   117    15278    16492    16755       29    16146    77076    17365
TAB:  US_New_Jersey_Passaic Confirmed .           118    15371    16492    16755       30    16146    20411    17365
TAB:  US_New_Jersey_Passaic Confirmed 5/20/2020   119    15426    16492    16755       30    15537    30769    17365
TAB:  US_New_Jersey_Passaic Confirmed .           120    15497    16492    16755       30    15537    22239    17365
TAB:  US_New_Jersey_Passaic Confirmed 5/22/2020   121    15604    16492    16755       34    16146   109369    18583
TAB:  US_New_Jersey_Passaic Confirmed .           122    15610    16492    16449       29    16034    20392    17175
TAB:  US_New_Jersey_Passaic Confirmed 5/24/2020   123    15686    16492    16522       30    16153    18086    16982
TAB:  US_New_Jersey_Passaic Confirmed .           124    15774    16492    16755       38    16146    20411    17974
TAB:  US_New_Jersey_Passaic Confirmed 5/26/2020   125    15826    16492    16508       34    16276    19752    17319
TAB:  US_New_Jersey_Passaic Confirmed .           126    15873    16492    16480       37    16301    17552    17016
TAB:  US_New_Jersey_Passaic Confirmed 5/28/2020   127    15959    16492    16755       52    16146    24067    18583
TAB:  US_New_Jersey_Passaic Confirmed .           128    16045    16492    16755       53    16755    27723    17974
TAB:  US_New_Jersey_Passaic Confirmed 5/30/2020   129    16099    16492    16755       52    16755    42346    23458
TAB:  US_New_Jersey_Passaic Confirmed .           130    16170    16492    16755       51    16755    38081    19802
TAB:  US_New_Jersey_Passaic Confirmed 6/1/2020    131    16200    16492    16755       52    16755    37471    21630
TAB:  US_New_Jersey_Passaic Confirmed .           132    16234    16492    16668       45    16366    19589    17474
TAB:  US_New_Jersey_Passaic Confirmed 6/3/2020    133    16277    16492    16614       43    16522    17902    17166
TAB:  US_New_Jersey_Passaic Confirmed .           134    16311    16492    16659       42    16480    17731    17195
TAB:  US_New_Jersey_Passaic Confirmed 6/5/2020    135    16387    16492    16755       54    16755    20411    17974
TAB:  US_New_Jersey_Passaic Confirmed .           136    16436    16492    16755       48    16755    17974    17365
TAB:  US_New_Jersey_Passaic Confirmed 6/7/2020    137    16449    16492    16755       50    16755    19802    17974
TAB:  US_New_Jersey_Passaic Confirmed .           138    16461    16492    16755       57    16755    17974    17365
TAB:  US_New_Jersey_Passaic Confirmed 6/9/2020    139    16492    16492    16854       48    16679    17379    17029
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .905103 cc2=  .551549 lx= 11.71063 if=  48 il=  55 3/17/2020  n=   7 now=   16492 end=     121860        10         0 U=    31.97 T=  126.7 p1= 638.9 p2=    13.5 ed=   202 8/11/2020   x1=  48. x2=  55. y1=  2.46 y2=  2.24     
GP: Confirmed US_New_Jersey_Passaic 3/17/2020        55   16492    -          10        0     0   202 8/11/2020 
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .920026 cc2=  .542062 lx= 11.71063 if=  49 il=  55 3/17/2020  n=   6 now=   16492 end=     121860        10         0 U=    27.41 T=  116.4 p1= 638.9 p2=    13.5 ed=   181 7/21/2020   x1=  49. x2=  55. y1=  2.46 y2=  2.24     
GP: Confirmed US_New_Jersey_Passaic 3/17/2020        55   16492    -          10        0     0   181 7/21/2020 
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .920697 cc2=  .512449 lx= 11.71063 if=  50 il=  55 3/17/2020  n=   5 now=   16492 end=     121860        10         0 U=    22.84 T=  106.2 p1= 638.9 p2=    13.5 ed=   160 6/30/2020   x1=  50. x2=  55. y1=  2.46 y2=  2.24     
GP: Confirmed US_New_Jersey_Passaic 3/17/2020        55   16492    -          10        0     0   160 6/30/2020 
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .931398 cc2=  .598065 lx= 11.71063 if=  48 il=  56 3/18/2020  n=   8 now=   16492 end=     121860        18       304 U=    28.22 T=  117.4 p1= 638.9 p2=    13.5 ed=   184 7/24/2020   x1=  48. x2=  56. y1=  2.46 y2=  2.18     
GP: Confirmed US_New_Jersey_Passaic 3/18/2020        56   16492    -          18      304     1   184 7/24/2020 
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .945973 cc2=  .592420 lx= 11.71063 if=  49 il=  56 3/18/2020  n=   7 now=   16492 end=     121860        18       304 U=    24.70 T=  109.8 p1= 638.9 p2=    13.5 ed=   168 7/8/2020    x1=  49. x2=  56. y1=  2.46 y2=  2.18     
GP: Confirmed US_New_Jersey_Passaic 3/18/2020        56   16492    -          18      304     1   168 7/8/2020  
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .951029 cc2=  .573064 lx= 11.71063 if=  50 il=  56 3/18/2020  n=   6 now=   16492 end=     121860        18       304 U=    21.17 T=  102.1 p1= 638.9 p2=    13.5 ed=   152 6/22/2020   x1=  50. x2=  56. y1=  2.46 y2=  2.18     
GP: Confirmed US_New_Jersey_Passaic 3/18/2020        56   16492    -          18      304     1   152 6/22/2020 
AAA1     1 US_New_Jersey_Passaic Confirmed cc1=  .936383 cc2=  .528135 lx=  5.71063 if=  51 il=  56 3/18/2020  n=   5 now=   16492 end=        302        18       304 U=     8.68 T=   65.0 p1= -98.2 p2=  5460.9 ed=    85 4/16/2020   x1=  51. x2=  56. y1=  1.61 y2=  1.04 BEST
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .936383 cc2=  .528135 lx=  5.67363 if=  51 il=  56 3/18/2020  n=   5 now=   16492 end=        302        18       304 U=     8.68 T=   65.0 p1= -98.2 p2=  5460.9 ed=    85 4/16/2020   x1=  51. x2=  56. y1=  1.61 y2=  1.04 BEST
GP: Confirmed US_New_Jersey_Passaic 3/18/2020        56   16492      302      18      304     1    85 4/16/2020 
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .942748 cc2=  .626520 lx= 11.71063 if=  48 il=  57 3/19/2020  n=   9 now=   16492 end=     121860        38     30769 U=    24.20 T=  107.5 p1= 638.9 p2=    13.5 ed=   164 7/4/2020    x1=  48. x2=  57. y1=  2.46 y2=  2.09     
GP: Confirmed US_New_Jersey_Passaic 3/19/2020        57   16492    -          38    30769     1   164 7/4/2020  
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .956660 cc2=  .623326 lx= 11.71063 if=  49 il=  57 3/19/2020  n=   8 now=   16492 end=     121860        38     30769 U=    21.51 T=  101.9 p1= 638.9 p2=    13.5 ed=   152 6/22/2020   x1=  49. x2=  57. y1=  2.46 y2=  2.09     
GP: Confirmed US_New_Jersey_Passaic 3/19/2020        57   16492    -          38    30769     1   152 6/22/2020 
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .963853 cc2=  .610300 lx= 11.71063 if=  50 il=  57 3/19/2020  n=   7 now=   16492 end=     121860        38     30769 U=    18.82 T=   96.3 p1= 638.9 p2=    13.5 ed=   140 6/10/2020   x1=  50. x2=  57. y1=  2.46 y2=  2.09     
GP: Confirmed US_New_Jersey_Passaic 3/19/2020        57   16492    -          38    30769     1   140 6/10/2020 
