TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       43917.00000       10.69006
TAB:  Ecuador Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Ecuador Confirmed 1/23/2020     1        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .             2        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 1/25/2020     3        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .             4        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 1/27/2020     5        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .             6        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 1/29/2020     7        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .             8        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 1/31/2020     9        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            10        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 2/2/2020     11        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            12        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 2/4/2020     13        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            14        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 2/6/2020     15        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            16        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 2/8/2020     17        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            18        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 2/10/2020    19        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            20        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 2/12/2020    21        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            22        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 2/14/2020    23        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            24        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 2/16/2020    25        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            26        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 2/18/2020    27        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            28        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 2/20/2020    29        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            30        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 2/22/2020    31        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            32        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 2/24/2020    33        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            34        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 2/26/2020    35        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            36        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 2/28/2020    37        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            38        0    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 3/1/2020     39       12    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            40       12    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 3/3/2020     41       14    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            42       20    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 3/5/2020     43       26    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            44       26    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 3/7/2020     45       26    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            46       28    43917        0        0        0        0        0
TAB:  Ecuador Confirmed 3/9/2020     47       30    43917        0        0        0        0        0
TAB:  Ecuador Confirmed .            48       30    43917      811        4      811      811      811
TAB:  Ecuador Confirmed 3/11/2020    49       34    43917      811        4      811      811      811
