TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3186.00000        8.06652
TAB:  US_Kentucky_Jefferson Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Kentucky_Jefferson Confirmed 2/10/2020    19        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed .            20        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed 2/12/2020    21        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed .            22        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed 2/14/2020    23        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed .            24        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed 2/16/2020    25        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed .            26        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed 2/18/2020    27        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed .            28        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed 2/20/2020    29        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed .            30        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed 2/22/2020    31        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed .            32        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed 2/24/2020    33        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed .            34        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed 2/26/2020    35        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed .            36        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed 2/28/2020    37        0     3186        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Confirmed .            38        0     3186        0        0        0        0        0
