TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6595.00000        8.79407
TAB:  US_New_York_Erie Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_Erie Confirmed .            74     1059     6595     4020        3     4020    23024     5238
TAB:  US_New_York_Erie Confirmed 4/6/2020     75     1148     6595     4994        4     4751    35451     6213
TAB:  US_New_York_Erie Confirmed .            76     1234     6595     4994        4     1827    21563     5969
TAB:  US_New_York_Erie Confirmed 4/8/2020     77     1335     6595     4507        3     1583    20588     5482
TAB:  US_New_York_Erie Confirmed .            78     1432     6595     4263        4     1827    38374     4994
TAB:  US_New_York_Erie Confirmed 4/10/2020    79     1498     6595     1763        1     1763     6998     3925
TAB:  US_New_York_Erie Confirmed .            80     1506     6595     3548        2     1633     4110     3236
TAB:  US_New_York_Erie Confirmed 4/12/2020    81     1571     6595     1707        2     1689     3645     2685
TAB:  US_New_York_Erie Confirmed .            82     1661     6595     2581        2     1865     3348     2496
TAB:  US_New_York_Erie Confirmed 4/14/2020    83     1730     6595     2314        6     2071     6700     2801
TAB:  US_New_York_Erie Confirmed .            84     1812     6595     2558        7     2071     3289     2801
TAB:  US_New_York_Erie Confirmed 4/16/2020    85     1951     6595     2558        7     2558     6456     3045
TAB:  US_New_York_Erie Confirmed .            86     2023     6595     2801       11     2558     9624     3045
TAB:  US_New_York_Erie Confirmed 4/18/2020    87     2107     6595     2801       11     2801    34720     6700
TAB:  US_New_York_Erie Confirmed .            88     2192     6595     3045       19     2801    19126     5482
TAB:  US_New_York_Erie Confirmed 4/20/2020    89     2238     6595     3045       19     2558    24243     4263
TAB:  US_New_York_Erie Confirmed .            90     2284     6595     3022       14     2460    26498     4709
TAB:  US_New_York_Erie Confirmed 4/22/2020    91     2284     6595     2973        6     2344     4728     2999
TAB:  US_New_York_Erie Confirmed .            92     2450     6595     3101        6     3045     5076     3908
TAB:  US_New_York_Erie Confirmed 4/24/2020    93     2603     6595     3294       12     3294    11573     5684
TAB:  US_New_York_Erie Confirmed .            94     2773     6595     3532       10     3532    26192     9136
TAB:  US_New_York_Erie Confirmed 4/26/2020    95     2954     6595     4020        7     3776    20101     4263
TAB:  US_New_York_Erie Confirmed .            96     3021     6595     4020        9     4020    28385     4751
TAB:  US_New_York_Erie Confirmed 4/28/2020    97     3089     6595     4263        7     3289    29359     4751
TAB:  US_New_York_Erie Confirmed .            98     3196     6595     4263        8     3532    29359     4751
TAB:  US_New_York_Erie Confirmed 4/30/2020    99     3319     6595     4507        6     3776    29847     5238
TAB:  US_New_York_Erie Confirmed .           100     3481     6595     4751        6     4507    35451     5725
TAB:  US_New_York_Erie Confirmed 5/2/2020    101     3598     6595     4751        5     4751    38618     5969
TAB:  US_New_York_Erie Confirmed .           102     3710     6595     4994        7     4751    39593     6456
TAB:  US_New_York_Erie Confirmed 5/4/2020    103     3802     6595     5238        5     4507    36182     6700
TAB:  US_New_York_Erie Confirmed .           104     3891     6595     5238        6     4263    31065     6700
TAB:  US_New_York_Erie Confirmed 5/6/2020    105     4008     6595     5238        5     4994    41055     8162
TAB:  US_New_York_Erie Confirmed .           106     4136     6595     5969        6     5238    42760    10111
TAB:  US_New_York_Erie Confirmed 5/8/2020    107     4255     6595     5725        5     5482    48364    12060
TAB:  US_New_York_Erie Confirmed .           108     4337     6595     5725        4     5482    34963     9867
TAB:  US_New_York_Erie Confirmed 5/10/2020   109     4453     6595     5787        4     5597    34630    10151
