Country_Region,Country_Region_Safe,Province_State,Province_State_Safe,County_Name,County_Name_Safe,Case_Type,Source,Last_Update_Date,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20
Afghanistan,Afghanistan,,,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181,0.362,0.543,0.725,0.906,1.087,1.268,1.268,1.268,1.268,1.268,1.268,1.268,1.811,2.355,3.079,4.166,5.253,6.339,8.151,10.324,13.403,16.483,19.2,21.916,24.996,27.35,31.697,35.139,44.557,55.787,68.829,84.406,99.983,114.473,138.02,156.132,183.845,216.267,247.24,281.473,322.951,358.633,403.734,441.228,479.446,522.916,569.285,616.016,669.992,722.701,784.284,848.766,918.5,986.966,1057.425,1122.812,1191.279,1262.281,1341.796,1422.398,1518.396,1615.299,1737.923,1871.233,2009.434,2171.0
Afghanistan,Afghanistan,,,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.338,0.507,0.844,1.52,2.195,2.871,3.377,3.884,4.391,4.728,5.066,5.404,5.91,6.417,7.599,9.288,10.976,12.496,14.016,15.873,17.731,19.42,20.939,22.797,25.33,27.863,29.889,32.422,34.955,37.15,39.683,41.71,43.905,46.776,49.646,53.193,56.908,60.285,64.0
Albania,Albania,,,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301,1.804,3.609,7.067,12.029,17.742,24.058,31.425,38.191,45.258,51.423,56.986,62.7,69.767,77.736,87.961,101.042,117.581,135.023,153.217,171.711,189.604,207.647,224.638,240.125,257.867,278.316,300.72,323.875,344.926,366.126,385.974,402.814,417.85,430.631,444.163,457.996,472.13,488.519,507.013,524.305,541.747,559.339,579.487,600.537,622.339,643.239,667.898,692.557,715.412,736.613,756.46,773.0
Albania,Albania,,,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.308,0.463,0.617,0.771,0.925,1.08,1.234,1.388,1.542,1.697,1.851,2.313,2.93,3.393,4.01,4.935,6.169,7.403,8.483,10.025,11.567,13.109,14.498,16.04,17.582,19.124,20.204,21.284,22.363,23.289,23.751,24.214,24.522,24.831,25.294,25.756,26.219,26.682,27.144,27.607,27.915,28.224,28.378,28.532,28.687,28.995,29.303,29.92,30.383,31.0
Algeria,Algeria,,,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.323,0.485,0.647,0.808,0.97,1.455,2.101,3.879,5.657,8.243,10.829,13.739,16.486,18.911,20.204,22.143,23.598,26.831,31.518,37.013,43.478,52.206,62.389,72.734,89.22,113.949,142.396,175.369,212.22,257.477,309.037,359.95,410.055,467.272,540.329,628.418,728.466,851.629,980.448,1111.206,1246.814,1368.36,1485.541,1595.45,1690.812,1783.587,1879.595,1970.108,2067.41,2162.448,2259.749,2365.94,2480.536,2596.101,2714.899,2834.667,2955.89,3075.334,3189.93,3306.627,3428.334,3557.477,3692.923,3844.532,4006.0
Algeria,Algeria,,,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149,0.447,0.893,1.489,2.085,2.68,3.723,4.914,6.254,8.041,9.977,11.913,14.146,16.231,18.614,20.847,22.932,25.017,27.697,31.42,36.929,46.013,57.776,72.816,90.834,111.383,133.57,155.46,177.647,200.132,221.724,242.72,263.567,283.372,302.879,319.705,335.788,349.487,361.698,372.27,382.098,391.926,400.711,408.306,416.049,423.494,430.642,437.343,443.597,450.0
Andorra,Andorra,,,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.288,0.431,0.575,0.719,0.863,1.007,1.007,1.007,1.007,1.007,1.007,1.007,1.007,1.15,6.615,12.079,19.556,30.197,42.707,58.812,77.649,95.623,117.049,141.638,169.246,200.881,232.66,266.739,297.224,326.27,355.604,380.337,403.056,427.07,449.358,473.66,498.68,520.968,544.263,563.675,583.375,600.774,617.167,632.84,645.782,659.442,674.253,685.038,695.247,703.587,710.777,717.967,722.999,727.888,731.483,735.222,738.961,741.837,745.0
Andorra,Andorra,,,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.295,0.442,0.589,1.032,1.474,1.916,2.653,3.684,5.305,7.221,8.989,10.905,12.968,14.737,16.653,18.126,19.453,20.926,22.4,23.726,25.347,26.526,27.853,29.326,30.505,31.832,33.158,34.189,35.368,36.253,36.842,37.432,38.168,38.905,39.495,39.937,40.526,41.263,42.0
Angola,Angola,,,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.44,0.734,1.174,1.614,2.054,2.641,3.082,3.522,4.255,4.842,5.429,6.163,6.75,7.337,8.071,9.098,10.418,11.886,13.5,15.114,16.728,18.049,18.783,19.223,19.516,19.516,19.516,19.516,20.25,20.984,21.717,22.451,23.332,24.212,25.092,25.239,25.533,25.973,26.413,26.707,27.0
Angola,Angola,,,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.571,0.857,1.143,1.429,1.714,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
