Country_Region,Country_Region_Safe,Case_Type,Source,Last_Update_Date,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20
Antigua and Barbuda,Antigua_and_Barbuda,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.291,0.436,0.582,0.727,0.873,1.018,1.018,1.018,1.018,1.309,1.6,1.891,2.764,3.636,4.509,5.382,5.964,6.545,7.127,7.418,8.582,9.745,10.909,12.073,13.818,15.564,17.018,17.6,18.473,19.345,20.509,21.091,21.673,22.255,22.836,23.127,23.418,23.418,23.418,23.564,23.709,23.855,24.0
Antigua and Barbuda,Antigua_and_Barbuda,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.429,0.714,1.0,1.286,1.571,1.857,2.0,2.0,2.143,2.286,2.429,2.571,2.714,2.857,3.0,3.0,3.0,3.0
Argentina,Argentina,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.332,0.498,0.83,2.157,4.149,6.14,8.796,11.783,14.77,19.583,23.898,29.374,36.676,45.14,55.098,68.042,84.14,104.719,141.395,182.055,234.995,286.11,353.322,429.828,518.117,597.611,683.742,794.436,905.129,1009.848,1122.035,1248.328,1365.493,1487.306,1582.565,1692.262,1802.126,1919.955,2006.917,2121.593,2230.129,2337.835,2458.651,2587.434,2702.608,2832.552,2948.224,3069.87,3195.002,3311.338,3454.725,3610.392,3780.0
Argentina,Argentina,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.339,0.508,0.677,0.846,1.185,1.523,1.693,1.862,2.031,2.2,2.539,2.708,3.047,3.385,3.724,4.401,5.416,6.432,8.124,10.494,13.033,16.249,19.803,23.188,27.758,32.159,36.391,40.622,44.854,49.762,55.686,61.78,69.058,75.828,83.614,91.908,99.694,107.818,115.096,122.036,129.822,136.93,143.532,151.148,158.088,166.551,175.522,185.0
Armenia,Armenia,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.326,0.488,0.651,0.814,0.977,1.14,1.14,1.14,1.14,1.14,1.628,2.768,5.536,9.606,17.91,30.447,43.96,62.033,82.873,105.993,133.346,163.141,190.983,220.452,248.945,280.368,320.584,358.031,398.247,444.324,494.145,554.875,621.141,680.243,745.044,802.192,854.456,904.929,946.935,979.661,1011.736,1042.833,1076.373,1111.216,1148.664,1187.414,1230.397,1276.148,1321.411,1370.256,1424.636,1483.575,1542.84,1607.152,1677.0
Armenia,Armenia,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.331,0.497,0.994,1.491,1.988,2.651,3.645,4.639,5.633,6.296,7.124,7.953,8.781,9.278,10.107,11.101,12.095,13.089,14.414,15.74,17.065,18.225,19.385,20.544,21.87,23.195,24.355,25.349,26.675,28.0
Australia,Australia,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.575,1.294,2.013,2.875,4.169,5.463,7.188,8.338,9.345,10.495,11.501,12.22,13.082,13.514,13.945,14.376,14.664,14.951,15.095,15.095,15.095,15.095,15.095,15.095,15.095,15.095,15.095,15.095,15.095,15.095,15.095,15.095,15.095,15.095,16.533,18.258,20.414,23.865,29.184,34.934,41.404,46.866,53.911,62.68,72.456,83.382,93.877,114.003,140.887,172.658,213.774,263.372,326.628,406.128,491.092,609.121,789.111,976.72,1205.59,1463.787,1769.857,2107.985,2477.31,2827.371,3212.51,3574.072,3933.19,4264.706,4579.114,4853.7,5098.527,5304.969,5497.036,5662.075,5804.687,5931.917,6040.169,6130.452,6210.096,6284.853,6346.67,6397.562,6441.697,6479.794,6522.204,6561.307,6594.373,6624.85,6653.603,6675.886,6694.0
Australia,Australia,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.319,0.478,0.797,1.116,1.434,1.753,2.072,2.39,2.709,2.869,3.028,3.187,3.347,3.347,3.347,3.665,4.143,4.622,5.259,5.896,6.534,7.171,7.649,7.968,9.084,10.04,11.155,12.59,14.183,15.777,17.689,19.442,21.833,24.382,27.41,31.076,35.378,40.159,44.462,48.606,52.908,56.892,60.239,62.948,65.02,66.932,68.845,70.438,71.554,72.51,73.307,73.944,75.857,77.928,80.0
Austria,Austria,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.579,1.014,1.449,2.753,4.781,7.388,10.141,14.052,19.557,27.091,37.231,50.27,66.64,89.964,121.401,159.212,224.258,307.703,417.224,545.724,712.324,915.141,1163.013,1435.947,1748.721,2143.056,2643.725,3216.105,3787.181,4496.463,5259.781,6050.334,6804.525,7549.734,8259.161,9001.328,9612.677,10172.888,10681.38,11154.09,11542.196,11898.43,12221.634,12528.033,12822.263,13115.624,13390.007,13642.66,13872.568,14074.516,14252.996,14403.66,14528.972,14645.447,14754.679,14848.41,14933.738,15009.939,15078.897,15148.0
Austria,Austria,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.305,0.458,0.611,1.069,1.527,2.137,2.901,3.664,4.733,7.023,9.77,13.587,17.556,24.121,32.059,41.219,51.905,65.187,80.453,98.162,114.803,131.596,149.61,167.624,184.722,202.279,221.667,242.582,265.634,288.686,310.975,333.569,355.094,373.414,390.97,408.068,424.251,439.822,455.394,471.729,489.59,506.689,521.802,536.0
