Country_Region,Country_Region_Safe,Case_Type,Source,Last_Update_Date,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20
Afghanistan,Afghanistan,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357,0.715,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,2.145,3.217,4.647,5.719,6.791,7.506,8.936,12.153,17.157,21.089,23.234,23.591,24.306,25.021,31.455,37.174,55.046,70.773,90.075,102.943,112.236,121.529,142.976,165.852,207.672,244.489,282.735,304.896,332.061,362.801,407.124,441.08,482.901,517.93,557.606,601.571,653.042,709.875,773.142,835.694,904.322,957.581,1013.341,1056.234,1113.067,1177.406,1267.838,1360.415,1463.0
Afghanistan,Afghanistan,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356,0.712,1.068,1.424,2.492,3.561,4.273,4.273,4.273,4.273,4.273,4.985,5.697,6.765,7.121,8.902,11.394,13.886,15.311,15.667,17.091,18.159,20.295,22.076,24.568,27.773,30.265,32.045,33.114,35.25,37.386,39.879,42.015,44.508,47.0
Albania,Albania,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.694,4.162,8.323,15.606,23.583,32.6,39.189,45.432,51.328,57.224,61.732,66.934,72.83,81.5,93.292,109.592,129.36,153.637,175.486,193.173,206.352,219.184,235.137,251.437,270.165,291.32,316.984,346.116,371.433,388.774,402.299,413.397,424.842,436.286,449.118,466.806,481.372,498.019,515.706,537.902,556.629,571.889,587.495,608.651,633.621,661.019,684.949,712.0
Albania,Albania,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.667,1.0,1.0,1.0,1.0,1.0,1.333,1.667,2.0,2.0,2.0,2.667,3.667,4.667,5.333,6.333,8.0,9.333,10.333,12.0,13.667,15.333,16.0,17.667,19.0,20.333,21.0,21.667,22.333,22.667,23.0,23.0,23.0,23.333,24.0,25.0,25.667,26.0,26.0,26.0,26.0,26.333,26.667,27.0,27.0
Algeria,Algeria,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347,0.694,1.04,1.04,1.04,1.04,1.734,3.121,6.935,10.056,14.217,15.951,18.378,19.418,20.458,20.805,22.192,24.273,30.167,38.489,48.199,56.174,65.189,76.632,87.035,109.574,149.103,197.649,240.993,276.014,323.519,373.799,426.505,476.437,537.119,627.968,744.476,883.871,1041.643,1181.73,1297.545,1384.927,1460.172,1547.554,1631.814,1733.413,1821.141,1907.135,1984.114,2069.068,2154.369,2253.194,2373.863,2503.548,2628.726,2732.751,2828.802,2926.239,3026.45,3136.024,3256.0
Algeria,Algeria,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338,1.013,2.026,3.039,3.714,4.052,5.064,6.753,9.116,11.817,14.518,16.544,17.894,19.245,21.946,24.309,27.01,29.036,32.075,37.139,46.255,63.475,84.07,108.38,130.663,153.622,174.893,192.787,213.72,234.991,258.625,278.208,297.453,314.672,329.19,341.007,353.837,364.304,373.42,380.172,388.613,397.729,405.495,413.26,419.0
Andorra,Andorra,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337,0.673,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.347,14.141,26.934,44.105,56.225,72.723,92.923,112.451,138.038,163.289,193.927,228.605,269.006,306.041,340.719,363.613,382.467,401.995,423.205,448.793,473.37,502.325,528.922,550.133,569.661,588.515,600.972,619.489,634.64,654.167,665.951,675.041,687.498,697.935,711.402,718.473,722.849,726.216,728.236,732.95,738.0
Andorra,Andorra,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.684,1.026,1.026,1.709,2.393,3.077,4.103,5.812,8.889,11.624,14.017,15.385,16.41,17.436,19.145,20.855,22.564,23.932,25.299,26.325,27.692,28.718,30.427,31.795,33.162,34.53,35.214,36.239,36.923,37.607,37.949,37.949,38.974,40.0
Angola,Angola,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1.0,1.667,2.333,2.667,3.0,3.333,3.667,4.333,5.333,6.333,7.0,7.333,7.667,8.0,8.667,10.667,13.333,15.667,17.333,18.333,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.667,22.333,24.0,24.0,24.333,24.667,25.0,25.0
Angola,Angola,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,1.333,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Antigua and Barbuda,Antigua_and_Barbuda,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.667,2.333,3.0,4.333,5.667,7.0,7.0,7.0,7.0,7.0,7.667,10.333,13.0,15.0,15.0,16.333,17.667,19.0,19.0,19.667,20.333,21.667,22.333,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.333,23.667,24.0,24.0
Antigua and Barbuda,Antigua_and_Barbuda,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1.0,1.667,2.0,2.0,2.0,2.0,2.0,2.0,2.333,2.667,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Argentina,Argentina,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349,0.699,1.048,1.397,3.842,7.684,11.177,14.321,16.766,19.211,24.101,29.34,38.422,47.154,59.03,70.906,85.226,106.184,133.777,192.807,253.234,333.221,375.485,445.692,516.248,622.083,706.96,787.646,914.787,1022.717,1132.044,1205.744,1344.411,1455.485,1556.429,1618.254,1710.466,1794.644,1915.847,2006.662,2127.865,2209.25,2314.735,2419.871,2546.662,2683.583,2793.609,2887.219,2982.225,3077.581,3184.114,3356.662,3557.853,3780.0
Argentina,Argentina,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352,0.703,1.055,1.055,1.055,1.407,1.759,2.11,2.11,2.11,2.11,2.462,2.814,3.517,3.869,4.221,4.924,6.331,8.089,10.551,14.068,17.586,21.103,24.268,27.433,32.006,36.226,41.502,44.316,47.481,52.053,58.736,67.177,76.321,83.356,89.686,94.962,101.644,109.03,115.361,122.747,129.078,135.057,139.629,145.96,152.994,163.194,173.394,185.0
Armenia,Armenia,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.699,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,2.098,4.546,10.49,18.183,33.568,54.548,74.829,96.858,117.138,143.713,171.337,205.954,237.074,261.9,281.132,309.105,358.758,405.613,459.112,502.82,554.221,617.511,688.843,758.426,814.023,847.941,876.963,897.594,928.364,957.736,987.808,1019.977,1055.643,1090.609,1124.877,1166.837,1213.692,1261.596,1307.752,1356.006,1409.505,1473.144,1537.483,1605.668,1677.0
Armenia,Armenia,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354,0.709,1.063,1.772,2.481,3.19,3.544,4.962,6.38,7.443,7.443,7.797,8.152,8.861,9.57,10.987,12.405,13.468,14.177,15.241,16.658,18.076,19.139,20.203,20.911,21.975,23.392,24.81,25.519,26.582,28.0
Australia,Australia,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,1.337,3.007,4.678,5.346,6.683,8.02,10.024,11.027,12.029,12.364,12.698,13.366,14.034,14.703,15.037,15.037,15.037,15.037,15.037,15.037,15.037,15.037,15.037,15.037,15.037,15.037,15.037,15.037,15.037,15.037,15.037,15.037,15.037,15.037,18.378,22.388,27.4,32.078,40.432,48.786,55.803,59.478,66.496,76.854,91.557,108.932,121.296,152.372,193.138,249.609,308.753,376.251,466.806,568.387,681.663,849.74,1139.781,1437.508,1762.634,2034.965,2411.885,2779.114,3205.488,3597.779,4004.772,4311.854,4605.237,4857.519,5115.148,5345.042,5535.841,5691.888,5807.169,5915.099,6019.02,6125.947,6223.853,6293.022,6338.466,6375.89,6417.659,6454.75,6490.503,6533.274,6582.728,6616.478,6642.207,6656.241,6669.273,6679.966,6694.0
Australia,Australia,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.684,1.026,1.368,1.709,2.051,2.051,2.393,2.735,3.077,3.077,3.077,3.077,3.077,3.077,3.077,3.761,4.786,5.812,6.496,6.838,7.179,7.179,7.521,7.863,9.915,11.624,13.675,14.701,16.068,17.436,18.803,21.197,24.615,28.034,31.795,35.897,41.026,46.154,49.915,52.991,55.385,58.462,60.855,62.564,63.59,64.274,65.641,67.009,68.376,68.718,68.718,68.718,71.453,75.556,80.0
Austria,Austria,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.34,2.345,2.68,5.025,8.709,13.734,17.754,22.778,30.483,41.872,58.621,79.725,105.183,139.685,187.252,244.533,352.396,489.402,676.319,848.497,1075.277,1338.569,1671.871,2025.607,2416.86,2942.439,3641.201,4468.26,5140.224,5955.893,6751.129,7649.872,8279.294,8936.184,9575.656,10219.817,10725.967,11176.176,11534.602,11843.451,12102.388,12389.798,12688.263,13005.486,13312.325,13601.746,13836.565,13999.363,14140.054,14271.03,14416.745,14540.352,14652.569,14744.018,14811.013,14878.678,14937.634,15006.975,15073.3,15148.0
