Country_Region,Country_Region_Safe,Province_State,Province_State_Safe,County_Name,County_Name_Safe,Case_Type,Source,Last_Update_Date,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20
Afghanistan,Afghanistan,,,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.46,0.69,0.92,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.84,2.53,3.45,4.83,6.21,6.9,8.51,11.04,14.26,17.71,21.16,23.69,25.529,26.219,30.359,34.499,46.459,60.259,76.358,92.458,108.558,119.138,138.917,157.317,186.526,224.015,261.045,290.714,330.963,360.863,395.362,432.851,475.4,514.959,558.199,600.518,651.347,704.246,764.734,830.283,899.052,960.69,1025.549,1081.208,1139.167,1201.265,1280.844,1362.492,1463.0
Afghanistan,Afghanistan,,,,,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,0.452,0.678,1.13,2.034,2.712,3.389,4.067,4.519,4.519,4.519,4.971,5.423,6.101,6.779,8.361,10.168,11.976,13.784,15.591,17.173,18.077,19.659,21.466,23.726,26.437,29.149,31.183,33.442,35.928,37.284,39.543,42.255,44.514,47.0
Albania,Albania,,,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432,2.592,5.184,10.153,17.282,25.058,31.971,40.396,47.308,52.925,58.541,64.59,69.99,77.335,87.056,99.801,116.218,137.388,158.342,178.432,197.658,214.291,229.197,244.966,262.248,282.121,305.883,331.374,356.864,379.762,400.5,416.917,428.799,440.896,454.505,468.978,483.235,500.085,518.447,538.536,556.034,574.828,594.269,613.927,634.449,659.291,684.35,712.0
Albania,Albania,,,,,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201,0.403,0.604,0.806,1.007,1.007,1.007,1.209,1.41,1.612,1.813,2.015,2.418,3.022,3.627,4.433,5.642,6.851,7.858,9.067,10.881,12.291,13.5,14.91,16.724,17.731,18.94,20.149,21.157,21.761,22.366,22.769,22.97,23.172,23.373,23.776,24.381,24.985,25.59,25.993,26.194,26.194,26.396,26.597,26.799,27.0
Algeria,Algeria,,,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,0.431,0.646,0.862,1.077,1.077,1.508,2.37,4.74,7.111,10.558,13.575,16.591,18.315,20.039,20.685,22.194,23.702,27.365,33.398,40.724,48.481,58.824,69.598,78.647,96.962,127.344,160.958,199.096,244.776,293.904,338.722,386.988,440.21,500.973,576.173,670.549,785.181,927.392,1071.112,1201.257,1325.369,1429.227,1515.631,1605.052,1700.075,1786.695,1882.796,1971.355,2058.406,2144.379,2239.833,2348.431,2467.156,2587.605,2707.839,2824.84,2930.852,3032.771,3140.076,3256.0
Algeria,Algeria,,,,,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.618,1.235,2.059,2.883,3.5,4.53,5.765,7.206,9.471,12.148,14.207,16.266,18.325,20.384,22.237,24.708,27.178,30.061,33.973,40.562,52.298,67.534,87.094,109.331,133.009,155.04,175.63,197.249,218.662,239.664,260.254,282.49,301.227,317.699,332.729,347.348,358.466,368.555,378.438,387.498,395.322,403.558,411.794,419.0
Andorra,Andorra,,,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.406,0.61,0.813,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.219,8.941,16.662,27.228,42.264,59.739,74.775,93.876,116.43,139.391,167.025,198.317,233.876,268.419,305.4,336.286,361.279,385.662,406.997,426.504,451.903,479.334,503.108,528.507,552.281,572.6,588.043,606.94,623.602,639.045,653.675,668.305,680.09,691.875,702.847,711.788,720.729,726.215,730.075,733.733,738.0
Andorra,Andorra,,,,,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209,0.419,0.628,0.838,1.466,1.885,2.304,3.351,4.817,6.702,9.005,11.518,13.613,15.497,16.754,18.22,19.686,21.152,22.827,24.503,25.55,27.016,28.272,29.529,30.995,32.461,33.717,34.974,36.021,36.859,37.696,38.115,38.534,39.372,40.0
Angola,Angola,,,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202,0.605,1.008,1.613,2.218,2.621,3.024,3.427,3.831,4.637,5.444,6.048,6.855,7.46,7.661,8.266,9.677,11.29,13.105,15.323,17.137,18.145,18.75,19.153,19.153,19.153,19.153,19.153,19.153,20.161,21.169,22.177,23.185,24.395,24.597,24.798,25.0
Angola,Angola,,,,,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.2,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
