Country_Region,Country_Region_Safe,Province_State,Province_State_Safe,County_Name,County_Name_Safe,Case_Type,Source,Last_Update_Date,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20
Afghanistan,Afghanistan,,,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.355,0.532,0.71,0.887,1.065,1.242,1.242,1.242,1.242,1.242,1.242,1.242,1.775,2.307,3.017,4.082,5.147,6.212,7.987,10.117,13.134,16.151,18.814,21.476,24.493,26.801,31.06,34.433,43.662,54.666,67.446,82.71,97.974,112.173,135.246,152.995,180.151,211.921,242.271,275.817,316.462,351.427,395.621,432.361,469.811,512.409,557.846,603.638,656.529,708.178,768.524,831.71,900.043,967.134,1036.177,1100.25,1167.34,1236.916,1314.833,1393.815,1487.884,1582.84,1703.0
Afghanistan,Afghanistan,,,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181,0.362,0.543,0.905,1.629,2.352,3.076,3.619,4.162,4.705,5.067,5.429,5.79,6.333,6.876,8.143,9.952,11.762,13.39,15.019,17.01,19.0,20.81,22.438,24.429,27.143,29.857,32.029,34.743,37.457,39.81,42.524,44.695,47.048,50.124,53.2,57.0
Albania,Albania,,,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309,1.856,3.712,7.27,12.375,18.253,24.75,32.33,39.29,46.561,52.903,58.626,64.504,71.775,79.973,90.492,103.95,120.965,138.909,157.626,176.652,195.06,213.623,231.102,247.035,265.288,286.325,309.374,333.195,354.852,376.662,397.081,414.406,429.875,443.023,456.945,471.176,485.717,502.578,521.604,539.393,557.337,575.435,596.163,617.819,640.249,661.75,687.119,712.488,736.0
Albania,Albania,,,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.295,0.442,0.589,0.737,0.884,1.032,1.179,1.326,1.474,1.621,1.768,2.211,2.8,3.242,3.832,4.716,5.895,7.074,8.105,9.579,11.053,12.526,13.853,15.326,16.8,18.274,19.305,20.337,21.368,22.253,22.695,23.137,23.432,23.726,24.168,24.611,25.053,25.495,25.937,26.379,26.674,26.968,27.116,27.263,27.411,27.705,28.0
Algeria,Algeria,,,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.32,0.479,0.639,0.799,0.959,1.438,2.077,3.835,5.593,8.149,10.706,13.582,16.299,18.696,19.974,21.891,23.329,26.525,31.159,36.592,42.984,51.612,61.679,71.906,88.205,112.653,140.776,173.373,209.806,254.547,305.52,355.855,405.39,461.956,534.181,621.267,720.178,841.939,969.292,1098.563,1232.628,1352.791,1468.639,1577.297,1671.574,1763.294,1858.21,1947.693,2043.887,2137.844,2234.038,2339.021,2452.313,2566.563,2684.009,2802.415,2922.258,3040.343,3153.635,3269.004,3389.327,3517.0
Algeria,Algeria,,,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149,0.448,0.896,1.494,2.091,2.689,3.734,4.929,6.274,8.066,10.008,11.95,14.191,16.282,18.672,20.913,23.004,25.095,27.784,31.519,37.046,46.158,57.959,73.046,91.12,111.734,133.992,155.95,178.207,200.763,222.423,243.485,264.398,284.266,303.834,320.714,336.846,350.589,362.838,373.444,383.303,393.162,401.975,409.593,417.361,424.83,432.0
Andorra,Andorra,,,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.291,0.436,0.581,0.727,0.872,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.017,1.163,6.685,12.207,19.763,30.516,43.159,59.434,78.471,96.635,118.287,143.136,171.037,203.006,235.121,269.561,300.368,329.722,359.366,384.36,407.32,431.588,454.112,478.67,503.955,526.479,550.021,569.638,589.546,607.13,623.696,639.535,652.614,666.419,681.386,692.285,702.602,711.031,718.296,725.562,730.648,735.589,739.222,743.0
Andorra,Andorra,,,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.295,0.443,0.59,1.033,1.476,1.919,2.657,3.69,5.314,7.232,9.004,10.923,12.989,14.76,16.679,18.155,19.483,20.959,22.435,23.764,25.387,26.568,27.897,29.373,30.554,31.882,33.21,34.244,35.424,36.31,36.9,37.491,38.229,38.967,39.557,40.0
Angola,Angola,,,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.458,0.763,1.22,1.678,2.136,2.746,3.203,3.661,4.424,5.034,5.644,6.407,7.017,7.627,8.39,9.458,10.831,12.356,14.034,15.712,17.39,18.763,19.525,19.983,20.288,20.288,20.288,20.288,21.051,21.814,22.576,23.339,24.254,25.169,26.085,26.237,26.542,27.0
Angola,Angola,,,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.571,0.857,1.143,1.429,1.714,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
