Country_Region,Country_Region_Safe,Province_State,Province_State_Safe,County_Name,County_Name_Safe,Case_Type,Source,Last_Update_Date,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20
US,US,Florida,Florida,Out of FL,Out_of_FL,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,US,Florida,Florida,Out of FL,Out_of_FL,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,US,Florida,Florida,Palm Beach,Palm_Beach,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,2.395,4.107,5.133,7.871,12.662,20.875,30.799,43.461,58.176,74.259,89.659,105.401,132.777,164.603,224.147,280.27,358.636,447.268,527.345,634.799,739.857,872.292,962.293,1034.5,1096.782,1167.277,1232.639,1318.876,1399.295,1531.388,1639.526,1741.847,1799.338,1855.118,1974.207,2085.083,2188.772,2247.632,2309.915,2389.649,2490.259,2586.078,2658.284,2707.22,2763.0
US,US,Florida,Florida,Palm Beach,Palm_Beach,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004,2.009,3.013,3.013,3.013,3.682,4.352,5.691,8.704,11.717,18.412,23.433,30.464,37.828,44.524,49.88,56.575,64.609,72.979,76.661,79.339,84.695,89.047,97.082,103.777,111.142,114.155,117.167,119.511,125.202,128.549,135.914,143.948,151.983,155.665,156.0
US,US,Florida,Florida,Pasco,Pasco,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337,0.674,1.011,1.011,1.349,1.686,2.023,2.36,3.371,5.057,6.743,8.765,11.125,13.485,15.508,17.193,19.89,23.599,28.656,33.713,37.758,40.792,50.232,62.706,78.55,90.687,101.812,111.926,119.68,125.748,132.828,140.582,151.37,160.809,170.586,179.351,186.431,191.825,195.871,200.927,206.321,211.378,215.761,219.807,225.538,230.595,234.64,237.0
US,US,Florida,Florida,Pasco,Pasco,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.769,1.154,1.154,0.769,0.769,0.769,1.154,1.538,1.923,2.308,2.308,2.308,2.308,2.308,2.308,2.308,2.308,2.308,2.308,2.308,2.308,2.692,3.077,3.462,3.462,3.462,3.462,3.462,3.462,3.462,3.462,3.462,3.462,3.846,4.231,4.615,5.0
US,US,Florida,Florida,Pinellas,Pinellas,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677,1.354,2.031,2.031,2.031,2.031,2.708,5.416,10.155,16.248,22.68,30.127,36.559,41.975,46.037,53.823,64.655,79.549,96.136,112.723,137.434,156.728,206.489,257.603,315.826,344.938,359.832,372.695,384.543,401.807,418.055,434.981,449.198,466.462,483.387,503.02,520.284,544.318,569.368,590.355,604.572,619.805,635.376,651.963,665.842,679.044,689.537,698.0
US,US,Florida,Florida,Pinellas,Pinellas,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.685,1.027,1.027,2.055,3.425,4.795,5.137,5.479,6.164,6.849,7.534,7.877,8.219,8.562,9.247,9.932,10.959,11.986,13.014,13.699,14.041,14.384,15.068,15.753,16.438,16.438,17.123,18.151,20.548,22.603,24.315,24.658,25.0
US,US,Florida,Florida,Polk,Polk,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.705,2.115,4.935,8.108,10.576,11.986,13.043,14.101,15.511,20.094,27.144,34.899,45.122,58.871,71.914,88.835,107.518,130.784,149.82,167.446,186.835,204.108,216.799,230.899,243.59,258.396,270.029,283.072,294.353,306.338,319.381,331.367,339.122,345.82,358.511,370.849,386.36,399.403,413.151,424.079,441.0
US,US,Florida,Florida,Polk,Polk,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.667,1.333,1.667,2.667,3.333,4.0,4.333,4.667,5.333,6.333,7.333,8.0,8.333,9.0,9.667,10.333,11.0,11.667,12.0,12.667,13.667,14.667,15.667,16.667,17.667,18.0,18.0
