Country_Region,Country_Region_Safe,Province_State,Province_State_Safe,County_Name,County_Name_Safe,Case_Type,Source,Last_Update_Date,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20
Antigua and Barbuda,Antigua_and_Barbuda,,,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.222,0.333,0.444,0.556,0.667,0.778,0.889,1.0,1.0,1.222,1.444,1.667,2.333,3.0,3.667,4.333,5.0,5.667,6.111,6.778,8.111,9.0,9.889,10.778,12.111,13.444,14.778,16.111,17.444,18.111,19.0,19.889,20.778,21.222,21.667,22.111,22.556,22.778,23.0,23.111,23.222,23.333,23.444,23.556,23.667,23.778,23.889,24.0
Antigua and Barbuda,Antigua_and_Barbuda,,,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.333,0.556,0.778,1.0,1.222,1.444,1.667,1.889,2.111,2.222,2.333,2.444,2.556,2.667,2.778,2.889,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Argentina,Argentina,,,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.255,0.383,0.638,1.659,3.19,4.721,6.891,9.315,11.612,15.44,19.651,25.138,31.263,38.409,46.958,57.167,71.076,88.813,118.8,152.87,196.511,238.748,294.128,359.206,434.876,513.608,598.082,698.634,794.72,889.913,1001.95,1123.046,1233.041,1343.291,1455.966,1570.172,1664.727,1782.251,1889.693,2001.602,2098.199,2203.6,2317.041,2437.371,2559.106,2681.989,2792.239,2915.505,3028.945,3148.383,3296.149,3444.681,3598.954,3755.014,3913.882,4078.236,4249.737,4428.0
Argentina,Argentina,,,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.256,0.383,0.511,0.639,0.894,1.15,1.406,1.661,1.789,1.917,2.172,2.428,2.811,3.067,3.322,3.834,4.6,5.495,6.9,8.817,10.862,13.29,16.229,19.295,23.129,27.09,31.435,35.396,39.23,43.958,49.069,54.819,61.72,67.726,74.243,81.143,88.555,96.605,104.144,111.811,119.095,125.484,132.257,139.54,146.569,154.619,162.925,171.87,180.687,189.376,198.96,208.927,218.0
Armenia,Armenia,,,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.263,0.395,0.527,0.658,0.79,0.922,1.054,1.185,1.185,1.185,1.58,2.502,4.741,8.033,14.75,24.89,35.82,50.834,68.612,89.156,113.651,142.228,171.596,199.647,227.566,259.83,298.285,336.212,378.617,423.13,467.379,521.899,583.927,647.139,712.064,768.165,824.662,877.207,928.436,976.635,1016.67,1053.149,1088.574,1120.839,1157.45,1197.748,1239.89,1282.953,1329.573,1378.562,1429.659,1486.814,1546.866,1610.737,1678.954,1750.727,1824.475,1900.33,1978.424,2066.0
Armenia,Armenia,,,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.254,0.381,0.762,1.143,1.524,2.032,2.921,3.81,4.571,5.333,6.222,6.857,7.619,8.508,9.524,10.286,11.048,11.937,13.079,14.222,15.492,16.762,18.032,19.048,20.19,21.587,22.857,23.873,25.143,26.413,27.556,28.698,29.968,30.984,32.0
Australia,Australia,Australian Capital Territory,Australian_Capital_Territory,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.223,0.335,0.558,0.782,1.117,1.564,2.234,3.239,5.25,8.712,12.957,17.09,22.786,29.376,36.86,44.79,52.497,59.311,65.119,70.481,76.289,80.757,84.554,87.347,89.469,91.815,94.048,96.171,97.958,99.298,100.303,101.085,101.867,102.649,103.096,103.431,103.431,103.543,103.654,103.878,103.989,104.213,104.548,104.883,105.218,105.553,105.777,106.0
Australia,Australia,Australian Capital Territory,Australian_Capital_Territory,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.222,0.333,0.444,0.556,0.778,1.0,1.222,1.444,1.556,1.667,1.778,1.889,2.0,2.0,2.0,2.111,2.222,2.333,2.444,2.556,2.667,2.778,2.889,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Australia,Australia,New South Wales,New_South_Wales,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.336,0.785,1.233,1.681,2.13,2.578,3.027,3.475,3.923,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.035,4.26,4.484,5.493,7.51,9.528,11.994,14.684,18.496,23.428,28.921,35.534,41.363,49.21,59.298,71.405,87.434,106.715,131.263,159.511,191.795,233.382,298.061,360.498,437.171,533.349,646.453,774.017,920.862,1082.055,1260.958,1413.744,1583.344,1749.245,1901.694,2044.504,2176.215,2290.553,2390.878,2469.568,2552.631,2624.372,2687.033,2739.494,2780.969,2813.476,2841.388,2865.04,2886.562,2904.834,2919.967,2931.849,2944.404,2956.51,2968.392,2979.153,2990.026,2998.546,3006.168,3012.782,3018.723,3025.0
Australia,Australia,New South Wales,New_South_Wales,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.264,0.395,0.527,0.791,1.055,1.318,1.582,1.846,1.977,2.109,2.241,2.373,2.637,3.032,3.428,3.955,4.482,5.01,5.537,6.196,6.855,7.251,7.514,7.91,8.174,8.437,8.701,9.096,9.492,10.151,10.81,11.997,13.315,15.029,16.743,18.457,20.17,21.884,23.466,25.18,26.367,27.289,27.817,28.476,29.135,29.662,30.058,30.322,30.453,31.244,32.299,33.354,34.408,35.463,37.177,39.023,41.0
