TAB:  US_District_of_Columbia Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_District_of_Columbia Deaths    1/23/2020     1        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .             2        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    1/25/2020     3        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .             4        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    1/27/2020     5        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .             6        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    1/29/2020     7        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .             8        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    1/31/2020     9        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            10        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    2/2/2020     11        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            12        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    2/4/2020     13        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            14        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    2/6/2020     15        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            16        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    2/8/2020     17        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            18        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    2/10/2020    19        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            20        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    2/12/2020    21        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            22        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    2/14/2020    23        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            24        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    2/16/2020    25        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            26        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    2/18/2020    27        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            28        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    2/20/2020    29        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            30        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    2/22/2020    31        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            32        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    2/24/2020    33        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            34        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    2/26/2020    35        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            36        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    2/28/2020    37        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            38        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    3/1/2020     39        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            40        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    3/3/2020     41        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            42        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    3/5/2020     43        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            44        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    3/7/2020     45        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            46        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    3/9/2020     47        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            48        0      495        0        0        0        0        0
