TAB:  US_New_Jersey_Union Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_Jersey_Union Deaths    1/23/2020     1        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .             2        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    1/25/2020     3        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .             4        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    1/27/2020     5        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .             6        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    1/29/2020     7        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .             8        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    1/31/2020     9        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            10        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    2/2/2020     11        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            12        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    2/4/2020     13        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            14        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    2/6/2020     15        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            16        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    2/8/2020     17        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            18        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    2/10/2020    19        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            20        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    2/12/2020    21        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            22        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    2/14/2020    23        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            24        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    2/16/2020    25        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            26        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    2/18/2020    27        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            28        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    2/20/2020    29        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            30        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    2/22/2020    31        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            32        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    2/24/2020    33        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            34        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    2/26/2020    35        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            36        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    2/28/2020    37        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            38        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    3/1/2020     39        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            40        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    3/3/2020     41        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            42        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    3/5/2020     43        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            44        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    3/7/2020     45        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            46        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    3/9/2020     47        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            48        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    3/11/2020    49        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            50        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    3/13/2020    51        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            52        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    3/15/2020    53        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            54        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    3/17/2020    55        0     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            56        0     1100        0        0     8733     8733     8733
TAB:  US_New_Jersey_Union Deaths    3/19/2020    57        0     1100        0        0      301     2710     2710
TAB:  US_New_Jersey_Union Deaths    .            58        0     1100        0        0      301     5119     5119
TAB:  US_New_Jersey_Union Deaths    3/21/2020    59        0     1100        0        0      301     3914      903
TAB:  US_New_Jersey_Union Deaths    .            60        0     1100        0        0     1505    14153     5721
TAB:  US_New_Jersey_Union Deaths    3/23/2020    61        0     1100        0        0     3312    37642    21983
TAB:  US_New_Jersey_Union Deaths    .            62        0     1100        0        0     2107    28006     6926
TAB:  US_New_Jersey_Union Deaths    3/25/2020    63        0     1100        0        0      301    42460     4517
TAB:  US_New_Jersey_Union Deaths    .            64        0     1100        0        0     4517    84620    14153
TAB:  US_New_Jersey_Union Deaths    3/27/2020    65        0     1100        0        0     3312    29812    11142
TAB:  US_New_Jersey_Union Deaths    .            66        0     1100        0        0     7528    52097    24994
TAB:  US_New_Jersey_Union Deaths    3/29/2020    67        7     1100        0        0     8733   115938    23790
TAB:  US_New_Jersey_Union Deaths    .            68        7     1100        0        0     8733   108711    24994
TAB:  US_New_Jersey_Union Deaths    3/31/2020    69        0     1100        0        0     6323    86427    24994
TAB:  US_New_Jersey_Union Deaths    .            70       29     1100        0        0     3431    64797    21599
TAB:  US_New_Jersey_Union Deaths    4/2/2020     71       34     1100        0        0     5760    40590    21300
TAB:  US_New_Jersey_Union Deaths    .            72       45     1100        0        0    11739    51988    24783
TAB:  US_New_Jersey_Union Deaths    4/4/2020     73       66     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    .            74       71     1100        0        0        0        0        0
TAB:  US_New_Jersey_Union Deaths    4/6/2020     75       78     1100       94        1       94       94       94
TAB:  US_New_Jersey_Union Deaths    .            76       95     1100      154        1      154      154      154
TAB:  US_New_Jersey_Union Deaths    4/8/2020     77      125     1100      283        1      283      283      283
TAB:  US_New_Jersey_Union Deaths    .            78      145     1100      345        1      345     2824     2824
TAB:  US_New_Jersey_Union Deaths    4/10/2020    79      161     1100      386        1      386     2702     1239
TAB:  US_New_Jersey_Union Deaths    .            80      195     1100      467        1      467     5953     2214
TAB:  US_New_Jersey_Union Deaths    4/12/2020    81      209     1100      467        2      386     1605     1036
TAB:  US_New_Jersey_Union Deaths    .            82      217     1100      661        2      251      661      442
TAB:  US_New_Jersey_Union Deaths    4/14/2020    83      238     1100      311        1      311      504      428
TAB:  US_New_Jersey_Union Deaths    .            84      269     1100      561        2      456      573      551
TAB:  US_New_Jersey_Union Deaths    4/16/2020    85      301     1100      548        2      548     1280      711
TAB:  US_New_Jersey_Union Deaths    .            86      330     1100      589        2      589     6806      833
TAB:  US_New_Jersey_Union Deaths    4/18/2020    87      356     1100      833        2      629     5668      873
TAB:  US_New_Jersey_Union Deaths    .            88      372     1100      670        2      467     2011      833
TAB:  US_New_Jersey_Union Deaths    4/20/2020    89      387     1100      655        2      435     1067      734
TAB:  US_New_Jersey_Union Deaths    .            90      387     1100      622        2      409      716      626
TAB:  US_New_Jersey_Union Deaths    4/22/2020    91      481     1100      794        1      794     1134     1003
TAB:  US_New_Jersey_Union Deaths    .            92      515     1100      914        2      914     6725     1361
TAB:  US_New_Jersey_Union Deaths    4/24/2020    93      542     1100      711        1      711     7009     1401
TAB:  US_New_Jersey_Union Deaths    .            94      563     1100      589        1      589     4896     1320
TAB:  US_New_Jersey_Union Deaths    4/26/2020    95      571     1100      585        2      585     3465     1250
TAB:  US_New_Jersey_Union Deaths    .            96      583     1100      599        2      599     1944     1181
TAB:  US_New_Jersey_Union Deaths    4/28/2020    97      627     1100      769        1      769     1657     1218
TAB:  US_New_Jersey_Union Deaths    .            98      653     1100     1217        2      828     1472     1165
TAB:  US_New_Jersey_Union Deaths    4/30/2020    99      690     1100     1198        4      954     1483     1239
TAB:  US_New_Jersey_Union Deaths    .           100      714     1100     1239        5      954     1848     1239
TAB:  US_New_Jersey_Union Deaths    5/2/2020    101      731     1100     1198        5      833     1401     1198
TAB:  US_New_Jersey_Union Deaths    .           102      734     1100     1202        3      751     1254     1086
TAB:  US_New_Jersey_Union Deaths    5/4/2020    103      737     1100     1145        4      742     1181     1037
TAB:  US_New_Jersey_Union Deaths    .           104      768     1100     1112        3      855     1135     1026
TAB:  US_New_Jersey_Union Deaths    5/6/2020    105      800     1100     1123        5      963     1135     1043
TAB:  US_New_Jersey_Union Deaths    .           106      829     1100     1158        7     1036     1198     1117
TAB:  US_New_Jersey_Union Deaths    5/8/2020    107      844     1100     1158        8     1076     3027     1198
TAB:  US_New_Jersey_Union Deaths    .           108      852     1100     1117        8      873     3840     1117
TAB:  US_New_Jersey_Union Deaths    5/10/2020   109      867     1100     1117       11      914     1605     1117
TAB:  US_New_Jersey_Union Deaths    .           110      875     1100     1092        4      899     1217     1092
TAB:  US_New_Jersey_Union Deaths    5/12/2020   111      899     1100     1117       17      995     1361     1117
TAB:  US_New_Jersey_Union Deaths    .           112      908     1100     1117       18      995     1198     1117
TAB:  US_New_Jersey_Union Deaths    5/14/2020   113      930     1100     1117       21     1076     1280     1198
TAB:  US_New_Jersey_Union Deaths    .           114      939     1100     1117       20     1076     1401     1198
TAB:  US_New_Jersey_Union Deaths    5/16/2020   115      946     1100     1117       25      954     4815     1117
TAB:  US_New_Jersey_Union Deaths    .           116      957     1100     1131        9      995     1199     1109
TAB:  US_New_Jersey_Union Deaths    5/18/2020   117      962     1100     1123       11      992     1135     1066
TAB:  US_New_Jersey_Union Deaths    .           118      977     1100     1117       32     1036     1158     1117
TAB:  US_New_Jersey_Union Deaths    5/20/2020   119      994     1100     1119       12     1112     1241     1157
TAB:  US_New_Jersey_Union Deaths    .           120     1005     1100     1117       19     1117     2661     1280
TAB:  US_New_Jersey_Union Deaths    5/22/2020   121     1018     1100     1158       23     1117     1483     1361
TAB:  US_New_Jersey_Union Deaths    .           122     1022     1100     1158       24     1036     2742     1320
TAB:  US_New_Jersey_Union Deaths    5/24/2020   123     1023     1100     1158       28     1036     1361     1198
TAB:  US_New_Jersey_Union Deaths    .           124     1024     1100     1145       16     1025     1193     1145
TAB:  US_New_Jersey_Union Deaths    5/26/2020   125     1030     1100     1135       21     1037     1141     1124
TAB:  US_New_Jersey_Union Deaths    .           126     1042     1100     1135       26     1112     1135     1123
TAB:  US_New_Jersey_Union Deaths    5/28/2020   127     1047     1100     1117       34     1076     1158     1117
TAB:  US_New_Jersey_Union Deaths    .           128     1060     1100     1158       31     1117     1158     1158
TAB:  US_New_Jersey_Union Deaths    5/30/2020   129     1067     1100     1158       37     1117     1198     1158
TAB:  US_New_Jersey_Union Deaths    .           130     1073     1100     1158       34     1117     1280     1198
TAB:  US_New_Jersey_Union Deaths    6/1/2020    131     1074     1100     1158       38     1076     1280     1158
TAB:  US_New_Jersey_Union Deaths    .           132     1078     1100     1158       44     1076     1808     1198
TAB:  US_New_Jersey_Union Deaths    6/3/2020    133     1086     1100     1158       42     1117     2011     1198
TAB:  US_New_Jersey_Union Deaths    .           134     1088     1100     1158       46     1117     1361     1198
TAB:  US_New_Jersey_Union Deaths    6/5/2020    135     1092     1100     1158       48     1117     1239     1198
TAB:  US_New_Jersey_Union Deaths    .           136     1095     1100     1158       34     1111     1170     1146
TAB:  US_New_Jersey_Union Deaths    6/7/2020    137     1098     1100     1153       37     1112     1153     1135
TAB:  US_New_Jersey_Union Deaths    .           138     1100     1100     1141       21     1112     1141     1135
TAB:  US_New_Jersey_Union Deaths    6/9/2020    139     1100     1100     1141       35     1112     1141     1135
