TAB:  US_New_Jersey_Bergen Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_Jersey_Bergen Deaths    1/23/2020     1        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .             2        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    1/25/2020     3        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .             4        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    1/27/2020     5        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .             6        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    1/29/2020     7        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .             8        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    1/31/2020     9        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            10        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    2/2/2020     11        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            12        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    2/4/2020     13        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            14        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    2/6/2020     15        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            16        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    2/8/2020     17        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            18        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    2/10/2020    19        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            20        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    2/12/2020    21        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            22        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    2/14/2020    23        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            24        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    2/16/2020    25        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            26        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    2/18/2020    27        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            28        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    2/20/2020    29        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            30        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    2/22/2020    31        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            32        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    2/24/2020    33        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            34        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    2/26/2020    35        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            36        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    2/28/2020    37        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            38        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    3/1/2020     39        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            40        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    3/3/2020     41        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            42        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    3/5/2020     43        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            44        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    3/7/2020     45        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            46        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    3/9/2020     47        0     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            48        1     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    3/11/2020    49        1     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            50        1     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    3/13/2020    51        1     1628        0        0      343      343      343
TAB:  US_New_Jersey_Bergen Deaths    .            52        1     1628        0        0      343    47689    47689
TAB:  US_New_Jersey_Bergen Deaths    3/15/2020    53        1     1628        0        0      343    54551    16811
TAB:  US_New_Jersey_Bergen Deaths    .            54        1     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    3/17/2020    55        2     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            56        2     1628        0        0    65530    65530    65530
TAB:  US_New_Jersey_Bergen Deaths    3/19/2020    57        2     1628        0        0    20242    20242    20242
TAB:  US_New_Jersey_Bergen Deaths    .            58        2     1628        0        0     1029     5146     5146
TAB:  US_New_Jersey_Bergen Deaths    3/21/2020    59        6     1628        0        0        0        0        0
