TAB:  Italy_Lazio Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_Lazio Deaths    1/23/2020     1        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .             2        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    1/25/2020     3        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .             4        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    1/27/2020     5        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .             6        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    1/29/2020     7        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .             8        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    1/31/2020     9        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            10        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    2/2/2020     11        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            12        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    2/4/2020     13        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            14        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    2/6/2020     15        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            16        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    2/8/2020     17        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            18        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    2/10/2020    19        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            20        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    2/12/2020    21        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            22        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    2/14/2020    23        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            24        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    2/16/2020    25        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            26        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    2/18/2020    27        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            28        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    2/20/2020    29        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            30        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    2/22/2020    31        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            32        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    2/24/2020    33        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            34        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    2/26/2020    35        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            36        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    2/28/2020    37        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            38        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    3/1/2020     39        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            40        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    3/3/2020     41        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            42        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    3/5/2020     43        0      766        0        0        0        0        0
TAB:  Italy_Lazio Deaths    .            44        1      766        0        0      145      145      145
TAB:  Italy_Lazio Deaths    3/7/2020     45        1      766        0        0      145     2175     2175
TAB:  Italy_Lazio Deaths    .            46        3      766        0        0      145     3335      435
TAB:  Italy_Lazio Deaths    3/9/2020     47        5      766        0        0      145     7106      435
TAB:  Italy_Lazio Deaths    .            48        6      766        0        0      145    10006      725
