TAB:  South_Africa Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  South_Africa Deaths    1/23/2020     1        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .             2        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    1/25/2020     3        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .             4        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    1/27/2020     5        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .             6        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    1/29/2020     7        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .             8        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    1/31/2020     9        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            10        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    2/2/2020     11        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            12        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    2/4/2020     13        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            14        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    2/6/2020     15        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            16        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    2/8/2020     17        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            18        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    2/10/2020    19        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            20        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    2/12/2020    21        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            22        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    2/14/2020    23        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            24        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    2/16/2020    25        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            26        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    2/18/2020    27        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            28        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    2/20/2020    29        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            30        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    2/22/2020    31        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            32        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    2/24/2020    33        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            34        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    2/26/2020    35        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            36        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    2/28/2020    37        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            38        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    3/1/2020     39        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            40        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    3/3/2020     41        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            42        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    3/5/2020     43        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            44        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    3/7/2020     45        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            46        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    3/9/2020     47        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            48        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    3/11/2020    49        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            50        0     1162        0        0      978      978      978
TAB:  South_Africa Deaths    3/13/2020    51        0     1162        0        0      978      978      978
TAB:  South_Africa Deaths    .            52        0     1162        0        0      978     2936     2936
TAB:  South_Africa Deaths    3/15/2020    53        0     1162        0        0      516     2580     2580
TAB:  South_Africa Deaths    .            54        0     1162        0        0      970     1802     1802
TAB:  South_Africa Deaths    3/17/2020    55        0     1162        0        0        0        0        0
TAB:  South_Africa Deaths    .            56        0     1162        0        0      978     8809     4894
TAB:  South_Africa Deaths    3/19/2020    57        0     1162        0        0      978    40134     6852
TAB:  South_Africa Deaths    .            58        0     1162        0        0     2936   188924     6852
TAB:  South_Africa Deaths    3/21/2020    59        0     1162        0        0      978    75373     6852
TAB:  South_Africa Deaths    .            60        0     1162        0        0     1091    96388     7638
TAB:  South_Africa Deaths    3/23/2020    61        0     1162        0        0      978   337714    10767
TAB:  South_Africa Deaths    .            62        0     1162        0        0    14683   108655    30345
TAB:  South_Africa Deaths    3/25/2020    63        0     1162        0        0    28387    71458    55796
TAB:  South_Africa Deaths    .            64        0     1162        0        0    53838   333798   149769
TAB:  South_Africa Deaths    3/27/2020    65        1     1162        0        0     6852   318136   165431
