TAB:  US_Massachusetts_Norfolk Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Massachusetts_Norfolk Deaths    1/23/2020     1        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .             2        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    1/25/2020     3        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .             4        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    1/27/2020     5        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .             6        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    1/29/2020     7        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .             8        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    1/31/2020     9        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            10        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    2/2/2020     11        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            12        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    2/4/2020     13        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            14        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    2/6/2020     15        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            16        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    2/8/2020     17        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            18        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    2/10/2020    19        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            20        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    2/12/2020    21        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            22        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    2/14/2020    23        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            24        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    2/16/2020    25        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            26        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    2/18/2020    27        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            28        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    2/20/2020    29        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            30        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    2/22/2020    31        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            32        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    2/24/2020    33        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            34        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    2/26/2020    35        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            36        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    2/28/2020    37        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            38        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    3/1/2020     39        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            40        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    3/3/2020     41        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            42        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    3/5/2020     43        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            44        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    3/7/2020     45        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            46        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    3/9/2020     47        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            48        0      870        0        0      485      485      485
TAB:  US_Massachusetts_Norfolk Deaths    3/11/2020    49        0      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            50        0      870        0        0      161      161      161
TAB:  US_Massachusetts_Norfolk Deaths    3/13/2020    51        0      870        0        0      161     1778      485
TAB:  US_Massachusetts_Norfolk Deaths    .            52        0      870        0        0      161      808      808
TAB:  US_Massachusetts_Norfolk Deaths    3/15/2020    53        0      870        0        0      159      159      159
TAB:  US_Massachusetts_Norfolk Deaths    .            54        0      870        0        0      161      161      161
TAB:  US_Massachusetts_Norfolk Deaths    3/17/2020    55        0      870        0        0      161      161      161
