TAB:  US_Pennsylvania_Philadelphia Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Pennsylvania_Philadelphia Deaths    1/23/2020     1        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .             2        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    1/25/2020     3        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .             4        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    1/27/2020     5        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .             6        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    1/29/2020     7        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .             8        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    1/31/2020     9        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            10        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    2/2/2020     11        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            12        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    2/4/2020     13        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            14        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    2/6/2020     15        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            16        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    2/8/2020     17        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            18        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    2/10/2020    19        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            20        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    2/12/2020    21        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            22        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    2/14/2020    23        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            24        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    2/16/2020    25        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            26        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    2/18/2020    27        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            28        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    2/20/2020    29        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            30        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    2/22/2020    31        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            32        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    2/24/2020    33        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            34        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    2/26/2020    35        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            36        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    2/28/2020    37        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            38        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    3/1/2020     39        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            40        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    3/3/2020     41        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            42        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    3/5/2020     43        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            44        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    3/7/2020     45        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            46        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    3/9/2020     47        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            48        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    3/11/2020    49        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            50        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    3/13/2020    51        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            52        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    3/15/2020    53        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            54        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    3/17/2020    55        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            56        0     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    3/19/2020    57        0     1436        0        0      440      440      440
TAB:  US_Pennsylvania_Philadelphia Deaths    .            58        0     1436        0        0      440    52366    52366
TAB:  US_Pennsylvania_Philadelphia Deaths    3/21/2020    59        0     1436        0        0      440     3960     2200
TAB:  US_Pennsylvania_Philadelphia Deaths    .            60        0     1436        0        0      440     4840     4840
TAB:  US_Pennsylvania_Philadelphia Deaths    3/23/2020    61        0     1436        0        0     1320    20682     4840
TAB:  US_Pennsylvania_Philadelphia Deaths    .            62        0     1436        0        0     3960    61167    23322
TAB:  US_Pennsylvania_Philadelphia Deaths    3/25/2020    63        1     1436        0        0     8361    95491    29483
TAB:  US_Pennsylvania_Philadelphia Deaths    .            64        1     1436        0        0    17162   156219    55006
TAB:  US_Pennsylvania_Philadelphia Deaths    3/27/2020    65        2     1436        0        0     3080   156219    55006
TAB:  US_Pennsylvania_Philadelphia Deaths    .            66        5     1436        0        0     3960   145658    37404
TAB:  US_Pennsylvania_Philadelphia Deaths    3/29/2020    67        8     1436        0        0     1320   119254    33884
TAB:  US_Pennsylvania_Philadelphia Deaths    .            68        8     1436        0        0     1730    80654    21807
TAB:  US_Pennsylvania_Philadelphia Deaths    3/31/2020    69       10     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            70       10     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    4/2/2020     71       13     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            72       14     1436       26        4       26       26       26
TAB:  US_Pennsylvania_Philadelphia Deaths    4/4/2020     73       24     1436       79        2       79      132      132
TAB:  US_Pennsylvania_Philadelphia Deaths    .            74       28     1436       79        2       79      185      185
TAB:  US_Pennsylvania_Philadelphia Deaths    4/6/2020     75       45     1436      503        1      503     5490      557
TAB:  US_Pennsylvania_Philadelphia Deaths    .            76       65     1436     3686        1     3686     4323     4323
TAB:  US_Pennsylvania_Philadelphia Deaths    4/8/2020     77       87     1436        0        0        0        0        0
TAB:  US_Pennsylvania_Philadelphia Deaths    .            78       87     1436      238        1      238      397      397
TAB:  US_Pennsylvania_Philadelphia Deaths    4/10/2020    79      110     1436      132        1      132    10424      503
TAB:  US_Pennsylvania_Philadelphia Deaths    .            80      137     1436      344        2      291     9999      557
TAB:  US_Pennsylvania_Philadelphia Deaths    4/12/2020    81      176     1436      663        1      663     4164     1140
TAB:  US_Pennsylvania_Philadelphia Deaths    .            82      190     1436      557        1      557     9893     1352
TAB:  US_Pennsylvania_Philadelphia Deaths    4/14/2020    83      206     1436      503        2      238     6604      875
TAB:  US_Pennsylvania_Philadelphia Deaths    .            84      222     1436      397        4      238     9522      928
TAB:  US_Pennsylvania_Philadelphia Deaths    4/16/2020    85      264     1436      592        3      489     4813     1364
TAB:  US_Pennsylvania_Philadelphia Deaths    .            86      298     1436      608        2      608     3256      928
TAB:  US_Pennsylvania_Philadelphia Deaths    4/18/2020    87      342     1436      822        3      769     3209     1564
TAB:  US_Pennsylvania_Philadelphia Deaths    .            88      365     1436      822        2      822     2413     1405
TAB:  US_Pennsylvania_Philadelphia Deaths    4/20/2020    89      370     1436      775        3      398     1599      907
TAB:  US_Pennsylvania_Philadelphia Deaths    .            90      394     1436      432        1      432     1438      787
TAB:  US_Pennsylvania_Philadelphia Deaths    4/22/2020    91      394     1436      639        2      429     1163      682
TAB:  US_Pennsylvania_Philadelphia Deaths    .            92      443     1436      668        2      668     1052      759
TAB:  US_Pennsylvania_Philadelphia Deaths    4/24/2020    93      449     1436      663        8      557     1034      822
TAB:  US_Pennsylvania_Philadelphia Deaths    .            94      449     1436      610        7      450      928      716
TAB:  US_Pennsylvania_Philadelphia Deaths    4/26/2020    95      472     1436      605        4      532      844      656
TAB:  US_Pennsylvania_Philadelphia Deaths    .            96      484     1436      600        4      510      758      600
TAB:  US_Pennsylvania_Philadelphia Deaths    4/28/2020    97      516     1436      610        7      610     1830      769
TAB:  US_Pennsylvania_Philadelphia Deaths    .            98      541     1436      663       10      663     3527     1246
TAB:  US_Pennsylvania_Philadelphia Deaths    4/30/2020    99      541     1436      663       13      663     2519     1140
