TAB:  US Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US Confirmed 1/23/2020     1        1  1979489        0        0        0        0        0
TAB:  US Confirmed .             2        2  1979489        0        0        0        0        0
TAB:  US Confirmed 1/25/2020     3        2  1979489        0        0        0        0        0
TAB:  US Confirmed .             4        5  1979489        0        0        0        0        0
TAB:  US Confirmed 1/27/2020     5        5  1979489        0        0        0        0        0
TAB:  US Confirmed .             6        5  1979489        0        0        0        0        0
TAB:  US Confirmed 1/29/2020     7        5  1979489        0        0        0        0        0
TAB:  US Confirmed .             8        5  1979489        0        0        0        0        0
TAB:  US Confirmed 1/31/2020     9        7  1979489        0        0        0        0        0
TAB:  US Confirmed .            10        8  1979489        0        0        0        0        0
TAB:  US Confirmed 2/2/2020     11        8  1979489        0        0        0        0        0
TAB:  US Confirmed .            12       11  1979489        0        0        0        0        0
TAB:  US Confirmed 2/4/2020     13       11  1979489        0        0        0        0        0
TAB:  US Confirmed .            14       11  1979489        0        0        0        0        0
TAB:  US Confirmed 2/6/2020     15       11  1979489        0        0        0        0        0
TAB:  US Confirmed .            16       11  1979489        0        0        0        0        0
TAB:  US Confirmed 2/8/2020     17       11  1979489        0        0        0        0        0
TAB:  US Confirmed .            18       11  1979489        0        0        0        0        0
TAB:  US Confirmed 2/10/2020    19       11  1979489        0        0        0        0        0
TAB:  US Confirmed .            20       12  1979489        0        0        0        0        0
TAB:  US Confirmed 2/12/2020    21       12  1979489        0        0        0        0        0
TAB:  US Confirmed .            22       13  1979489        0        0        0        0        0
TAB:  US Confirmed 2/14/2020    23       13  1979489        0        0        0        0        0
TAB:  US Confirmed .            24       13  1979489        0        0        0        0        0
TAB:  US Confirmed 2/16/2020    25       13  1979489        0        0        0        0        0
TAB:  US Confirmed .            26       13  1979489        0        0        0        0        0
TAB:  US Confirmed 2/18/2020    27       13  1979489        0        0        0        0        0
TAB:  US Confirmed .            28       13  1979489        0        0        0        0        0
TAB:  US Confirmed 2/20/2020    29       13  1979489        0        0        0        0        0
TAB:  US Confirmed .            30       15  1979489        0        0        0        0        0
TAB:  US Confirmed 2/22/2020    31       15  1979489        0        0        0        0        0
TAB:  US Confirmed .            32       15  1979489        0        0        0        0        0
TAB:  US Confirmed 2/24/2020    33       15  1979489    -            1        0        0        0
TAB:  US Confirmed .            34       15  1979489    -            2        0        0        0
TAB:  US Confirmed 2/26/2020    35       15  1979489    -            1        0        0        0
TAB:  US Confirmed .            36       16  1979489        0        0        0        0        0
TAB:  US Confirmed 2/28/2020    37       16  1979489        0        0        0        0        0
TAB:  US Confirmed .            38       24  1979489        0        0        0        0        0
TAB:  US Confirmed 3/1/2020     39       30  1979489    36231        6    36231    36231    36231
TAB:  US Confirmed .            40       53  1979489    36230        1    36230    36230    36230
TAB:  US Confirmed 3/3/2020     41       73  1979489        0        0        0        0        0
TAB:  US Confirmed .            42      104  1979489        0        0        0        0        0
TAB:  US Confirmed 3/5/2020     43      174  1979489        0        0        0        0        0
TAB:  US Confirmed .            44      222  1979489        0        0        0        0        0
TAB:  US Confirmed 3/7/2020     45      337  1979489        0        0        0        0        0
TAB:  US Confirmed .            46      451  1979489    36388        1    36388    36388    36388
TAB:  US Confirmed 3/9/2020     47      520  1979489    35772        4    35772    69160    69160
TAB:  US Confirmed .            48      712  1979489    36296        6    36296    36296    36296
TAB:  US Confirmed 3/11/2020    49     1111  1979489   248744        1   248744  3405221   917780
TAB:  US Confirmed .            50     1566  1979489  5740922        1  5740922  5740922  5740922
TAB:  US Confirmed 3/13/2020    51     2158  1979489        0        0        0        0        0
TAB:  US Confirmed .            52     2875  1979489        0        0        0        0        0
TAB:  US Confirmed 3/15/2020    53     3124  1979489    36214        2    36214    36214    36214
TAB:  US Confirmed .            54     4366  1979489    36108        2    36108    38025    38025
TAB:  US Confirmed 3/17/2020    55     6122  1979489   245163        1   245163   245163   245163
TAB:  US Confirmed .            56     8992  1979489        0        0        0        0        0
TAB:  US Confirmed 3/19/2020    57    16575  1979489        0        0        0        0        0
TAB:  US Confirmed .            58    24474  1979489        0        0        0        0        0
TAB:  US Confirmed 3/21/2020    59    33459  1979489        0        0        0        0        0
TAB:  US Confirmed .            60    45639  1979489   253569        1   253569   253569   253569
TAB:  US Confirmed 3/23/2020    61    66032  1979489   595091        1   595091   595091   595091
TAB:  US Confirmed .            62    88151  1979489  1108031        1  1108031  1108031  1108031
TAB:  US Confirmed 3/25/2020    63   114920  1979489  4643930        1  1492236  1492236  1492236
TAB:  US Confirmed .            64   161454  1979489  5740922        1  5740922 12103473  5960320
TAB:  US Confirmed 3/27/2020    65   205965  1979489    -            1  7834568  8607485  8607485
TAB:  US Confirmed .            66   251511  1979489  4723181        1        0        0        0
TAB:  US Confirmed 3/29/2020    67   298490  1979489    -            1   797760  4280942  1764063
TAB:  US Confirmed .            68   336624  1979489  2224281        1   544336  1035306   836071
TAB:  US Confirmed 3/31/2020    69   378743  1979489   591839        1   591839  2461709  1037863
TAB:  US Confirmed .            70   446598  1979489   908487        2   908487  2725461  1378762
TAB:  US Confirmed 4/2/2020     71   484123  1979489   905581        2   905581  2946005  1432881
TAB:  US Confirmed .            72   524648  1979489   883650        2   883650  2236019  1114167
TAB:  US Confirmed 4/4/2020     73   511554  1979489   517799        2   517799  2106664  1000133
