TAB:  US_Utah_Salt_Lake Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Utah_Salt_Lake Deaths    3/13/2020    51        0       85        0        0        0        0        0
TAB:  US_Utah_Salt_Lake Deaths    .            52        0       85        0        0        0        0        0
TAB:  US_Utah_Salt_Lake Deaths    3/15/2020    53        0       85        0        0        0        0        0
TAB:  US_Utah_Salt_Lake Deaths    .            54        0       85        0        0        0        0        0
TAB:  US_Utah_Salt_Lake Deaths    3/17/2020    55        0       85        0        0        0        0        0
TAB:  US_Utah_Salt_Lake Deaths    .            56        0       85        0        0        0        0        0
TAB:  US_Utah_Salt_Lake Deaths    3/19/2020    57        0       85        0        0        0        0        0
TAB:  US_Utah_Salt_Lake Deaths    .            58        0       85        0        0      118      118      118
TAB:  US_Utah_Salt_Lake Deaths    3/21/2020    59        0       85        0        0      118      118      118
TAB:  US_Utah_Salt_Lake Deaths    .            60        0       85        0        0      118      118      118
TAB:  US_Utah_Salt_Lake Deaths    3/23/2020    61        0       85        0        0      355      355      355
TAB:  US_Utah_Salt_Lake Deaths    .            62        0       85        0        0      355     1541     1541
TAB:  US_Utah_Salt_Lake Deaths    3/25/2020    63        0       85        0        0      355     6523      593
TAB:  US_Utah_Salt_Lake Deaths    .            64        0       85        0        0      355    25738     1304
TAB:  US_Utah_Salt_Lake Deaths    3/27/2020    65        0       85        0        0      593     5812     1541
TAB:  US_Utah_Salt_Lake Deaths    .            66        0       85        0        0      593     9607     1779
TAB:  US_Utah_Salt_Lake Deaths    3/29/2020    67        0       85        0        0      830     8184     3439
TAB:  US_Utah_Salt_Lake Deaths    .            68        2       85        0        0      830    21231     2728
TAB:  US_Utah_Salt_Lake Deaths    3/31/2020    69        2       85        0        0      539     4190     1617
TAB:  US_Utah_Salt_Lake Deaths    .            70        2       85        0        0      605     2413     1360
TAB:  US_Utah_Salt_Lake Deaths    4/2/2020     71        4       85        0        0      679     1889     1069
TAB:  US_Utah_Salt_Lake Deaths    .            72        4       85        0        0     1067     4151     1779
TAB:  US_Utah_Salt_Lake Deaths    4/4/2020     73        4       85        0        0     1304     3202     2490
TAB:  US_Utah_Salt_Lake Deaths    .            74        4       85        0        0     1779     9133     3676
TAB:  US_Utah_Salt_Lake Deaths    4/6/2020     75        7       85        0        0     1779    44716     3676
TAB:  US_Utah_Salt_Lake Deaths    .            76        7       85       20        1       20       73       73
TAB:  US_Utah_Salt_Lake Deaths    4/8/2020     77        7       85       11        1       11       22       22
TAB:  US_Utah_Salt_Lake Deaths    .            78        7       85       10        1       10       24       13
TAB:  US_Utah_Salt_Lake Deaths    4/10/2020    79        7       85        9        1        9       15       11
TAB:  US_Utah_Salt_Lake Deaths    .            80        7       85        9        1        9       13       11
TAB:  US_Utah_Salt_Lake Deaths    4/12/2020    81        7       85        9        2        9       11       11
TAB:  US_Utah_Salt_Lake Deaths    .            82        7       85        9        2        7        9        9
TAB:  US_Utah_Salt_Lake Deaths    4/14/2020    83        7       85        7        2        7        9        9
TAB:  US_Utah_Salt_Lake Deaths    .            84        7       85        7        3        7        7        7
TAB:  US_Utah_Salt_Lake Deaths    4/16/2020    85        7       85        6        2        6        7        7
TAB:  US_Utah_Salt_Lake Deaths    .            86       12       85       45        1       45       54       48
TAB:  US_Utah_Salt_Lake Deaths    4/18/2020    87       13       85       67        1       67       92       73
TAB:  US_Utah_Salt_Lake Deaths    .            88       15       85       20        1       20      246       58
TAB:  US_Utah_Salt_Lake Deaths    4/20/2020    89       15       85       17        3       17      237       48
TAB:  US_Utah_Salt_Lake Deaths    .            90       18       85       23        1       23      359       61
TAB:  US_Utah_Salt_Lake Deaths    4/22/2020    91       18       85       20        2       20      362       51
TAB:  US_Utah_Salt_Lake Deaths    .            92       20       85       23        3       23      428       48
TAB:  US_Utah_Salt_Lake Deaths    4/24/2020    93       23       85       36        1       36      259       67
TAB:  US_Utah_Salt_Lake Deaths    .            94       24       85       32        2       32      202       54
TAB:  US_Utah_Salt_Lake Deaths    4/26/2020    95       24       85       29        2       23      199       58
TAB:  US_Utah_Salt_Lake Deaths    .            96       24       85       29        3       23      538       48
TAB:  US_Utah_Salt_Lake Deaths    4/28/2020    97       24       85       29        3       23      513       61
TAB:  US_Utah_Salt_Lake Deaths    .            98       28       85       48        3       36      422       64
TAB:  US_Utah_Salt_Lake Deaths    4/30/2020    99       29       85       36        3       36      387       70
TAB:  US_Utah_Salt_Lake Deaths    .           100       29       85       45        4       29      551       64
TAB:  US_Utah_Salt_Lake Deaths    5/2/2020    101       30       85       42        7       29      237       67
TAB:  US_Utah_Salt_Lake Deaths    .           102       31       85       38        6       32      142       49
TAB:  US_Utah_Salt_Lake Deaths    5/4/2020    103       31       85       35        3       31      114       43
TAB:  US_Utah_Salt_Lake Deaths    .           104       35       85       45        2       45      139       67
TAB:  US_Utah_Salt_Lake Deaths    5/6/2020    105       37       85       67        2       51      136       89
TAB:  US_Utah_Salt_Lake Deaths    .           106       39       85      114        2       58      321       89
TAB:  US_Utah_Salt_Lake Deaths    5/8/2020    107       39       85       61        2       42      252       86
TAB:  US_Utah_Salt_Lake Deaths    .           108       43       85       67        2       67      167       98
TAB:  US_Utah_Salt_Lake Deaths    5/10/2020   109       44       85      127        2       58      202      105
TAB:  US_Utah_Salt_Lake Deaths    .           110       45       85       73        2       48      218      108
TAB:  US_Utah_Salt_Lake Deaths    5/12/2020   111       49       85       89        2       83      337      130
TAB:  US_Utah_Salt_Lake Deaths    .           112       51       85      155        2       89      510      146
TAB:  US_Utah_Salt_Lake Deaths    5/14/2020   113       51       85       98        2       86      438      133
TAB:  US_Utah_Salt_Lake Deaths    .           114       52       85       51        2       51      406      130
TAB:  US_Utah_Salt_Lake Deaths    5/16/2020   115       53       85       54        3       54      441      117
TAB:  US_Utah_Salt_Lake Deaths    .           116       55       85       67        3       64      551      130
TAB:  US_Utah_Salt_Lake Deaths    5/18/2020   117       55       85       61        3       61      450      120
TAB:  US_Utah_Salt_Lake Deaths    .           118       61       85       98        3       98      466      146
TAB:  US_Utah_Salt_Lake Deaths    5/20/2020   119       62       85      105        4      105      425      155
TAB:  US_Utah_Salt_Lake Deaths    .           120       64       85      111        3       76      400      155
TAB:  US_Utah_Salt_Lake Deaths    5/22/2020   121       64       85      111        5       64      466      152
TAB:  US_Utah_Salt_Lake Deaths    .           122       67       85      152        4       73      387      155
TAB:  US_Utah_Salt_Lake Deaths    5/24/2020   123       67       85      111        4       70      293      149
TAB:  US_Utah_Salt_Lake Deaths    .           124       67       85      111        4       70      224      130
TAB:  US_Utah_Salt_Lake Deaths    5/26/2020   125       69       85      143        3       72      188      116
TAB:  US_Utah_Salt_Lake Deaths    .           126       70       85      115        3       73      166      111
TAB:  US_Utah_Salt_Lake Deaths    5/28/2020   127       70       85      137        4       72      146      109
TAB:  US_Utah_Salt_Lake Deaths    .           128       71       85       72        5       72      134      105
TAB:  US_Utah_Salt_Lake Deaths    5/30/2020   129       74       85       92        3       86      132      108
TAB:  US_Utah_Salt_Lake Deaths    .           130       74       85      124        7       86      281      111
TAB:  US_Utah_Salt_Lake Deaths    6/1/2020    131       74       85       89        7       83      359      108
TAB:  US_Utah_Salt_Lake Deaths    .           132       74       85       86        6       83      124      105
TAB:  US_Utah_Salt_Lake Deaths    6/3/2020    133       78       85       92       13       92      309      111
TAB:  US_Utah_Salt_Lake Deaths    .           134       78       85       92       13       92      262      108
TAB:  US_Utah_Salt_Lake Deaths    6/5/2020    135       81       85       98        9       98      120      111
TAB:  US_Utah_Salt_Lake Deaths    .           136       81       85      102       11       89      120      108
TAB:  US_Utah_Salt_Lake Deaths    6/7/2020    137       81       85      102       11       83      199      105
TAB:  US_Utah_Salt_Lake Deaths    .           138       83       85      105       14       86      161      105
TAB:  US_Utah_Salt_Lake Deaths    6/9/2020    139       85       85      111       17       95      431      114
