
  # Process COVID TAB data
p1= 728 il= 138
p1= 728 il= 137
p1= 728 il= 136
p1= 728 il= 135
p1= 706 il= 134
US_Maryland_Prince_Georges_Prince_George_s=Deaths nl = 139, n1= 5 s1= 723.6 s2= 523674.4 SD= 8.80000000000013 frac%= 1.216141514649
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 115  18  42          . p:     683     723 e:  -5.6 r:  59.3 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 116  19  43  5/18/2020 p:     618     723 e: -14.6 r:  60.3 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 117  20  44          . p:     678     723 e:  -6.3 r:  61.5 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 118  21  45  5/20/2020 p:     661     723 e:  -8.7 r:  62.6 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 119  22  46          . p:     661     723 e:  -8.7 r:  64.4 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 120  23  47  5/22/2020 p:     683     723 e:  -5.6 r:  65.9 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 121  24  48          . p:     683     723 e:  -5.6 r:  66.9 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 122  25  49  5/24/2020 p:     683     723 e:  -5.6 r:  67.7 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 123  26  50          . p:     677     723 e:  -6.4 r:  68.7 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 124  27  51  5/26/2020 p:     676     723 e:  -6.6 r:  69.9 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 125  28  52          . p:     683     723 e:  -5.6 r:  71.9 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 126  29  53  5/28/2020 p:     683     723 e:  -5.6 r:  73.2 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 127  30  54          . p:     683     723 e:  -5.6 r:  73.2 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 128  31  55  5/30/2020 p:     683     723 e:  -5.6 r:  74.5 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 129  32  56          . p:     692     723 e:  -4.4 r:  74.8 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 130  33  57   6/1/2020 p:     684     723 e:  -5.5 r:  75.3 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 131  34  58          . p:     683     723 e:  -5.6 r:  76.3 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 132  35  59   6/3/2020 p:     683     723 e:  -5.6 r:  78.1 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 133  36  60          . p:     706     723 e:  -2.4 r:  80.2 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 134  37  61   6/5/2020 p:     706     723 e:  -2.4 r:  81.1 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 135  38  62          . p:     728     723 e:   0.6 r:  82.2 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 136  39  63   6/7/2020 p:     728     723 e:   0.6 r:  82.6 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 137  40  64          . p:     728     723 e:   0.6 r:  83.2 OK
US_Maryland_Prince_Georges_Prince_George_s=Deaths i: 138  41  65   6/9/2020 p:     728     723 e:   0.6 r:  83.9 OK
