TEST last_day=  735 method= last 
MH:     0 Country_Region                                            141 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/6/20  6/7/20  6/8/20
aaa nday1  138 6/8/2020      235278.00000       12.36852
TAB:  Italy Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy Confirmed 1/23/2020     1        0   235278        0        0        0        0        0
TAB:  Italy Confirmed .             2        0   235278        0        0        0        0        0
TAB:  Italy Confirmed 1/25/2020     3        0   235278        0        0        0        0        0
TAB:  Italy Confirmed .             4        0   235278        0        0        0        0        0
TAB:  Italy Confirmed 1/27/2020     5        0   235278        0        0        0        0        0
TAB:  Italy Confirmed .             6        0   235278        0        0        0        0        0
TAB:  Italy Confirmed 1/29/2020     7        0   235278        0        0        0        0        0
TAB:  Italy Confirmed .             8        0   235278        0        0        0        0        0
TAB:  Italy Confirmed 1/31/2020     9        0   235278        0        0        0        0        0
TAB:  Italy Confirmed .            10        0   235278        0        0        0        0        0
TAB:  Italy Confirmed 2/2/2020     11        0   235278        0        0        0        0        0
TAB:  Italy Confirmed .            12        0   235278        0        0        0        0        0
TAB:  Italy Confirmed 2/4/2020     13        0   235278        0        0        0        0        0
TAB:  Italy Confirmed .            14        0   235278        0        0        0        0        0
TAB:  Italy Confirmed 2/6/2020     15        0   235278        0        0        0        0        0
TAB:  Italy Confirmed .            16        0   235278        0        0        0        0        0
TAB:  Italy Confirmed 2/8/2020     17        0   235278        0        0        0        0        0
TAB:  Italy Confirmed .            18        0   235278        0        0        0        0        0
TAB:  Italy Confirmed 2/10/2020    19        0   235278        0        0        0        0        0
TAB:  Italy Confirmed .            20        0   235278        0        0        0        0        0
TAB:  Italy Confirmed 2/12/2020    21        0   235278        0        0        0        0        0
TAB:  Italy Confirmed .            22        0   235278        0        0        0        0        0
TAB:  Italy Confirmed 2/14/2020    23        0   235278        0        0        0        0        0
TAB:  Italy Confirmed .            24        0   235278        0        0        0        0        0
TAB:  Italy Confirmed 2/16/2020    25        0   235278        0        0        0        0        0
TAB:  Italy Confirmed .            26        0   235278        0        0        0        0        0
TAB:  Italy Confirmed 2/18/2020    27        0   235278        0        0        0        0        0
TAB:  Italy Confirmed .            28        0   235278        0        0        0        0        0
TAB:  Italy Confirmed 2/20/2020    29        0   235278        0        0        0        0        0
