TAB:  US_Michigan_Oakland Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Michigan_Oakland Deaths    1/23/2020     1        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .             2        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    1/25/2020     3        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .             4        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    1/27/2020     5        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .             6        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    1/29/2020     7        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .             8        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    1/31/2020     9        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            10        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    2/2/2020     11        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            12        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    2/4/2020     13        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            14        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    2/6/2020     15        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            16        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    2/8/2020     17        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            18        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    2/10/2020    19        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            20        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    2/12/2020    21        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            22        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    2/14/2020    23        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            24        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    2/16/2020    25        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            26        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    2/18/2020    27        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            28        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    2/20/2020    29        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            30        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    2/22/2020    31        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            32        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    2/24/2020    33        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            34        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    2/26/2020    35        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            36        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    2/28/2020    37        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            38        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    3/1/2020     39        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            40        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    3/3/2020     41        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            42        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    3/5/2020     43        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            44        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    3/7/2020     45        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            46        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    3/9/2020     47        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            48        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    3/11/2020    49        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            50        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    3/13/2020    51        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            52        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    3/15/2020    53        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            54        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    3/17/2020    55        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            56        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    3/19/2020    57        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            58        0     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    3/21/2020    59        2     1056        0        0      623     8108     8108
TAB:  US_Michigan_Oakland Deaths    .            60        2     1056        0        0      207    14761      623
TAB:  US_Michigan_Oakland Deaths    3/23/2020    61        4     1056        0        0      623    12266     5197
TAB:  US_Michigan_Oakland Deaths    .            62        4     1056        0        0      782     2870     1710
TAB:  US_Michigan_Oakland Deaths    3/25/2020    63       10     1056        0        0     1039     4366     1871
TAB:  US_Michigan_Oakland Deaths    .            64       15     1056        0        0     1455     3534     2286
TAB:  US_Michigan_Oakland Deaths    3/27/2020    65       26     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .            66       31     1056      136        1      136     2633     2633
TAB:  US_Michigan_Oakland Deaths    3/29/2020    67       34     1056       35        1       35      105       49
TAB:  US_Michigan_Oakland Deaths    .            68       48     1056      109        1      109      144      144
TAB:  US_Michigan_Oakland Deaths    3/31/2020    69       70     1056      346        1      346      435      435
TAB:  US_Michigan_Oakland Deaths    .            70       99     1056     1189        1     1189     3881     1345
TAB:  US_Michigan_Oakland Deaths    4/2/2020     71      119     1056     1345        1     1345     3452     1462
TAB:  US_Michigan_Oakland Deaths    .            72      136     1056      214        1      214     2048      994
TAB:  US_Michigan_Oakland Deaths    4/4/2020     73      142     1056      157        1      157      684      567
TAB:  US_Michigan_Oakland Deaths    .            74      163     1056      206        1      206      514      288
TAB:  US_Michigan_Oakland Deaths    4/6/2020     75      185     1056      274        1      274      455      364
TAB:  US_Michigan_Oakland Deaths    .            76      205     1056      409        2      292      526      409
TAB:  US_Michigan_Oakland Deaths    4/8/2020     77      234     1056      448        3      370      526      448
TAB:  US_Michigan_Oakland Deaths    .            78      246     1056      448        3      370      487      448
TAB:  US_Michigan_Oakland Deaths    4/10/2020    79      282     1056      487        5      487     5246     1501
TAB:  US_Michigan_Oakland Deaths    .            80      316     1056      565        4      565     7665      604
TAB:  US_Michigan_Oakland Deaths    4/12/2020    81      329     1056      565        4      565     4739     1501
TAB:  US_Michigan_Oakland Deaths    .            82      347     1056      577        3      409     1889      603
