TAB:  Italy_Abruzzo Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_Abruzzo Deaths    1/23/2020     1        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .             2        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    1/25/2020     3        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .             4        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    1/27/2020     5        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .             6        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    1/29/2020     7        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .             8        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    1/31/2020     9        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            10        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    2/2/2020     11        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            12        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    2/4/2020     13        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            14        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    2/6/2020     15        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            16        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    2/8/2020     17        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            18        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    2/10/2020    19        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            20        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    2/12/2020    21        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            22        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    2/14/2020    23        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            24        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    2/16/2020    25        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            26        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    2/18/2020    27        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            28        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    2/20/2020    29        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            30        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    2/22/2020    31        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            32        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    2/24/2020    33        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            34        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    2/26/2020    35        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            36        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    2/28/2020    37        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            38        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    3/1/2020     39        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            40        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    3/3/2020     41        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            42        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    3/5/2020     43        0      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            44        0      451        0        0       60       60       60
TAB:  Italy_Abruzzo Deaths    3/7/2020     45        0      451        0        0       60       60       60
TAB:  Italy_Abruzzo Deaths    .            46        0      451        0        0       60      180      180
TAB:  Italy_Abruzzo Deaths    3/9/2020     47        0      451        0        0     2473     3318     3318
TAB:  Italy_Abruzzo Deaths    .            48        1      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    3/11/2020    49        1      451        0        0       60    12488     8385
TAB:  Italy_Abruzzo Deaths    .            50        2      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    3/13/2020    51        2      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            52        2      451        0        0      301     2352     1870
TAB:  Italy_Abruzzo Deaths    3/15/2020    53        3      451        0        0      180     2473      542
TAB:  Italy_Abruzzo Deaths    .            54        4      451       16        1       16       16       16
TAB:  Italy_Abruzzo Deaths    3/17/2020    55        6      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            56        7      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    3/19/2020    57       11      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            58       17      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    3/21/2020    59       22      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    .            60       33      451        0        0        0        0        0
TAB:  Italy_Abruzzo Deaths    3/23/2020    61       38      451    -            1     2124     2124     2124
TAB:  Italy_Abruzzo Deaths    .            62       46      451       91        1       91      857      224
TAB:  Italy_Abruzzo Deaths    3/25/2020    63       52      451       74        2       74     1624      208
TAB:  Italy_Abruzzo Deaths    .            64       63      451      124        3      124     2957      324
TAB:  Italy_Abruzzo Deaths    3/27/2020    65       68      451      108        4      108      624      208
TAB:  Italy_Abruzzo Deaths    .            66       76      451      124        5      124     2007      224
TAB:  Italy_Abruzzo Deaths    3/29/2020    67       88      451      151        3      151      804      284
TAB:  Italy_Abruzzo Deaths    .            68      102      451      208        3      191     2040      308
TAB:  Italy_Abruzzo Deaths    3/31/2020    69      115      451      241        2      224      841      324
TAB:  Italy_Abruzzo Deaths    .            70      123      451      241        2      241     2673      391
TAB:  Italy_Abruzzo Deaths    4/2/2020     71      133      451      268        2      175      759      314
TAB:  Italy_Abruzzo Deaths    .            72      146      451      228        1      228      560      318
TAB:  Italy_Abruzzo Deaths    4/4/2020     73      153      451      343        2      217      433      290
TAB:  Italy_Abruzzo Deaths    .            74      158      451      260        2      187      346      269
TAB:  Italy_Abruzzo Deaths    4/6/2020     75      169      451      260        2      219      329      262
TAB:  Italy_Abruzzo Deaths    .            76      172      451      214        3      209      308      259
