TAB:  Italy_Friuli_Venezia_Giulia Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_Friuli_Venezia_Giulia Deaths    1/23/2020     1        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .             2        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    1/25/2020     3        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .             4        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    1/27/2020     5        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .             6        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    1/29/2020     7        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .             8        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    1/31/2020     9        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            10        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    2/2/2020     11        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            12        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    2/4/2020     13        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            14        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    2/6/2020     15        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            16        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    2/8/2020     17        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            18        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    2/10/2020    19        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            20        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    2/12/2020    21        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            22        0      340        0        0        0        0        0
