TAB:  Italy_Friuli_Venezia_Giulia Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 1/23/2020     1        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .             2        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 1/25/2020     3        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .             4        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 1/27/2020     5        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .             6        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 1/29/2020     7        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .             8        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 1/31/2020     9        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            10        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 2/2/2020     11        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            12        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 2/4/2020     13        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            14        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 2/6/2020     15        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            16        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 2/8/2020     17        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            18        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 2/10/2020    19        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            20        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 2/12/2020    21        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            22        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 2/14/2020    23        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            24        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 2/16/2020    25        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            26        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 2/18/2020    27        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            28        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 2/20/2020    29        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            30        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 2/22/2020    31        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            32        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 2/24/2020    33        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            34        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 2/26/2020    35        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            36        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 2/28/2020    37        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            38        0     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/1/2020     39        6     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            40        9     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/3/2020     41       13     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            42       18     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/5/2020     43       21     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            44       31     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/7/2020     45       42     3284    -            1    12678    12678    12678
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            46       57     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/9/2020     47       93     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            48      116     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/11/2020    49      126     3284      303        1      303      303      303
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            50      167     3284      545        1      545     5398      788
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/13/2020    51      257     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            52      301     3284        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/15/2020    53      347     3284    -            2     1031    10737     7218
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            54      386     3284      424        1      424    22141     2972
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/17/2020    55      394     3284      434        1      434     7901     1591
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            56      462     3284      623        1      623     3377     1164
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/19/2020    57      599     3284     1818        1     1818     3970     2486
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            58      656     3284     2123        2     2001     4307     2608
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/21/2020    59      790     3284     2972        3     2972     5034     3943
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            60      874     3284     3336        2     1880     5156     4185
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/23/2020    61      930     3284     3215        2     1152     4671     3579
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            62      992     3284     2972        3     1152     4064     3215
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/25/2020    63     1139     3284     3215        3     2365    12557     3579
