TAB:  US_Louisiana_Orleans Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Louisiana_Orleans Confirmed 1/23/2020     1        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .             2        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 1/25/2020     3        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .             4        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 1/27/2020     5        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .             6        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 1/29/2020     7        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .             8        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 1/31/2020     9        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            10        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/2/2020     11        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            12        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/4/2020     13        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            14        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/6/2020     15        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            16        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/8/2020     17        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            18        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/10/2020    19        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            20        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/12/2020    21        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            22        0     7247        0        0        0        0        0
