TAB:  Italy_Liguria Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_Liguria Confirmed 1/23/2020     1        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .             2        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 1/25/2020     3        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .             4        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 1/27/2020     5        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .             6        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 1/29/2020     7        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .             8        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 1/31/2020     9        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            10        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 2/2/2020     11        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            12        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 2/4/2020     13        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            14        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 2/6/2020     15        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            16        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 2/8/2020     17        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            18        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 2/10/2020    19        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            20        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 2/12/2020    21        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            22        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 2/14/2020    23        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            24        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 2/16/2020    25        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            26        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 2/18/2020    27        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            28        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 2/20/2020    29        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            30        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 2/22/2020    31        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            32        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 2/24/2020    33        0     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            34        1     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 2/26/2020    35       11     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            36       19     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 2/28/2020    37       19     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            38       42     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 3/1/2020     39       25     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            40       22     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 3/3/2020     41       24     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            42       26     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 3/5/2020     43       28     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            44       32     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 3/7/2020     45       51     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed .            46       78     9834        0        0        0        0        0
TAB:  Italy_Liguria Confirmed 3/9/2020     47      109     9834      181        1      181      181      181
TAB:  Italy_Liguria Confirmed .            48      141     9834      544        1      544     1998     1998
TAB:  Italy_Liguria Confirmed 3/11/2020    49      194     9834     1271        2     1271    43052    43052
TAB:  Italy_Liguria Confirmed .            50      274     9834     3088        1     3088     8901     8901
TAB:  Italy_Liguria Confirmed 3/13/2020    51      345     9834     6721        1     6721    32153     8174
TAB:  Italy_Liguria Confirmed .            52      463     9834    16894        1    16894    17257    17257
TAB:  Italy_Liguria Confirmed 3/15/2020    53      559     9834     3451        1     3451    60128    23070
TAB:  Italy_Liguria Confirmed .            54      667     9834     1998        1     1998    49229     9627
TAB:  Italy_Liguria Confirmed 3/17/2020    55      778     9834     1998        2     1998    61945     5268
TAB:  Italy_Liguria Confirmed .            56      887     9834     1998        3     1634    64488     3814
TAB:  Italy_Liguria Confirmed 3/19/2020    57     1059     9834     3451        3     3088    69211     5631
TAB:  Italy_Liguria Confirmed .            58     1221     9834     4541        4     3451    70664     5631
TAB:  Italy_Liguria Confirmed 3/21/2020    59     1436     9834     5631        4     4904    71391     8901
TAB:  Italy_Liguria Confirmed .            60     1665     9834     6721        3     6721    29973     9991
TAB:  Italy_Liguria Confirmed 3/23/2020    61     1924     9834     8901        4     7811    61945    15804
TAB:  Italy_Liguria Confirmed .            62     2116     9834     8901        2     8174    68484    14714
TAB:  Italy_Liguria Confirmed 3/25/2020    63     2305     9834     8901        4     3451    58312    13987
TAB:  Italy_Liguria Confirmed .            64     2567     9834     8901        4     4904    70664    12897
TAB:  Italy_Liguria Confirmed 3/27/2020    65     2696     9834     8174        4     4178    44142     9991
TAB:  Italy_Liguria Confirmed .            66     2822     9834     7447        6     3451    54315     7811
TAB:  Italy_Liguria Confirmed 3/29/2020    67     3076     9834     7178        7     4306    35252     8135
TAB:  Italy_Liguria Confirmed .            68     3217     9834     6675        4     4547    24864     7062
TAB:  Italy_Liguria Confirmed 3/31/2020    69     3416     9834     6358        5     4904    27066     7811
TAB:  Italy_Liguria Confirmed .            70     3660     9834     6358        7     5631    20890     9264
TAB:  Italy_Liguria Confirmed 4/2/2020     71     3782     9834     6358       10     5631    16530     7811
TAB:  Italy_Liguria Confirmed .            72     3965     9834     6408        4     5741    14114     6853
TAB:  Italy_Liguria Confirmed 4/4/2020     73     4203     9834     6617        6     6126    19262     8283
TAB:  Italy_Liguria Confirmed .            74     4449     9834     6721       11     6721    37603     9991
TAB:  Italy_Liguria Confirmed 4/6/2020     75     4549     9834     7084       10     6721    16530     9627
TAB:  Italy_Liguria Confirmed .            76     4757     9834     7005        8     6267    11764     9351
TAB:  Italy_Liguria Confirmed 4/8/2020     77     4906     9834     7067        9     5903    10116     8065
TAB:  Italy_Liguria Confirmed .            78     5020     9834     7062        9     5786     9377     7676
TAB:  Italy_Liguria Confirmed 4/10/2020    79     5191     9834     7154        8     6320     9191     7524
TAB:  Italy_Liguria Confirmed .            80     5376     9834     7447       14     7084     8901     8174
TAB:  Italy_Liguria Confirmed 4/12/2020    81     5494     9834     7447       19     7084    13987     8174
TAB:  Italy_Liguria Confirmed .            82     5596     9834     7361        7     6584     8570     7749
TAB:  Italy_Liguria Confirmed 4/14/2020    83     5808     9834     7459       11     7311    22378     8197
TAB:  Italy_Liguria Confirmed .            84     5936     9834     7499        6     7401    16027     8185
TAB:  Italy_Liguria Confirmed 4/16/2020    85     6039     9834     7628        9     7424    11289     8441
TAB:  Italy_Liguria Confirmed .            86     6188     9834     7672        7     7612    10644     8400
TAB:  Italy_Liguria Confirmed 4/18/2020    87     6301     9834     7672        5     7225     9857     8218
TAB:  Italy_Liguria Confirmed .            88     6528     9834     7811       11     7811    14350     9627
TAB:  Italy_Liguria Confirmed 4/20/2020    89     6669     9834     8174       15     7811    17984     9991
TAB:  Italy_Liguria Confirmed .            90     6764     9834     8174       15     8174    26340    11807
TAB:  Italy_Liguria Confirmed 4/22/2020    91     6918     9834     8174       12     8174    29973    11807
TAB:  Italy_Liguria Confirmed .            92     7049     9834     8326       10     8326    19934    10345
TAB:  Italy_Liguria Confirmed 4/24/2020    93     7173     9834     8537       15     8537    16167    11081
TAB:  Italy_Liguria Confirmed .            94     7301     9834     8599        9     8447    24886    10578
TAB:  Italy_Liguria Confirmed 4/26/2020    95     7488     9834     8901       17     8537    17620    12171
TAB:  Italy_Liguria Confirmed .            96     7642     9834     8901       17     8901    22707    13260
TAB:  Italy_Liguria Confirmed 4/28/2020    97     7772     9834     8901       11     8901    23070    12534
TAB:  Italy_Liguria Confirmed .            98     7889     9834     9264       13     8901    46322    14714
TAB:  Italy_Liguria Confirmed 4/30/2020    99     7993     9834     9284       10     8576    22017    11583
TAB:  Italy_Liguria Confirmed .           100     8126     9834     9371        6     9184    15711    11049
TAB:  Italy_Liguria Confirmed 5/2/2020    101     8312     9834     9627       17     9627    24887    13260
