TAB:  US_Florida_Palm_Beach Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Florida_Palm_Beach Deaths    1/23/2020     1        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .             2        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    1/25/2020     3        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .             4        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    1/27/2020     5        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .             6        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    1/29/2020     7        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .             8        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    1/31/2020     9        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            10        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    2/2/2020     11        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            12        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    2/4/2020     13        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            14        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    2/6/2020     15        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            16        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    2/8/2020     17        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            18        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    2/10/2020    19        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            20        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    2/12/2020    21        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            22        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    2/14/2020    23        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            24        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    2/16/2020    25        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            26        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    2/18/2020    27        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            28        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    2/20/2020    29        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            30        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    2/22/2020    31        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            32        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    2/24/2020    33        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            34        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    2/26/2020    35        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            36        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    2/28/2020    37        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            38        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    3/1/2020     39        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            40        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    3/3/2020     41        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            42        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    3/5/2020     43        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            44        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    3/7/2020     45        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            46        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    3/9/2020     47        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            48        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    3/11/2020    49        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            50        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    3/13/2020    51        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            52        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    3/15/2020    53        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            54        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    3/17/2020    55        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            56        0      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    3/19/2020    57        0      388        0        0     7360     7360     7360
TAB:  US_Florida_Palm_Beach Deaths    .            58        0      388        0        0      416    11526    11526
TAB:  US_Florida_Palm_Beach Deaths    3/21/2020    59        0      388        0        0       73     2416      366
TAB:  US_Florida_Palm_Beach Deaths    .            60        0      388        0        0      170     1071      470
TAB:  US_Florida_Palm_Beach Deaths    3/23/2020    61        3      388        0        0      210      668      296
TAB:  US_Florida_Palm_Beach Deaths    .            62        3      388        0        0      181      399      242
TAB:  US_Florida_Palm_Beach Deaths    3/25/2020    63        3      388        0        0      207      331      238
TAB:  US_Florida_Palm_Beach Deaths    .            64        3      388        0        0      591      826      826
TAB:  US_Florida_Palm_Beach Deaths    3/27/2020    65        3      388        0        0      702      948      948
TAB:  US_Florida_Palm_Beach Deaths    .            66        5      388        0        0     3471     3471     3471
TAB:  US_Florida_Palm_Beach Deaths    3/29/2020    67        5      388        0        0     4582     4860     4860
TAB:  US_Florida_Palm_Beach Deaths    .            68        7      388        0        0     3194     7360     6804
TAB:  US_Florida_Palm_Beach Deaths    3/31/2020    69       14      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            70       14      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    4/2/2020     71       27      388        0        0        0        0        0
TAB:  US_Florida_Palm_Beach Deaths    .            72       29      388      494        1      494      494      494
TAB:  US_Florida_Palm_Beach Deaths    4/4/2020     73       35      388       50        1       50      422       78
TAB:  US_Florida_Palm_Beach Deaths    .            74       49      388      164        1      164      752      250
TAB:  US_Florida_Palm_Beach Deaths    4/6/2020     75       49      388      107        2      107      422      207
TAB:  US_Florida_Palm_Beach Deaths    .            76       51      388       78        3       50      365      107
TAB:  US_Florida_Palm_Beach Deaths    4/8/2020     77       69      388      136        2      136      952      207
TAB:  US_Florida_Palm_Beach Deaths    .            78       73      388      136        3      136     1540      236
TAB:  US_Florida_Palm_Beach Deaths    4/10/2020    79       76      388      120        2       81      439      139
TAB:  US_Florida_Palm_Beach Deaths    .            80       80      388      113        2       83      256      113
TAB:  US_Florida_Palm_Beach Deaths    4/12/2020    81       81      388      101        2       82      182      101
