TAB:  US_Massachusetts_Hampden Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Massachusetts_Hampden Confirmed 4/18/2020    87     2254     6380     3182        9     3182     3889     3653
TAB:  US_Massachusetts_Hampden Confirmed .            88     2337     6380     3182        8     3182    14024     3889
TAB:  US_Massachusetts_Hampden Confirmed 4/20/2020    89     2435     6380     3417        8     3182     5774     3889
TAB:  US_Massachusetts_Hampden Confirmed .            90     2533     6380     3397       10     3081    11455     3871
TAB:  US_Massachusetts_Hampden Confirmed 4/22/2020    91     2678     6380     3653        9     3417    31938     5067
TAB:  US_Massachusetts_Hampden Confirmed .            92     2836     6380     3653        8     3653    28403     5303
TAB:  US_Massachusetts_Hampden Confirmed 4/24/2020    93     3060     6380     4124       10     3889    19446     5067
TAB:  US_Massachusetts_Hampden Confirmed .            94     3229     6380     4360        9     4360     8367     5774
TAB:  US_Massachusetts_Hampden Confirmed 4/26/2020    95     3295     6380     4360        8     4360    41367     6482
TAB:  US_Massachusetts_Hampden Confirmed .            96     3381     6380     4596        9     3653    27224     6010
TAB:  US_Massachusetts_Hampden Confirmed 4/28/2020    97     3546     6380     4596        6     4360    41838     6717
TAB:  US_Massachusetts_Hampden Confirmed .            98     3698     6380     4832        8     4832    32881     7424
TAB:  US_Massachusetts_Hampden Confirmed 4/30/2020    99     3777     6380     4832        6     4832    38538     8131
TAB:  US_Massachusetts_Hampden Confirmed .           100     3900     6380     5067       11     5067    21803     8131
TAB:  US_Massachusetts_Hampden Confirmed 5/2/2020    101     4003     6380     5088        8     4635    12701     6671
TAB:  US_Massachusetts_Hampden Confirmed .           102     4066     6380     5161        6     4484    10406     6007
TAB:  US_Massachusetts_Hampden Confirmed 5/4/2020    103     4114     6380     5182        5     4322     8985     5590
TAB:  US_Massachusetts_Hampden Confirmed .           104     4203     6380     5238        5     4596     7808     5600
TAB:  US_Massachusetts_Hampden Confirmed 5/6/2020    105     4321     6380     5258        6     5071     7205     6007
TAB:  US_Massachusetts_Hampden Confirmed .           106     4441     6380     5303        8     5303    35710     6482
TAB:  US_Massachusetts_Hampden Confirmed 5/8/2020    107     4522     6380     5539       11     5303     7660     6482
TAB:  US_Massachusetts_Hampden Confirmed .           108     4647     6380     5774        8     5539    30995     6482
TAB:  US_Massachusetts_Hampden Confirmed 5/10/2020   109     4714     6380     5774        7     5539    10724     6482
TAB:  US_Massachusetts_Hampden Confirmed .           110     4763     6380     6717        9     5067    17088     6482
TAB:  US_Massachusetts_Hampden Confirmed 5/12/2020   111     4831     6380     5677        5     5111     7561     6195
TAB:  US_Massachusetts_Hampden Confirmed .           112     4889     6380     5948        4     5206     6911     6133
TAB:  US_Massachusetts_Hampden Confirmed 5/14/2020   113     4974     6380     6482       13     5539     6953     6246
TAB:  US_Massachusetts_Hampden Confirmed .           114     5038     6380     6482       13     5774     6717     6246
TAB:  US_Massachusetts_Hampden Confirmed 5/16/2020   115     5133     6380     6246       16     5774     7189     6482
TAB:  US_Massachusetts_Hampden Confirmed .           116     5205     6380     6482       15     5774     8367     6717
TAB:  US_Massachusetts_Hampden Confirmed 5/18/2020   117     5264     6380     6482       20     5774    14967     6717
TAB:  US_Massachusetts_Hampden Confirmed .           118     5335     6380     6482       22     6010    16853     6953
TAB:  US_Massachusetts_Hampden Confirmed 5/20/2020   119     5418     6380     6482       19     6010    21331     7424
TAB:  US_Massachusetts_Hampden Confirmed .           120     5492     6380     6482       14     6010    21567     7660
TAB:  US_Massachusetts_Hampden Confirmed 5/22/2020   121     5568     6380     6717       20     6246    22746     7896
TAB:  US_Massachusetts_Hampden Confirmed .           122     5621     6380     6717       19     6246    30995     8603
TAB:  US_Massachusetts_Hampden Confirmed 5/24/2020   123     5687     6380     6728       12     6312    15192     7838
TAB:  US_Massachusetts_Hampden Confirmed .           124     5755     6380     6858       12     6353    12327     7699
TAB:  US_Massachusetts_Hampden Confirmed 5/26/2020   125     5796     6380     6934       10     6301     9926     7279
TAB:  US_Massachusetts_Hampden Confirmed .           126     5845     6380     6923       12     6305     8969     7256
TAB:  US_Massachusetts_Hampden Confirmed 5/28/2020   127     5878     6380     6915       13     6079     8210     6915
TAB:  US_Massachusetts_Hampden Confirmed .           128     5942     6380     6895       11     6458     7730     7054
TAB:  US_Massachusetts_Hampden Confirmed 5/30/2020   129     5982     6380     6953       25     6482     7660     7189
TAB:  US_Massachusetts_Hampden Confirmed .           130     6035     6380     6953       28     6482     9074     7189
TAB:  US_Massachusetts_Hampden Confirmed 6/1/2020    131     6188     6380     7189       13     6482    12139     8131
TAB:  US_Massachusetts_Hampden Confirmed .           132     6201     6380     7189       14     6717    13081     8131
TAB:  US_Massachusetts_Hampden Confirmed 6/3/2020    133     6237     6380     7189       16     6246    33117     8131
TAB:  US_Massachusetts_Hampden Confirmed .           134     6268     6380     7189       16     6246    13317     7896
TAB:  US_Massachusetts_Hampden Confirmed 6/5/2020    135     6297     6380     7189       16     6482    25574     7896
TAB:  US_Massachusetts_Hampden Confirmed .           136     6337     6380     7189       17     6482     9310     7896
TAB:  US_Massachusetts_Hampden Confirmed 6/7/2020    137     6353     6380     7660       23     6482     7896     7189
TAB:  US_Massachusetts_Hampden Confirmed .           138     6365     6380     7198       11     6435     7580     7046
TAB:  US_Massachusetts_Hampden Confirmed 6/9/2020    139     6380     6380     7202       13     6446     7467     6975
